 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75
822,3631.694,1817.664,1065.157,774.868,1259.518,1265.618,1174.000,651.151,681.692,363.239,368.786,333.446,365.690,450.122,144.919,295.397,548.637,1143.769,1463.630,295.939,283.974,667.085,781.980,544.198,497.061,430.702,1409.655,235.044,335.090,853.441,888.400,757.045,793.142,1887.135,1263.729,1726.500,1570.890,1013.627,577.714,1349.353,1037.562,1384.381,880.170,901.423,738.459,455.213,1113.462,1207.264,500.832,542.937,1501.507,1115.977,860.136,1021.689,1456.151,1186.250,1383.298,1678.541,1426.500,1722.830,689.212,1240.672,877.783,120.169,635.456,254.428,332.583,195.656,195.942,945.533,654.658,158.130,1289.383,829.247,364.146
823,3377.420,1573.530,1024.758,671.326,1197.892,1318.397,1317.683,578.799,1002.449,549.628,502.396,326.271,419.557,488.050,176.824,349.110,314.756,1166.638,1990.649,283.457,204.590,584.503,861.840,222.492,606.402,545.889,1313.086,372.781,299.193,879.829,866.194,928.739,959.976,1892.368,1342.842,1537.213,1290.813,904.249,704.321,1441.267,1026.621,1219.755,1168.830,1011.008,784.680,791.929,1127.143,1471.736,436.301,556.633,1504.927,1256.519,886.850,996.689,1469.849,1121.270,1455.262,1690.207,1309.867,1130.696,919.932,933.847,1306.132,289.228,674.434,147.692,258.194,190.815,201.095,1223.286,631.444,244.481,1422.532,1018.941,343.406
824,3641.580,1617.000,1059.831,820.783,1287.169,997.971,1294.894,816.818,849.762,518.186,555.299,301.946,413.718,569.056,277.014,331.721,354.956,1028.000,1612.474,434.096,163.159,687.662,667.407,304.841,698.189,585.930,1440.569,304.591,447.126,992.436,766.226,1085.486,991.740,2203.316,1293.120,1576.926,993.374,865.389,499.634,1120.753,1097.137,1156.497,1096.318,851.777,646.298,432.284,1144.336,889.536,548.825,516.899,1251.181,1192.667,904.021,1043.681,1225.414,1076.658,1300.475,1717.550,1168.367,1491.719,681.894,963.591,1076.147,152.140,581.294,132.692,240.640,152.076,247.816,1043.314,910.462,258.507,1060.298,903.010,397.188
825,3503.318,1875.022,1080.067,932.016,1125.392,1256.257,1403.087,606.535,756.146,467.558,488.818,365.488,635.552,502.233,211.378,262.824,293.681,1159.215,1670.039,331.143,292.615,632.960,656.580,456.111,629.616,420.374,1516.316,333.212,348.277,980.924,977.413,937.225,977.268,2005.918,1488.098,1864.771,1321.736,1138.088,663.911,1173.867,1175.392,1091.935,1278.222,993.515,615.171,623.794,1340.840,1013.564,476.406,362.867,1291.681,1297.248,971.571,959.395,1523.232,1202.217,1542.482,1905.775,1834.775,1671.622,677.500,1009.409,1211.783,345.434,575.603,133.129,283.165,240.197,212.879,1032.190,348.333,154.597,1086.223,935.198,365.573
826,3368.006,1938.104,824.562,899.798,1259.639,1137.279,1092.067,774.252,1042.757,454.425,420.903,283.729,477.914,473.428,180.932,227.007,545.193,1327.092,1984.948,256.074,191.303,629.935,704.173,213.151,609.512,410.480,1334.236,432.591,383.976,837.360,886.219,1021.550,767.921,1882.760,1269.105,1418.475,1413.604,824.477,712.500,1404.467,1252.693,1184.174,1197.215,893.438,857.232,470.475,1119.311,1214.173,567.643,530.551,1236.261,956.783,840.071,1129.260,1488.485,1053.842,1425.858,1863.766,1379.325,1540.207,614.599,941.489,1314.078,198.125,497.574,210.493,354.050,241.025,205.011,1133.638,680.504,187.039,1457.064,821.129,305.375
827,3664.229,1771.604,985.292,804.109,1012.120,1415.552,1331.865,732.723,805.784,730.469,482.649,298.735,474.057,280.389,255.635,377.632,505.333,1465.869,1783.032,366.309,313.897,579.612,549.667,394.611,574.860,507.047,1341.615,462.139,403.036,1069.559,996.768,784.432,735.386,2018.105,1391.444,1606.484,1286.681,855.041,527.830,1405.513,1360.353,1132.329,921.822,1044.646,581.602,587.035,913.983,942.845,547.706,372.829,1347.304,1138.403,677.971,919.790,1484.818,1425.184,1563.660,1822.505,1290.375,1153.281,820.599,1003.730,1199.713,249.213,762.338,220.085,122.899,217.268,166.721,962.286,435.120,283.000,1047.894,1117.129,317.500
828,3573.159,1786.000,879.618,814.302,1097.711,1233.757,1364.875,818.635,709.616,670.469,408.026,372.072,574.402,417.256,368.297,269.684,479.467,1227.308,1840.318,269.361,269.626,594.338,741.460,319.103,568.500,580.789,1503.954,533.898,211.247,990.744,777.361,846.468,1117.803,2006.877,1306.391,1670.598,1617.725,756.197,627.491,1365.153,1129.020,1085.710,1252.022,857.131,760.243,489.113,1204.219,1236.318,592.357,413.937,1224.942,1015.326,899.836,1457.109,1284.101,1179.776,1371.794,1673.270,1266.717,1503.044,559.621,1062.781,1308.736,233.096,457.294,238.796,274.295,222.280,166.216,991.476,560.103,171.364,1530.160,1130.535,340.156
829,3715.274,1488.664,1103.253,903.512,1308.464,1124.868,1164.442,705.742,780.665,413.717,582.643,295.687,489.810,567.389,478.000,301.096,433.526,1079.885,1674.968,297.100,241.569,620.920,513.560,305.905,551.348,428.573,1746.977,436.650,345.289,1011.071,863.374,838.658,988.984,2175.562,1329.895,1520.246,1577.011,1216.943,486.384,1538.620,1005.673,1131.290,1150.563,1098.885,790.912,538.823,1331.252,1095.236,443.308,494.253,1464.674,1566.434,915.957,1007.664,899.162,1317.309,1201.284,1820.937,1437.608,1442.815,729.697,1152.533,1230.891,220.140,628.838,123.706,215.475,193.771,200.795,1120.286,539.735,243.065,1026.170,883.832,393.896
830,3769.987,1419.582,905.528,811.977,1059.506,1369.221,1618.135,788.447,862.838,589.867,335.234,260.349,477.856,410.283,267.703,265.191,562.126,1064.146,1940.325,426.322,259.251,605.264,585.893,438.786,550.085,458.801,1372.632,240.723,269.114,960.858,860.729,1053.982,1246.228,1924.000,1317.526,1809.705,1270.637,898.554,394.062,1663.080,1255.654,1269.026,1306.126,912.515,681.923,398.560,1029.950,1232.264,411.783,473.386,1259.877,1356.488,653.629,993.992,1191.970,1127.809,1629.525,1756.514,1242.925,1287.682,671.038,819.219,1031.256,324.125,459.691,252.537,224.799,136.624,196.211,1115.352,658.889,175.740,1351.064,1127.812,427.896
831,3948.924,1528.127,1099.927,853.481,1145.283,1295.081,1207.346,721.107,920.432,730.204,532.513,276.723,554.138,484.272,371.297,257.978,450.970,1343.300,1721.851,335.283,214.764,497.194,624.220,474.889,658.427,408.731,1391.661,360.328,416.572,946.009,820.026,940.171,889.780,1870.281,1215.602,1309.082,1633.912,931.705,430.554,1577.720,970.085,1047.065,1084.726,948.569,853.403,429.865,1048.319,1175.345,460.210,365.671,1617.696,1245.101,978.800,983.252,1019.232,1500.118,1500.369,2055.937,1186.950,1499.281,867.326,967.577,1386.202,193.471,498.449,172.378,228.144,155.312,143.326,1161.038,754.034,327.779,1272.468,918.564,685.604
832,3732.306,1270.940,943.466,859.620,1201.367,1249.831,1331.125,801.233,817.459,620.673,524.961,307.639,502.155,444.528,308.851,270.235,400.607,1100.900,1657.831,311.483,211.564,743.109,856.473,331.365,630.604,306.205,1721.856,336.270,389.000,1041.735,909.084,930.577,1012.646,1762.579,1359.902,1597.066,1623.901,780.357,561.875,1341.780,1389.281,1131.639,910.341,1152.000,620.039,644.028,1206.227,1245.782,408.301,687.000,1177.246,1261.992,767.307,962.765,1404.545,1242.020,1435.879,1682.919,1184.758,1185.185,781.939,1212.022,1155.171,165.721,499.007,248.905,255.000,215.248,208.458,1028.876,660.709,322.740,1689.596,1249.485,327.312
833,3563.350,1203.567,906.365,707.767,1019.627,1226.493,1536.356,860.572,726.611,437.911,381.805,159.560,447.454,528.950,184.176,334.588,403.711,1265.285,1817.773,266.935,271.108,545.856,682.673,476.087,497.268,531.234,1438.282,258.161,371.349,1124.090,915.884,959.856,971.866,2032.123,1466.188,1611.148,1562.275,936.974,576.964,1358.993,1248.915,1183.284,1144.326,926.015,789.823,676.418,878.824,863.509,366.231,589.753,1088.435,1302.845,805.536,1144.992,929.899,1226.928,1559.496,1893.955,1247.650,1342.704,671.394,869.022,1254.078,350.853,662.507,209.617,302.281,290.344,148.511,1015.648,629.872,140.455,1003.755,1110.733,322.302
834,3751.159,1555.746,1094.983,850.992,1216.813,1038.823,1306.183,793.931,928.362,674.310,668.370,263.223,590.523,376.739,357.270,320.993,649.941,1172.485,2058.760,324.913,211.626,670.572,684.253,454.389,448.378,355.936,1295.897,335.380,304.530,923.559,792.206,1094.919,1196.929,1633.655,1584.444,1722.508,1658.044,949.974,532.679,1659.147,1203.778,1523.529,1210.326,1038.031,762.873,633.716,1343.118,1304.409,563.720,392.241,1291.978,1389.791,760.671,1195.328,1404.616,1151.836,1632.752,1895.270,1215.933,1412.919,559.212,1223.161,1230.519,140.831,632.647,202.065,163.216,174.465,112.732,1080.057,585.949,244.455,799.894,1006.208,537.771
835,3645.809,1625.075,1003.781,767.341,1329.482,1397.272,1405.769,673.302,713.227,554.283,543.597,187.042,399.707,439.906,312.189,433.522,410.526,1220.369,2128.299,373.217,171.682,530.851,528.867,383.333,505.622,442.649,1313.575,430.358,317.801,922.749,792.639,1316.577,971.898,1992.497,1175.639,1407.475,1560.857,930.269,534.589,1301.487,1114.634,1118.884,1042.200,970.938,732.381,499.099,989.202,1311.718,485.727,497.899,1372.870,1302.326,625.186,902.681,877.182,1316.013,1563.397,2016.108,1146.183,1502.044,738.977,1038.562,1223.899,184.184,503.860,208.025,246.763,92.064,149.100,1181.248,599.111,293.805,1245.681,1010.931,354.844
