 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
1591,139.052,60.372,9.234,73.192,15.115,97.622,41.000,100.000,121.873,35.098,82.915,27.612,124.363,57.009,21.220,94.476,37.809,150.520,53.800,11.795,161.543,108.079,103.617,99.310,16.878,368.956,151.900,289.819,214.986,426.379,1253.559,211.505,84.145,91.481,110.583,341.148,442.158,88.491,188.398,317.775,300.731,121.145,236.020,106.083,29.571,189.418,373.882,336.980,314.299,117.019,169.929,277.256,359.291,161.694,129.163,34.259,86.712,279.777,82.582,126.849,111.966,220.333,252.146,340.444,210.366,56.367,834.735
1592,65.093,126.543,58.701,46.720,109.894,14.222,42.377,39.132,31.697,95.879,75.553,64.302,92.495,108.561,27.910,53.922,74.519,229.128,27.391,26.577,75.682,162.632,75.844,114.135,125.221,476.380,125.283,199.201,238.910,409.868,1102.775,178.980,313.554,224.467,215.106,528.722,446.558,183.815,275.938,261.387,357.817,151.553,232.287,50.663,40.196,123.455,80.218,207.467,250.443,243.533,169.959,355.798,643.426,131.639,66.186,106.446,131.585,69.415,91.980,32.407,148.608,550.125,223.014,394.679,55.450,218.886,692.235
1593,76.619,20.884,48.533,97.128,136.124,25.611,102.623,43.825,139.155,51.424,22.138,48.752,88.264,31.553,39.090,123.311,73.863,134.384,82.427,8.949,158.451,212.772,30.891,97.683,139.275,313.873,111.167,309.832,133.900,462.658,1134.333,229.683,69.759,181.437,117.303,384.037,276.292,427.120,249.434,349.342,428.258,194.197,501.436,73.284,18.973,88.412,103.391,88.760,237.485,188.645,169.071,365.899,255.534,48.306,160.349,38.054,164.517,100.700,123.346,75.872,130.493,379.292,163.014,347.580,83.817,29.987,500.069
1594,78.784,85.822,23.766,91.968,84.398,117.967,30.953,115.491,77.183,8.341,45.532,35.155,34.747,97.132,66.940,18.748,208.351,110.600,37.664,85.013,112.936,166.184,138.445,106.794,31.634,378.608,188.883,391.087,243.981,299.247,1287.270,140.010,318.867,110.274,209.394,161.250,336.183,220.963,357.442,272.009,316.849,336.447,246.495,71.302,150.696,72.327,228.518,242.293,119.629,155.607,231.449,333.124,273.020,94.174,69.194,54.321,146.873,98.015,109.784,187.826,46.439,382.146,173.007,514.222,228.198,22.544,426.284
1595,7.134,41.581,63.462,109.744,49.398,203.422,49.453,10.307,60.042,20.909,72.479,46.953,11.615,28.561,70.630,143.107,110.122,75.688,21.327,38.154,115.185,153.833,47.492,22.556,11.740,371.759,99.142,353.591,392.762,620.958,1047.441,165.564,110.337,132.563,107.879,424.176,428.717,293.694,404.000,389.324,417.968,112.237,240.921,100.757,18.482,58.842,45.355,193.407,468.495,49.860,103.357,120.233,494.155,80.681,48.279,41.812,69.924,127.862,59.562,43.233,109.041,511.583,191.708,254.309,63.000,25.418,530.755
1596,87.959,27.295,60.495,78.840,15.097,104.556,125.594,21.167,37.296,102.470,85.138,41.310,95.604,48.851,63.460,13.796,86.450,111.312,79.291,5.872,83.566,49.737,12.852,119.111,63.420,277.032,123.250,200.235,290.462,434.642,1072.162,153.248,142.506,94.689,142.530,277.111,314.225,287.204,303.230,482.973,414.645,222.539,147.149,114.160,77.509,142.224,182.064,231.420,313.784,214.150,122.837,312.899,316.493,167.549,122.054,59.536,241.017,67.069,146.046,159.628,141.000,83.688,64.021,472.469,205.366,87.051,677.931
1597,125.485,50.217,43.739,79.576,53.035,209.656,133.472,7.588,95.915,10.136,20.309,52.628,15.341,36.605,86.350,101.641,96.748,108.200,15.527,6.833,63.780,187.404,63.375,194.857,191.626,187.468,164.400,216.201,223.190,427.574,1445.108,134.495,108.386,312.726,80.061,523.509,563.125,165.861,296.301,506.216,466.731,116.750,268.069,182.201,49.741,134.970,134.655,102.047,342.526,189.159,304.673,255.620,292.507,113.076,156.992,62.598,72.424,49.162,137.928,119.163,128.142,488.958,118.778,398.222,131.305,87.367,512.088
1598,97.753,84.713,47.766,154.608,68.027,133.011,30.519,13.868,131.683,23.652,83.628,40.984,56.110,88.439,88.730,23.214,112.252,192.368,46.318,7.808,151.590,224.079,19.836,100.754,194.458,262.709,158.717,235.611,346.695,429.811,873.784,123.931,70.867,108.837,211.561,457.444,356.358,284.963,206.230,444.027,441.194,201.987,231.683,30.521,203.438,94.509,159.018,273.347,506.000,173.776,187.102,398.690,381.514,69.097,144.465,52.571,107.669,48.877,78.817,126.221,179.777,430.875,56.326,452.852,82.672,56.557,490.539
1599,8.361,38.388,37.880,111.208,15.080,58.878,34.406,71.009,48.465,96.871,16.255,21.636,65.648,148.430,37.550,150.243,187.397,22.888,87.745,9.615,100.451,196.588,167.742,147.413,33.550,347.551,118.500,370.054,132.219,521.379,1257.640,206.634,94.880,170.881,168.629,544.620,388.158,116.204,359.239,364.505,528.065,246.039,153.465,74.373,100.500,85.491,293.891,199.027,306.474,76.533,130.306,312.566,300.203,135.542,179.178,43.607,207.534,29.046,87.575,88.233,94.412,251.250,70.479,402.975,254.237,64.848,458.755
1600,37.144,98.729,50.201,112.352,21.726,54.622,80.151,39.930,142.662,45.492,26.830,56.775,101.681,77.395,238.990,78.165,81.168,125.792,28.027,51.551,109.630,161.009,21.828,24.373,56.771,338.506,135.792,269.826,154.800,366.684,1067.505,119.248,27.289,48.830,99.545,446.731,519.858,180.296,397.796,236.766,289.989,211.237,458.406,7.059,73.295,176.291,188.091,247.533,221.969,188.701,339.816,215.953,439.716,130.812,140.101,45.080,136.619,54.492,134.745,195.907,140.736,500.542,177.465,203.074,116.809,78.899,401.667
1601,21.433,42.930,49.087,47.064,51.389,56.556,25.802,9.070,120.127,100.947,27.596,12.891,71.846,71.570,67.310,55.155,272.557,94.112,37.191,15.974,137.006,160.026,115.102,119.563,140.992,382.538,13.783,226.168,346.357,369.442,1304.685,82.663,190.663,195.489,83.015,403.556,270.292,203.065,361.381,519.369,487.516,172.382,245.832,71.379,39.330,131.255,159.418,218.840,406.742,169.682,272.888,311.434,354.912,102.264,105.829,53.384,78.839,84.531,71.118,110.221,164.189,283.375,228.160,240.963,140.244,10.165,738.716
1602,47.588,77.504,37.870,29.848,76.752,69.233,83.377,102.860,70.338,41.750,8.989,48.605,167.824,138.535,12.300,51.068,102.397,111.976,50.300,109.269,119.919,236.728,75.477,95.437,96.588,302.544,72.417,307.933,296.114,419.911,978.405,240.693,94.048,156.526,79.977,424.750,317.692,303.620,242.018,493.784,470.333,135.237,327.317,39.308,202.786,44.527,176.264,130.660,231.732,219.393,123.673,281.054,482.074,199.104,147.140,51.643,122.314,71.269,100.974,101.035,173.459,396.458,100.458,169.012,126.763,107.709,365.137
1603,10.907,63.310,21.902,70.760,51.717,129.833,7.415,74.167,110.056,45.447,34.872,63.891,70.835,76.947,11.970,18.291,99.885,96.424,60.373,27.205,191.884,141.851,86.516,86.762,115.954,498.278,122.258,282.396,217.105,491.463,962.387,244.475,315.289,80.844,183.462,115.769,533.842,173.907,394.248,515.613,279.677,200.500,270.644,26.746,77.277,166.624,206.809,228.920,295.093,192.168,68.990,188.225,429.750,22.479,52.690,38.616,80.373,139.731,153.647,16.942,63.514,57.354,166.528,370.407,126.137,115.152,364.725
1604,48.093,27.295,20.076,120.720,75.336,83.911,79.434,88.763,46.035,8.492,34.277,61.000,54.835,20.912,28.070,145.485,182.450,80.640,124.573,30.205,64.983,180.965,73.641,158.079,69.931,517.114,128.108,231.691,310.738,439.542,972.613,161.119,200.434,198.296,181.962,298.324,387.133,257.139,436.274,286.550,392.925,66.526,296.188,128.296,87.875,181.497,195.864,122.020,296.598,231.523,272.776,356.581,300.669,52.153,43.155,52.741,109.322,106.231,92.693,21.523,156.514,234.646,178.750,474.519,285.840,12.152,480.784
1605,66.505,40.202,98.962,27.920,37.628,79.611,127.660,18.298,132.620,27.114,209.511,47.612,70.681,157.491,76.190,111.087,140.458,51.960,64.927,46.846,92.364,171.798,69.234,68.365,107.824,229.741,151.775,247.564,370.329,510.968,969.991,166.277,61.759,133.022,205.197,175.176,510.525,461.954,329.159,588.324,523.021,220.882,79.485,80.367,126.768,143.436,191.518,171.293,229.113,169.533,52.602,266.822,425.182,94.826,95.403,19.929,66.212,164.854,105.961,109.314,132.926,117.417,173.604,333.765,98.748,10.848,355.373
1606,60.000,70.209,44.516,94.456,45.752,123.889,219.245,87.719,33.324,19.386,97.160,92.636,15.022,51.684,252.190,17.427,165.466,43.648,10.064,75.436,58.486,444.860,34.211,69.873,79.084,225.962,240.583,278.040,164.800,432.963,1596.802,133.386,167.542,217.252,183.220,195.102,372.533,296.481,319.460,311.144,448.602,115.855,256.426,118.450,114.848,189.242,183.009,271.900,334.474,139.495,32.694,345.605,465.703,61.292,131.256,125.571,63.695,74.262,105.065,87.186,60.608,226.083,185.278,488.296,143.534,179.975,557.029
1607,174.124,8.729,13.870,55.672,79.062,46.133,84.283,94.781,23.472,96.962,36.787,131.682,82.011,114.386,172.740,144.301,156.832,51.472,47.373,6.167,137.179,86.807,99.133,143.206,62.405,306.405,132.300,249.081,340.762,330.484,1070.027,164.861,65.072,167.289,87.356,495.037,221.233,271.667,309.053,521.414,423.247,247.855,389.941,84.609,87.920,124.903,303.282,196.200,168.237,253.467,244.306,294.326,459.878,147.736,108.078,74.973,227.229,114.085,116.778,67.140,157.547,270.312,111.854,297.420,65.641,63.532,527.873
1608,94.948,84.217,15.902,26.104,72.982,188.833,51.368,54.404,122.944,90.561,100.564,27.209,61.220,75.912,155.130,155.816,37.313,146.696,60.036,36.346,199.746,232.044,128.906,178.913,142.557,244.962,148.675,220.101,221.071,439.711,1229.477,92.663,143.699,167.526,87.530,358.139,447.375,313.815,240.416,330.126,487.527,283.145,254.644,94.598,182.357,134.533,197.709,181.453,300.608,195.710,138.847,338.209,443.345,77.993,76.318,31.812,83.195,55.646,212.641,41.291,140.324,228.167,120.146,344.333,128.298,74.241,389.431
1609,29.351,57.659,73.576,200.192,62.717,92.211,133.566,106.228,71.732,64.538,9.862,9.822,82.198,45.342,55.820,20.398,57.863,151.472,12.809,80.949,148.324,57.816,83.977,83.802,49.267,255.152,79.925,259.933,362.505,417.668,995.622,191.010,189.193,148.800,105.750,315.556,599.825,275.444,570.770,140.568,529.075,118.026,385.337,66.840,152.188,130.030,184.155,233.453,212.454,283.477,164.316,334.558,416.054,36.986,104.961,54.696,106.102,38.069,30.967,271.884,134.534,268.333,102.222,196.827,108.885,46.241,645.520
1610,157.474,26.302,84.500,127.032,97.876,25.267,30.330,54.360,142.880,48.091,17.532,161.783,140.275,20.026,105.400,63.155,92.573,134.472,10.136,8.551,122.965,100.474,144.469,96.944,85.336,489.614,247.975,103.168,163.729,514.990,1132.090,148.386,137.108,190.452,106.500,348.324,354.717,280.185,353.027,315.189,295.333,164.474,308.049,94.047,82.902,90.103,132.882,186.773,340.485,182.617,159.898,335.558,357.703,64.403,81.791,101.929,47.780,200.354,123.758,191.070,165.736,533.854,251.035,177.025,198.053,19.000,633.059
1611,54.495,76.326,64.125,60.920,18.929,83.367,42.453,105.719,48.951,18.356,12.691,20.527,46.670,42.535,166.500,150.194,195.198,68.648,27.945,13.256,111.590,117.272,121.422,150.698,42.725,445.253,63.150,217.403,401.438,468.916,1326.505,157.802,351.614,90.881,76.288,305.167,271.083,304.472,454.841,430.649,444.387,182.592,167.178,132.201,72.643,44.842,120.918,233.900,340.866,190.458,141.857,339.977,364.453,187.326,83.116,73.036,168.585,75.062,58.824,29.384,75.162,58.792,150.458,436.741,99.122,49.646,512.520
1612,89.082,39.628,69.130,80.696,130.018,125.400,121.302,110.333,152.056,21.947,129.191,42.915,119.813,78.219,66.050,125.243,133.664,91.368,129.236,39.705,128.133,215.114,110.500,122.016,50.275,285.696,81.300,355.188,462.152,440.689,889.324,168.109,158.759,178.230,91.742,210.361,405.858,233.639,276.257,378.514,134.000,111.474,341.267,91.509,113.911,133.018,56.764,78.220,325.546,157.196,252.122,340.171,529.939,122.729,126.039,60.804,119.212,130.692,170.745,14.372,140.831,491.188,292.743,280.062,141.840,90.911,434.118
1613,114.289,26.093,51.929,33.536,48.372,129.656,98.491,49.930,44.493,98.091,157.691,119.248,90.264,69.202,85.640,67.670,179.885,142.800,10.391,58.949,120.723,66.368,84.883,131.278,21.015,270.139,163.675,260.557,231.767,453.316,1233.658,64.782,133.880,186.881,143.197,352.343,267.992,162.176,359.301,337.622,419.634,215.237,391.663,39.645,193.518,108.352,174.400,256.913,207.423,155.664,109.571,236.147,363.250,155.681,34.946,93.643,110.678,89.015,313.510,129.860,173.257,101.771,150.472,337.741,233.763,223.291,809.676
1614,97.763,26.279,31.929,42.304,63.274,53.111,140.509,56.904,105.817,26.326,9.160,77.326,76.560,57.465,187.650,66.670,98.710,120.608,69.427,83.256,107.642,114.325,155.383,89.349,127.092,328.006,156.675,159.128,283.386,534.468,1036.649,216.049,112.771,175.452,224.061,403.926,525.733,313.361,310.124,610.550,300.548,122.461,336.119,132.195,102.402,68.515,187.055,213.207,207.052,187.794,140.959,200.605,324.122,158.771,106.341,62.812,61.695,118.815,213.111,92.581,125.243,65.917,230.479,420.185,131.832,72.076,550.304
1615,60.052,47.132,99.402,132.336,103.487,84.278,43.811,65.421,127.239,71.417,46.830,121.527,51.516,154.316,93.360,74.010,91.260,48.696,137.082,58.987,141.266,111.570,135.023,73.159,9.008,336.000,41.067,200.255,239.576,511.626,1535.928,267.941,179.169,258.237,179.856,365.630,309.250,309.620,307.947,614.487,562.914,120.645,312.426,54.586,67.812,31.600,324.709,198.753,260.247,188.028,261.704,274.171,401.115,145.312,111.543,176.411,105.297,103.308,202.477,31.326,88.703,327.875,147.569,463.667,210.336,14.570,687.824
1616,10.670,61.140,79.016,98.968,39.655,84.778,34.566,154.518,59.486,55.114,88.000,129.597,199.462,127.675,99.960,148.000,51.191,106.696,10.209,39.731,169.098,163.342,52.320,60.397,157.550,228.253,34.158,371.268,237.643,454.463,1250.739,293.218,178.964,139.437,208.818,510.065,358.167,104.546,329.628,377.676,413.108,103.789,477.129,79.035,144.545,189.073,169.900,106.493,352.330,206.533,133.755,242.984,424.541,55.160,68.256,103.768,77.466,114.115,167.229,121.570,86.797,470.354,95.819,552.877,190.198,56.443,753.833
1617,51.186,107.829,45.293,28.512,15.496,19.144,56.123,65.263,82.063,17.970,79.670,20.783,119.286,45.579,54.570,140.204,92.198,133.080,14.827,14.179,103.717,435.474,9.367,225.690,87.565,414.348,235.183,253.872,214.581,308.947,944.072,187.010,172.554,329.170,256.311,379.556,468.150,213.824,345.566,489.324,317.118,354.737,534.297,101.574,86.982,103.261,141.791,112.813,254.402,306.028,78.041,278.326,475.730,135.674,78.496,92.125,114.364,232.408,120.797,112.814,45.608,282.062,61.639,472.333,45.481,25.405,664.500
1618,79.485,122.101,88.783,49.520,163.442,195.556,40.170,77.114,44.458,28.939,10.628,127.504,42.198,54.526,116.770,42.427,72.443,155.952,14.555,26.756,163.809,157.877,89.672,110.651,155.588,362.595,72.375,274.450,247.995,511.337,1342.189,221.248,252.108,67.970,161.780,408.574,341.883,686.130,481.381,442.676,589.796,184.566,233.881,85.497,42.312,242.170,270.664,221.700,323.412,314.794,130.388,374.411,477.966,39.118,52.078,58.955,100.924,126.392,129.706,30.093,42.581,108.271,260.931,453.444,104.733,77.570,580.235
1619,11.474,50.341,40.641,167.912,60.009,94.311,86.019,12.228,105.648,7.780,107.457,69.620,120.835,22.491,36.310,87.262,105.656,115.896,94.391,51.346,128.353,95.412,11.070,125.135,149.115,440.120,284.192,218.114,340.262,503.595,1119.775,193.079,83.687,133.133,186.705,391.602,422.100,306.361,167.398,493.360,518.624,145.197,558.475,82.740,112.661,190.558,77.273,156.880,309.309,197.645,100.582,157.651,278.973,101.361,118.651,101.464,67.449,37.062,115.392,100.826,237.162,113.542,114.667,363.988,65.710,106.114,637.520
1620,8.948,130.202,132.696,195.160,119.558,99.589,232.594,36.956,137.289,45.152,97.223,27.791,99.198,75.860,154.400,37.583,243.695,118.240,25.582,23.154,106.913,31.123,45.922,101.889,16.725,293.247,129.108,173.389,441.552,416.263,1032.072,215.455,225.313,132.541,128.311,487.167,304.917,217.657,237.841,438.685,311.269,232.434,464.396,135.391,46.188,188.376,232.773,124.993,476.567,206.626,358.673,254.070,417.791,82.896,160.651,144.688,190.102,73.654,119.712,24.674,108.750,398.271,98.083,468.506,93.878,104.734,361.471
1621,39.567,100.876,22.804,233.160,38.673,35.178,84.981,90.991,114.408,38.462,19.617,91.519,14.286,59.649,11.990,43.515,164.046,52.728,80.555,21.474,81.150,155.018,105.711,155.040,106.046,219.981,220.700,256.322,296.629,375.711,1146.072,110.366,215.470,88.593,177.152,424.417,347.233,315.037,369.708,523.568,385.559,228.237,319.584,58.130,189.125,97.382,214.955,195.927,174.825,229.252,113.102,285.651,353.250,60.757,82.302,26.366,82.093,50.462,135.033,121.884,156.068,587.146,220.889,241.469,218.366,52.899,497.284
1622,37.866,49.612,14.576,58.256,11.336,31.311,113.849,62.623,129.648,12.136,93.681,105.155,44.297,162.114,115.710,104.670,81.267,149.048,91.073,5.872,140.884,57.711,73.141,62.349,58.160,495.259,42.867,237.570,157.005,502.063,1034.018,108.277,93.229,159.911,139.629,385.417,405.017,374.593,482.956,483.333,387.624,123.053,105.020,107.769,175.964,111.976,205.555,296.900,351.691,169.701,166.673,427.589,366.932,22.583,107.248,187.875,136.602,129.854,84.176,55.791,143.061,143.854,147.986,152.148,157.733,184.582,386.304
1623,38.887,138.209,88.348,57.552,27.770,79.733,45.198,36.728,16.437,87.008,40.713,93.783,83.560,78.070,59.820,27.146,165.595,63.584,55.182,26.179,79.844,152.904,52.492,177.881,56.260,377.570,149.400,302.121,277.743,434.979,1221.081,240.812,17.843,215.526,65.841,318.963,403.192,393.537,382.575,367.189,335.054,580.276,295.000,34.686,128.402,63.042,156.982,259.487,198.753,155.972,120.153,201.636,469.304,119.715,94.829,115.321,72.644,105.777,133.144,276.628,81.939,184.938,205.576,644.531,64.405,188.949,520.951
1624,71.052,10.085,128.076,152.752,27.929,13.089,69.226,85.789,186.430,69.242,115.096,45.085,12.747,40.640,48.250,91.718,190.802,109.880,16.827,25.244,129.486,106.263,20.266,96.048,66.710,368.399,142.017,320.933,181.510,481.789,1507.108,207.644,220.434,81.104,162.053,400.898,390.225,135.333,357.885,482.405,460.935,111.882,362.059,90.030,170.420,233.000,173.982,236.927,225.093,194.178,365.306,270.372,335.088,40.674,152.318,109.830,179.424,68.900,84.007,114.593,84.115,205.125,131.368,317.889,158.527,115.975,660.088
1625,16.423,83.953,61.060,75.512,42.186,58.389,92.453,56.816,115.000,14.856,9.160,8.915,36.330,102.491,34.760,90.049,79.542,61.136,58.682,6.333,99.740,272.667,190.742,141.587,83.336,305.392,162.950,337.242,298.900,513.232,1396.955,248.881,230.506,166.230,189.939,431.861,332.675,275.843,348.673,334.712,455.591,365.329,349.614,24.065,154.491,77.376,82.764,140.080,244.412,158.206,54.061,274.891,329.912,77.201,137.930,153.098,77.508,197.438,124.686,198.872,155.284,163.583,101.868,455.049,254.405,171.000,463.235
1626,54.722,60.845,85.310,23.904,118.062,104.844,122.462,48.096,80.007,56.674,46.500,59.008,43.121,41.096,39.420,108.087,105.802,187.640,56.982,25.936,129.081,208.667,134.055,44.048,154.847,486.595,229.425,317.208,324.186,482.295,1479.036,277.822,96.120,202.807,110.106,538.046,356.667,214.250,304.619,673.487,455.516,259.303,369.772,63.136,127.295,138.418,264.582,229.100,334.845,245.318,130.837,498.380,547.432,87.382,43.853,53.679,94.458,252.346,201.425,28.302,181.601,571.125,169.396,272.951,99.344,8.266,647.775
