 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135
1,1734.750,4727.457,1681.046,1772.605,1610.816,4255.500,1230.108,1368.664,787.714,755.116,2006.012,1506.404,1553.106,1070.925,1446.259,1695.035,708.481,725.024,1108.609,1570.061,589.487,1005.140,667.904,684.469,890.390,926.273,1266.713,814.651,1045.179,853.920,882.944,1085.439,1821.456,2186.157,873.693,1754.076,3780.688,2528.444,1330.452,2237.580,1237.420,1166.544,1981.093,3688.192,2854.280,517.927,755.295,991.559,1094.697,1744.162,985.630,1586.175,985.008,780.164,842.745,1360.738,3090.802,2372.762,867.867,1876.982,1152.037,648.083,1572.606,1272.676,1094.605,990.420,1729.160,1299.951,841.480,943.949,422.866,1686.693,1325.810,1147.929,885.482,1122.585,674.740,735.922,1795.450,1750.078,1389.434,1010.462,2140.969,2458.627,2527.207,1895.638,2475.369,1176.124,1175.018,1039.545,1336.788,1191.080,896.060,1032.647,1093.764,579.063,699.101,926.928,1146.248,692.207,929.975,802,849.316,863.888,1202.500,1452.435,1005.745,1764.632,2030.367,2037.184,1069.210,2367.166,1241.948,1942.469,873.067,2334.558,1057.007,662.856,831.109,5019.865,4844.052,2409.946,2815.306,2764.174,2327.922,1812.729,1408.096,1385.698,655.174,1646.375,1951.132,3167.843,712.863,589.726,617.879
2,1939.558,4566.283,1689.066,1740.994,1458.735,3958.882,1242.834,1572.433,730.534,792.287,2015.645,1631.515,1759.048,923.126,1551.249,1830.257,856.721,728.410,1174.144,1794.761,785.270,971.022,777.370,796.038,1015.846,1126.065,1256.678,1031.231,1225.463,1011.627,859.833,1375.689,2118.409,1860.112,881.414,1634.780,4007.869,1948.770,1286.968,2212.656,1381.207,1383.245,2170.642,3627.539,3178.407,573.496,773.675,975.128,1402.935,1801.189,985.693,1563.819,1194.075,927.639,1014.245,1424.325,2942.637,2532.850,1101.211,1818.425,1501.720,893.891,1675.583,1355.176,1358.065,884.493,1755,1389.894,1028.560,1052.347,372.964,1505.847,1596.386,1099.026,754.667,1114.877,736.249,718.872,1510.058,1919.719,1306.161,1092.664,2134.061,2355.093,2776.086,1908.402,2659.101,1369.372,1294.380,838.104,1478.327,1287.010,934.940,1232.260,1213.818,533.126,834.038,1028.949,1240.008,790.707,932.908,696.687,1219.230,1062.552,1335.358,1140.293,996.851,2056.953,2068.488,1885.969,1125.665,2411.880,1112.403,1699.937,971.617,2708.981,1041.637,656.879,801.292,4950.125,4572.852,2773.209,2838.019,2610.635,2269.734,2093.961,1285.860,1340.515,779.632,1835.904,1935.295,3221.379,692.187,661.522,650.726
3,1716.775,4885.942,1842.587,1655.459,1297.066,4349.213,1358.586,1440.478,800.489,808.116,1986.530,1588.448,1703,1387.157,1464.789,1711.106,836.455,581.319,1110.580,1741.217,794.892,942.132,845.207,703.685,998.813,1116.864,1383.244,903.600,1044.632,841.667,866.762,1362.701,1868.316,2129.079,896.679,1953.629,4255.254,2703.690,1230.774,2520.603,1450.943,1190.095,1989.053,3959.385,3022.653,556.759,999.355,1153.863,1353.574,1758.234,736.102,1500.801,1276.030,939.287,1008.064,1655.975,2869.846,2832.646,1050.516,1809.097,1095.879,865.155,1590.315,1555.872,1361.153,967.507,1806.740,1055.447,894.470,957.992,412.929,1687.180,1385.281,886,873.533,1126.885,735.934,637.816,1879.242,2014.184,1216.021,1057.664,2153.294,2246.940,2835.064,1852.457,2722.262,1493.798,1306.752,890.584,1194.991,1375.390,915.800,1085.496,1119.736,605.175,784.816,1030.558,1419.178,741.829,776.412,876.626,1014.270,964.432,1488.455,1428.359,847.539,1865.123,2105.437,2251.521,1180.278,2257.323,1302.619,1545.432,1348.433,2366.135,1088.096,683.401,908.401,4749.340,4475.174,2344.364,2759.688,2731.330,2143.818,2008.488,1468.419,1321.132,738.786,1732.202,2058.093,3482.902,751.209,507.459,588.721
4,1986.325,4658.659,1817.607,1736.471,1427.154,4162.669,1266.701,1786.067,755.309,764.659,2005.343,1481.250,1873.721,1150.774,1812.719,2075.566,677.208,803.922,1275.586,1750.228,684.365,1212.552,932.778,627.746,1027.098,1282.922,1327.583,939.010,1142.731,993.007,969.508,1264.988,1874.474,2346.264,941.800,1682.121,4232.287,2326.278,1431.542,2115.321,1329.310,1097.810,2162.106,3819.961,3353.720,496.299,951.964,915.659,1393.645,1846.631,1066.173,1510.667,1184.586,1011.467,1142.681,1484.287,3186.143,2458.211,1192.523,1978.743,1522,827.150,1472.764,1649.203,1394.581,1139.101,1807.605,1248.008,916.330,1110.847,372.812,1790,1185.418,1023.619,836.281,931.769,833.751,785.355,1766.692,1854.990,1240.797,1124.874,2263.926,2742.893,2766.957,1881.945,2405.490,1236.465,1484.743,1136.688,1437.150,1419.010,1073.033,1178.177,1106.091,650.503,827.139,1072.507,1397.899,740.521,894.992,952.919,1028.579,917,1417.664,1547.435,1025.007,2220.160,2171.759,2621.159,1117.176,2426.241,1057.552,1887.829,954.892,2685.231,950.244,706.553,843.336,5045.195,4650.955,2682.691,2868.312,2820.096,2272.331,2215.574,1156.456,1398.721,729.905,1661.298,2058.597,3254.614,929.158,551.955,512.621
5,2344.117,4770.906,1837.204,1987.662,1612.140,4748.500,1400.662,1520.813,662.747,766.395,2262.837,1781.081,2004.692,1264.855,1374.768,2200.593,661.851,794.548,1256.431,1773.194,752.392,1089.404,894.096,775.700,904.789,1205.468,1399.422,971.369,1358.657,1082.740,786.373,1410.299,1732.836,2452.994,1052.786,1829.841,3982.475,2660.532,1391.581,2245.260,1379.253,1307.422,2409.775,3891.700,3253.788,524.912,837.048,1098.280,1313.897,1861.378,772.787,1643.433,987.406,968,900.734,1384.800,3245.835,2513.823,1051.945,1916.646,1393.346,968.617,1816.323,1549.378,1307.944,1094.623,1997.437,1182.073,973.700,1057.229,575.536,1539.860,1542.078,996.155,1007.852,1455.946,830.414,827.206,1610.575,1922.816,1399.189,1324.202,2103.969,2567.207,2672.143,2075.803,2615.577,1723.891,1279.496,1243.909,1584.540,1351.120,1037.027,1327.613,1239.600,591.503,776.854,1101.594,1447.961,795.643,948.168,1094.111,1162.980,939.384,1426.948,1568.337,1140.496,2135.406,2183.965,2229.208,1133.324,2728.609,1145.052,1821.369,1046.225,2868.231,1262.748,658.803,802,4984.330,4662.606,2935.646,2856.906,2757.061,2390.838,1974.953,1481.706,1377.698,853.289,1794.490,1836.915,3764.131,941.281,616.191,599.158
6,2146.700,4732.913,1822.321,1899.758,1777.198,4673.118,1447.153,1550.836,782.376,842.054,2140.380,1983.022,1973.808,1194.868,1562.027,2049.159,745.182,780.681,1278.282,1870.428,861.054,1439.912,779.622,764.869,1021.049,1093.747,1340.822,1057.267,1146.687,925.500,879.389,1371.439,2110.298,2099.949,866.243,1897.970,4095.451,2636.722,1299.181,2473.267,1537.563,1228.660,1908.788,3977.446,3022.839,623.161,1080.157,1088.588,1256.961,1757.622,1091.283,1545.526,1292,892.311,1052.521,1600.037,3323.615,2892.156,1029.234,2241.912,1338.561,742.047,2042.307,1433.135,1576.532,1063.174,1815.160,1065.976,1039.820,1121.110,504.304,1673.373,1453.248,1161.665,922.600,1093.569,896.381,886.213,1583.192,1767.175,1466.182,865.950,2123.301,2528.920,2611.814,1919.693,2884.329,1446.628,1699.557,815.610,1217.513,1333.660,774.700,1338.698,1457.555,718.559,770.886,942.043,1146.806,885.300,986.874,850.121,1285.480,902.816,1276.052,1494.467,1127.660,1986.226,2278.482,2241.282,1090.102,2488.120,1197.366,1947.523,1203.783,2745.365,1039.178,581.220,814.051,5114.755,4765.813,3164.827,2955.113,2913.296,2414.630,2146.240,1260.566,1422.956,732.547,1856.500,2050.713,3493.137,867.180,662.204,583.926
7,1883.950,4881.210,2097.699,1880.669,1596.103,4536.272,1210.013,1730.702,657.640,787.488,2360.169,1601.743,2348.721,1354.434,1670.535,2318.292,929.799,809.837,1074.678,1644.978,772.054,1008.816,756.504,735.115,1076.675,1177.695,1265.348,937.938,1035.109,1114.453,992.960,1467.652,2355.702,2162.556,1000.293,1966.205,4067.787,2611.111,1223.374,2520.458,1354.460,1165.633,2244.940,3548.608,3265.441,612.927,909.277,1170.540,1294.226,1985.631,692.772,1707.316,1127.143,960.516,1075.936,1568.350,3467.110,2579.347,1277.391,2282.239,1243.729,796.834,1816.535,1337.392,1595.331,1099.659,1631.395,1183.439,1005.580,1108.356,454.795,1623.713,1538.784,1071.961,869.496,1089.692,715.028,658.645,1986.142,2054.126,1460.755,1162.344,2427.785,2546.460,2913.300,1913.543,2680.738,1332.388,1595.389,1316.104,1268.734,1427.560,977.627,1028.109,1415.436,443.448,859.101,1196.152,1383.628,695.579,737.050,939.788,1029.243,944.456,1643.657,1324.348,1109.993,2071.288,2441.492,2164.528,1094.812,2779.602,1080.478,2119.775,1238.233,2546.942,978.719,571.742,1012.022,5165.250,4500.632,2922.455,2925.375,3041.635,2447.013,1949.473,1438.757,1252.515,909.169,2275.702,2079.775,3690.660,739.511,607.427,650.626
8,2119.875,4893.261,1887.459,1833.943,1496.198,4486.118,1256.083,1781.985,842.702,766.605,2250.952,2006.647,1829.423,1077.730,1643.816,2263.770,798.688,868.633,1342.885,1643.561,555.162,1040.243,721.170,787.700,887.455,1433.006,1362.939,912.708,1191.065,973.907,1045.286,1469.256,1845.310,2239.770,914.971,1793.879,4235.106,2542.421,1244.955,2346.435,1442.282,1245.544,2113.735,4062.146,3348.534,729.599,795.916,1105.270,1320.716,2112.577,865.094,1711.415,1406.556,1210.336,1291.766,1628.537,3130.428,2622.816,1270.508,1858.566,1488.421,771.254,1653.567,1492.635,1598.194,1155.406,1839.067,1200.545,899.090,1109.305,475.875,1797.633,1673.379,972.161,779.630,1250.392,945.486,679.475,2010.633,1955.194,1331.916,1045.118,2407.945,2721.107,3263.279,2023.795,2919.423,1454.566,1592.142,1251.520,1492.903,1369.830,1036.167,1134.857,1324.318,413.993,769.652,1231.246,1237.783,828.936,993.101,810.929,895.309,1202.536,1362.813,1433.022,889.213,2268.566,2429.668,2339.442,1081.182,2386.978,1176.433,2278.811,1244.225,2972.500,1285.881,736.780,896.927,5159.880,4865.968,2581.618,2984.913,2801.096,2427.097,2202.264,1350.302,1390.794,790.577,1699.413,1793.907,3772.392,867.309,670.293,596.068
9,1767.550,4795.493,1977.801,1768.777,1676.485,4372.456,1285.885,1875.784,675.551,815.504,2294.765,1990.529,2238.433,1056.742,1476.773,2271.327,783.649,896.584,1142.523,1583.300,845.459,1208.184,863.148,836.123,948.707,1294.448,1479.313,1144.344,1141.806,931.820,862.151,1524.933,1820.637,2256.949,974.079,1720.735,4204.394,2596.413,1251.084,2225.496,1446.092,1395.075,2199.934,3712.546,3218.839,587.796,957.247,1195.351,1382.613,1631.369,957.417,1916.778,1208.075,898.254,1030.543,1476.613,3464.506,3013.211,1215.477,2402.336,1557.944,754.088,1674.134,1499.520,1304.460,1120.761,2067.840,1365.667,1056.860,980.508,509.491,1622.353,1594.889,1044.484,934.067,1104.808,806.122,758.511,1746.125,1998.893,1483.566,1189.336,2354.650,2906.933,2838.971,2032.126,2854.859,1327.953,1313.726,1186.675,1399.026,1359.740,976.980,1117.681,1212.745,610.944,806.684,1118.985,1397.605,728.643,851.664,959.071,1408.809,884.600,1721.619,1519.054,1094.525,2106.071,2254.292,2405.380,1254.386,2623.925,1250.500,2036.991,1235.342,2817.769,1100.911,692,919.467,5227.560,4723.329,2519.400,2724.031,2930.426,2528.662,2005.636,1498.059,1446.765,896.662,1768.962,1954.984,3504.706,892.942,618.102,605.047
10,1808.300,5184.870,2042.204,1899.834,1714.515,4442.301,1439.159,1618.590,696.983,770.744,2265.735,1589.073,2118.202,1383.585,1870.508,2262.460,657.805,977.518,1247.977,1860.272,652.243,1192.427,717.252,693.146,876.187,1205.455,1566.378,1143.015,1255.418,1225.453,984.968,1286.256,1899.865,2317.506,1048.929,1998.833,3986.631,2802.389,1460.903,2284.267,1472.908,1469.075,2196.483,4041.177,3349.958,605.161,1071.783,1209.782,1403.665,1407.685,1123.276,1717.573,1503.361,993.713,943.681,1527.062,3455.439,2799.966,1171.836,2083.336,1205.121,946.762,1726.843,1278.588,1481.508,1223.783,1877.050,1237.423,1206.810,1136.025,608.652,1632.687,1480.804,1101.348,947.807,1256.469,815.365,671.489,1753.017,1717.039,1522.350,1213.034,2470.472,2984.107,2996.871,2122.543,2854.940,1371.085,1349.938,1520.195,1285.655,1387.020,914.853,1227.042,1335.736,432.490,660.608,1127.696,1576.798,1006.857,964.639,1058.263,1148.664,1116.488,1660.022,1377.446,1051.794,2218.910,2241.658,2239.202,1204.636,2863.241,1259.619,2083.676,1139.542,3060.833,1094.711,599.788,963.292,5112.250,4816.690,2453.345,3183.887,2943.174,2201.844,1818.721,1369.147,1418.052,817.224,1764.942,2033.488,3690.477,791.712,638.560,665.916
