 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
1,335.072,214.682,318.674,297.56,281.726,219.389,329.047,300.158,217.915,195.008,248.787,330.341,202.264,383.93,372.54,416.951,470.649,655.864,388.227,270.538,545.445,858.009,492.25,446.81,490.183,1988.709,927.783,1449.067,1311.181,2407.837,5757.874,594.614,558.241,1041.148,858.447,2555.324,2165.675,1972.88,1140.416,1811.432,2497.258,1224.842,1920.455,318.243,352.205,369.903,1133.691,1044.953,1727.907,966.785,969.918,1542.457,1625.905,680.16,546.845,489.473,474.907,514.392,461.183,475.302,157.824,694.833,453.507,1204.852,537.336,397.544,2130.892
2,195.144,290.992,378.848,239.584,363.31,268.733,413.33,338.105,300.528,155.023,240.681,217.938,461.846,440.746,286.48,508.068,320.282,770.616,395.273,124.308,427.971,831.579,574.852,723.087,490.275,1648.133,873.733,1882.893,1740.595,2626.784,4847.09,613.525,897.663,1016.289,1204.712,3152.954,2123.333,1776.944,1180.761,1719.486,2259.14,1090.355,1592.307,369.053,468.196,517.436,1066.227,997.647,1441.113,1163.421,942.663,1360.426,1986.155,567.014,805.643,442.705,576.483,551.815,416.157,418.826,173.162,406.771,539.132,1552.481,731.198,468.646,2511.088
3,280.031,359.822,252.728,309.376,351.513,353.078,525.802,348.447,331.387,173.356,217.691,227.744,281.451,528.368,315.23,588.845,590.924,625.968,385.818,306.654,512.636,826.149,578.672,470.881,503.977,2133.646,917.383,2008.195,1609.838,2511.589,5341.369,810.287,879.964,1086.081,1073.008,2782.991,2651.208,1789.759,1188.266,1853.342,2266.559,1273.553,1690.228,604.207,550.821,404.715,1211.464,1099.507,1807.227,984.607,951.776,1582.845,2070.926,362.757,610.628,601.277,496.008,691.962,403.477,344.953,181.196,205.333,388.458,1563.765,765.527,540.228,2606.902
4,249.546,294.527,360.473,250.344,274.743,309.922,340.321,361.044,301.563,230.212,375.585,378.372,525.692,495.728,337.79,431.913,578.282,680.72,284.182,246.487,577.965,833.114,647.891,511.698,693.412,1931.392,775.925,2241.114,1684.538,2401.79,5238.973,1074.178,898.627,1232.793,1180.689,2887.898,2343.767,1477.5,1250.283,2068.631,2137.097,1437.605,1824.257,409.142,415.804,561.406,1489.5,1078.187,1765.258,1120.701,935.602,1712.729,1820.439,888.056,669.651,419.661,430.195,838.615,572.797,542.942,190.466,727.729,401.458,1235.58,650.832,645.835,2364.392
5,92.165,211.248,270.913,412.056,220.673,428.589,487.783,292.404,239.535,403.303,221.223,288.636,453.033,616.763,259.78,571.466,497.84,794.6,335.973,210.115,589.434,646.053,507.289,649.873,354.901,1879.74,782.675,1518.201,1711.69,2764.453,5390.378,643.545,987.759,977.311,1121.432,2564.667,2458.283,1565.269,949.947,1650.27,2456.968,979.855,1602.079,625.58,425.929,591.376,1462.864,1285.76,2154.938,901.196,945.469,1795.14,2137.811,748.389,619.364,552.179,763.881,593.438,475.412,684.43,165.115,407.146,478.965,1492.235,805.855,437.696,2008.127
6,241.144,217.124,335.06,438.8,188.212,368.656,277.396,207.596,370.444,200.697,103.266,253.76,392.308,469.289,260.14,568.252,557.908,901.696,327.436,401.59,685.237,573.825,499.031,596.143,432.176,2069.747,830.642,2360.04,1969.429,2716.937,5556.991,851.307,512.06,931.822,1027.508,2946.037,2494.583,1422.843,1136.009,2094.658,2271.462,1489.092,1896.139,546.213,460.982,546.097,1238.264,1103.92,1712.629,809.523,1107.031,1768.465,2243.737,548.042,679.566,398.214,535.008,604.031,519.268,514.814,150.777,513.604,430.951,1343.556,628.42,443,2288.147
7,278.464,232.682,354.168,317.728,254.761,447.444,378.236,293.272,362.958,333.947,348.585,268.147,424.033,598.667,451.7,529.728,444.137,722.36,228.473,309.205,560.89,847.754,506.75,528.405,497.679,2104.734,925.808,1790.913,1874.838,2476.779,5440.378,760.554,767.434,1227.489,1391.258,2911.269,2726.8,1792.194,1195.557,2188.856,1900.237,1201.711,1875.069,368.438,382.009,556.485,1204.382,964.52,1772.062,842.533,854.143,1609.14,2054.061,519.632,785.984,396.062,502.339,572.4,488.758,503.233,175.824,488.854,461.403,1555.716,730.321,585.835,2158.088
8,156.619,282.651,271.446,379.024,287.053,194.378,377.538,324.789,366.204,247.424,188.202,248.86,281.209,568.289,191.43,501.039,414.42,797.928,275.936,218.897,555.879,985.728,531.945,762.706,679.115,2124.12,732.817,2080.456,1495.129,2554.521,5674.063,511.683,1015.916,977.941,1149.932,2618.463,2456.517,1912.944,1477.15,2304.036,1968.817,1272.395,1593.614,508.509,372.143,505.794,956.218,1342.147,1776.536,904.402,1182.745,1415.581,2178.291,522.993,623.426,405.098,561.11,609.015,536.51,367.419,201.027,357.562,326.417,1493.086,716.656,443.848,2292.304
9,113.113,394.403,292.875,278.976,212.115,349.7,451.679,417.342,299.718,320.644,283.596,363.822,424.78,450.684,356.12,586.796,507.947,749.616,446.391,277.385,542.936,841.632,634.812,449.722,449.824,1859.057,677.892,2236.127,1930.867,2552.031,5433.234,1016.604,679.711,983.681,1358.189,2529.685,2413.008,2106.944,1651.142,2019.982,2436.731,1229.737,1679.257,637.716,456.857,493.897,1041.564,1212.693,1829.423,1205.879,1210.633,1757.636,1885.23,614.382,801.736,495.339,450.483,490.977,558.582,339.302,154.176,470.583,534.986,1685.901,664.649,651.987,2685.029
10,176.557,314.535,264,284.016,241.062,386.978,375.792,238.781,383.472,406.523,336.245,285.016,235.374,812.237,336.22,322.796,531.008,758.072,464.564,267.462,361.335,727.623,648.867,508.087,601.618,2181.354,826.183,1794.221,1629.729,2427.637,5445.072,720.951,588.41,1075.259,1345.621,3017.657,2689.358,1702.269,1276.832,1948.252,2121.387,1559.961,2172.654,389.728,459.348,509.291,1237.9,1325.653,2271.67,1013.701,893.612,1374.124,1988.412,586.562,671.481,562.17,520.814,673.877,664.19,471.081,286.115,583.938,368.361,1484.148,685.061,678.633,2654.127
