 ,X,Y,Major,Minor,Angle
1,255.779,211.906,21.889,13.321,61.362
2,240.186,243.576,12.872,11.672,149.347
3,231.431,257.892,13.827,11.971,109.564
4,192.218,234.582,13.009,10.766,150.153
5,196.038,204.324,12.392,9.350,69.572
6,179.757,292.271,13.672,9.779,123.797
7,203.552,313.170,13.913,10.524,113.292
8,229.914,306.123,18.922,10.901,122.518
9,351.748,356.539,14.186,13.732,3.936
10,190.500,369.289,11.167,10.262,154.052
11,246.480,376.570,11.679,10.902,141.989
12,111.334,358.593,14.495,13.264,118.537
13,246.227,327.295,14.224,7.877,143.241
14,218.636,344.145,14.448,9.694,143.727
15,224.291,353.453,7.927,6.907,156.573
16,229.425,400.425,10.604,9.606,160.006
17,238.174,395.783,12.078,9.699,147.705
18,146.537,396.805,10.783,9.682,173.147
19,342,349.562,11.993,8.493,33.275
20,348.837,299.781,11.845,9.567,48.714
21,292.792,307.261,14.045,10.244,145.777
22,367.537,311.463,13.425,10.148,26.748
23,224.747,270.006,11.051,9.333,125.891
24,190.430,283.477,14.971,10.886,131.204
25,294.708,390.969,11.292,10.824,41.400
26,206.473,402.364,15.124,9.260,36.523
27,384.313,430.045,15.916,9.840,156.857
28,306.005,487.023,13.038,10.839,52.303
29,64.153,117.243,12.399,10.372,28.565
30,14.866,125.341,13.890,13.292,62.950
31,37.867,118.546,13.937,9.958,62.738
32,45.800,122.683,10.278,7.433,16.543
33,186.132,355.844,17.346,11.965,30.212
34,324.003,209.802,16.310,11.631,159.419
35,349.510,332.624,12.086,11.062,158.751
36,336.515,325.485,17.106,10.123,14.282
37,303.977,363.395,11.652,9.397,8.558
38,179.185,453.797,14.258,9.913,47.675
39,143.382,490.592,14.388,10.531,37.243
40,102.976,491.952,15.020,10.681,26.921
41,407.052,187.485,19.218,12.853,53.088
42,461.724,128.705,19.108,13.993,158.466
43,437.104,182.723,22.406,15.514,35.480
44,467.987,198.526,15.722,12.310,41.167
45,403.408,82.720,11.992,11.573,61.135
46,391.551,101.941,16.424,10.543,14.232
47,344.297,58.289,16.289,9.615,31.303
48,382.816,64.402,16.126,10.501,54.792
49,429.038,141.523,15.179,10.905,134.739
50,443.673,133.586,17.260,13.647,161.079
51,314.844,503.240,13.756,12.125,16.601
52,449.413,369.074,20.854,11.173,176.635
53,331.979,500.747,14.215,13.077,108.236
54,243.508,492.948,14.302,11.128,82.900
55,264.384,497.126,17.927,14.062,71.489
56,364.516,444.143,13.576,11.817,65.606
57,378.810,450.486,16.617,11.110,131.347
58,401.711,452.721,12.009,10.072,117.562
59,229.475,241.437,12.821,7.845,57.272
60,478.752,67.515,15.735,10.924,14.179
61,410.688,101.225,10.214,8.602,57.102
62,421.095,100.652,10.616,9.475,56.506
63,449.880,23.981,13.557,10.143,163.771
64,441.729,11.556,15.065,12.170,26.831
65,401.485,138.162,14.970,11.567,133.842
66,394.780,65.024,13.213,7.901,29.649
67,100.360,400.027,14.860,12.852,58.492
68,106.450,427.820,12.282,10.367,106.833
69,411.044,374.456,12.664,9.048,178.355
70,388.174,390.797,14.418,12.187,118.856
71,391.805,447.616,12.789,9.458,109.074
72,283.995,215.242,14.837,8.324,4.199
73,404.318,160.705,13.869,12.118,102.093
74,248.878,195.114,14.592,11.082,23.916
75,255.901,274.470,15.974,13.311,81.009
76,266.972,225.297,14.817,10.570,17.782
77,210.711,273.102,13.337,12.697,142.047
78,251.264,488.833,10.646,8.611,20.081
79,283.259,320.548,11.312,9.342,151.050
80,262.633,342.433,12.175,10.980,22.339
81,276.819,196.429,16.959,10.586,45.591
82,313.185,195.871,13.578,11.628,128.159
83,239.643,267.051,13.263,9.408,164.185
84,326.795,346.750,11.821,9.478,13.291
85,257.862,400.310,11.800,11.329,119.364
86,312.726,307.532,12.040,9.835,175.554
87,217.989,364.885,16.586,10.364,127.541
88,375.731,134.549,16.138,11.283,148.269
89,385.041,157.324,11.866,9.121,141.682
90,331.662,371.638,16.291,10.160,47.960
91,341.439,377.746,13.130,11.055,129.021
92,269.672,266.133,14.695,11.091,42.575
93,251.451,351.224,15.850,13.094,122.581
94,271.500,378.224,15.324,13.544,145.852
95,240.187,296.052,14.579,11.703,137.110
96,242.229,283.838,14.326,11.820,177.584
97,303.337,459.032,15.198,11.813,114.653
98,277.802,461.689,14.746,9.153,78.991
99,300.836,321.008,14.223,11.459,81.478
100,220.016,480.697,14.656,10.599,54.714
101,259.601,179.570,20.287,14.247,177.092
102,264.192,194.785,15.069,10.984,53.319
103,457.447,69.855,15.584,12.419,131.758
104,465.095,83.122,12.621,11.198,159.937
105,415.204,49.932,14.619,10.887,44.644
106,404.731,43.874,17.650,10.604,43.800
107,495.700,369.229,14.793,12.050,171.568
108,474.849,384.918,15.038,12.362,170.562
109,492.408,420.466,18.734,14.001,172.077
110,482.301,394.692,16.543,11.621,37.074
111,464.754,407.090,15.080,11.314,131.562
112,494.894,404.210,15.648,12.612,179.613
113,488.160,378.965,16.257,12.453,145.406
114,481.636,365.044,14.537,12.875,84.769
115,356.174,342.952,14.044,12.239,40.551
