 ,X,Y,Major,Minor,Angle
1,482.822,23.958,10.563,7.111,160.280
2,424.468,23.611,10.675,7.514,141.488
3,499.589,27.611,9.577,5.983,153.985
4,494.327,48.423,8.518,7.772,108.677
5,443.085,32.671,8.285,6.301,146.679
6,467.221,39.640,8.112,6.749,159.003
7,436.391,48.804,9.218,6.354,159.298
8,484.050,133.167,10.546,7.244,154.921
9,374.750,146.667,10.069,7.587,137.211
10,361.788,87.692,10.120,6.542,155.095
11,359.316,141.133,9.128,6.835,130.974
12,356.925,159.912,11.298,9.016,80.388
13,310.977,156.023,9.992,8.283,45.000
14,278.500,115.000,7.556,7.078,65.880
15,292.833,220.790,12.783,9.263,113.185
16,328.929,233.153,9.099,6.856,145.680
17,298.561,169.663,8.995,6.936,98.793
18,289.545,186.909,8.920,6.280,130.269
19,206.750,138.397,10.187,8.499,129.587
20,198.327,155.462,9.285,7.130,168.575
21,212.976,94.579,9.493,8.450,127.769
22,217.667,119.952,8.469,6.314,6.197
23,238.754,210.201,9.404,9.072,154.790
24,253.561,178.076,7.235,5.807,157.563
25,286.186,137.971,9.034,7.188,135.671
26,309.885,102.756,7.584,6.548,159.415
27,242.595,244.706,9.469,8.471,133.045
28,220.256,235.859,10.672,9.306,97.982
29,293.321,257.196,9.159,7.785,160.554
30,215.585,249.798,8.931,6.700,152.164
31,224.053,247.237,7.990,6.055,172.543
32,340.750,250.397,10.187,8.499,129.587
33,307.271,280.083,8.314,7.351,134.274
34,324.762,281.595,7.623,7.015,147.805
35,311.794,292.000,6.986,6.197,0.000
36,332.048,293.919,6.461,6.109,149.036
37,350.670,292.991,9.212,7.325,164.278
38,304.739,252.457,8.519,6.875,165.086
39,281.653,310.890,9.848,7.628,142.085
40,212.649,306.708,13.687,9.396,127.503
41,226.659,387.123,10.529,8.344,115.778
42,261.978,414.848,9.750,9.010,173.824
43,340.058,361.846,8.660,7.645,147.395
44,312.802,380.040,9.999,8.022,77.916
45,91.229,284.839,14.720,10.207,6.643
46,65.698,317.016,11.628,9.964,39.238
47,54.391,362.859,9.144,8.912,167.800
48,25.047,389.895,10.683,10.250,155.822
49,94.546,373.069,9.238,8.959,4.635
50,119.147,360.000,9.811,8.825,44.810
51,60.364,402.330,10.991,10.194,51.150
52,76.973,392.191,8.784,7.972,142.278
53,64.457,427.543,9.750,9.011,78.514
54,379.897,270.000,9.221,8.009,132.543
55,430.062,342.637,10.038,9.259,173.009
56,429.143,260.268,8.958,7.959,117.103
57,467.057,306.861,10.306,7.536,164.456
58,371.245,310.518,9.220,7.595,154.758
59,431.245,352.618,9.401,6.907,154.321
60,408.033,377.593,10.166,9.394,53.666
61,389.770,398.486,10.022,9.402,169.518
62,468.042,401.297,10.601,7.086,164.144
63,497.130,441.391,8.219,7.126,17.262
64,426.746,433.935,10.766,8.160,173.142
65,281.401,470.514,9.512,9.504,98.130
66,410.786,443.881,8.192,6.528,154.998
67,415.286,457.548,8.294,6.447,150.298
68,443.397,367.034,9.039,8.170,178.742
69,70.608,360.558,13.437,13.171,47.849
70,16.538,464.854,10.814,9.302,116.597
71,9.873,475.449,9.528,7.884,114.237
72,65.579,476.556,11.711,9.676,108.666
73,57.771,501.025,9.465,7.937,28.217
74,72.577,493.365,8.889,7.448,176.666
75,88.360,449.826,8.198,6.678,55.491
76,84.175,425.357,9.976,9.827,121.510
77,247.645,267.952,10.120,7.800,171.922
78,204.784,319.306,10.288,8.292,69.323
79,230.974,310.921,9.236,7.858,129.005
80,251.143,323.959,13.177,9.470,118.962
81,253.065,297.839,10.557,7.478,164.308
82,297.754,372.799,9.404,9.072,25.210
83,190.250,237.500,8.281,7.380,0.000
84,166.031,302.255,8.804,7.086,51.380
85,180.218,197.697,10.505,8.605,145.961
86,176.308,225.654,8.486,7.802,125.054
87,327.400,427.060,9.330,6.824,151.684
88,297.804,480.645,10.013,8.774,65.090
89,341.868,495.000,7.685,6.296,0.000
90,361.636,484.977,9.146,6.125,168.072
91,118.000,401.364,7.701,7.275,90.000
92,90.173,339.664,9.784,7.158,19.619
93,49.613,492.802,9.698,6.958,91.929
94,273.786,270.857,9.003,7.920,75.655
95,363.799,290.366,10.815,7.888,167.659
96,399.115,294.115,8.695,7.615,145.056
97,321.346,225.936,8.071,6.153,176.106
98,229.311,45.973,10.006,9.416,169.646
99,257.562,54.488,11.750,8.669,164.372
100,274.238,35.146,10.314,8.024,164.779
101,270.722,116.300,8.289,6.912,167.264
102,233.825,112.175,8.116,6.275,173.002
103,218.571,192.167,8.027,6.662,146.611
104,392.796,20.556,9.375,7.334,3.374
105,441.500,85.500,7.892,6.615,134.999
106,393.300,7.550,8.409,6.056,154.192
107,447.727,15.023,8.605,6.510,170.390
