 ,X,Y,Major,Minor,Angle
108,467.963,126.410,10.208,8.357,102.433
109,313.640,248.044,9.210,7.880,32.531
110,390.543,230.000,10.160,8.773,124.779
111,372.605,285.289,9.289,7.813,105.074
112,282.500,232.054,12.872,9.991,174.519
113,244.447,225.826,12.387,9.765,77.609
114,341.415,371.941,9.611,7.816,11.888
115,415.417,432.167,7.899,5.803,83.111
116,192.000,111.500,12.333,10.530,3.248
117,173.077,147.050,12.746,11.088,96.577
118,315.611,120.676,13.392,10.268,168.671
119,47.550,382.600,10.468,9.730,168.765
120,214.546,167.762,10.487,7.891,2.846
121,326.856,391.489,12.332,9.292,172.030
122,294.569,288.233,13.269,9.692,135.911
123,384.738,244.722,10.848,7.394,175.132
124,286.267,455.047,11.142,9.827,49.595
125,41.136,236.539,10.862,9.026,94.206
126,105.734,253.926,8.155,7.338,96.560
127,64.028,217.236,9.130,7.392,129.992
128,102.878,236.176,7.995,5.893,12.399
129,77.557,213.500,6.944,6.417,0.000
130,149.449,411.246,8.881,8.458,1.578
131,83.580,476.520,8.774,7.256,3.036
132,145.022,340.630,8.550,6.850,158.699
133,109.057,299.959,9.957,7.800,68.162
134,103.284,439.382,8.534,7.609,57.434
135,340.000,171.000,7.580,6.047,0.000
136,424.439,61.051,8.247,7.565,12.791
137,382.643,51.857,9.457,7.539,35.448
138,347.457,11.414,9.710,9.179,107.420
139,393.574,94.735,9.563,9.053,107.567
140,243.329,196.414,7.029,6.340,152.887
141,226.393,192.393,7.239,4.925,21.177
142,349.550,138.575,7.650,6.658,139.085
