 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156
1,3230.566,4819.676,2312.315,2263.085,2713.881,2766.779,4817.176,2868.473,3476.079,2771.633,2227.081,2214.221,1947.636,2058.419,2248.850,2555.178,1993.296,1938.575,1554.645,1359.476,1792.000,1576.464,1702.915,2094.867,3197.676,1745.697,1691.340,1566.713,2909.364,1478.126,1441.000,1111.298,1623.000,1337.026,2366.233,2825.893,1009.281,1320.581,1217.410,1312.625,1419.515,1357.500,1611.423,1708.101,935.098,1718.505,1198.055,1784.189,998.500,2563.073,3466.938,993.068,1414.185,1342.821,1852.977,2405.262,1457.500,1199.429,1380.729,1615.333,1311.575,1412.412,1326.812,1119.313,1160.367,1101.621,1094.833,1062.981,889.276,1106.029,1508.367,963.482,1333.543,1712.884,2611.769,3899.095,2774.500,1215.162,1176.022,931.373,995.250,769.479,1260.729,653.319,1131.101,899.459,874.444,984.605,1090.769,905.745,573.883,1195.159,954.810,295.964,497.457,357.682,697.379,706.491,1068.014,873.466,1017.615,679.993,708.089,912.977,529.616,699.541,698.634,1327.837,856.204,1120.436,2153.071,1240.710,1360.783,772.692,576.026,466.217,1141.716,714.926,1788.019,689.225,614.707,811.324,787.390,676.779,529.620,832.814,635.279,1140.473,593.525,708.721,1663.930,537.804,513.700,793.693,1029.400,814.878,809.087,1030.069,893.014,809.798,957.191,1192.430,1311.540,992.687,1199.500,1177.699,1004.333,878.851,1107.676,548.045,643.590,777.640,904.504,1020.058,654.536,328.753
2,3240.592,4616.018,2345.637,2349.667,3105.161,2877.328,4452.382,2785.743,4083.355,3272.521,2347.153,1980.537,1764.220,2101.829,2149.408,2473.109,2622.112,1867.161,1507.234,1758.971,1494.000,1506.536,1555.755,1811.241,3479.851,1817.459,1935.240,1694.009,2620.338,1499.276,1455.219,1521.202,1969.298,1656.921,2447.783,3531.400,1326.073,1324.676,1282.256,1201.234,1759.691,1394.103,1820.321,1830.565,1200.812,1681.761,1350.857,1540.300,1028.917,3094.118,4013.703,1189.000,1204.750,1333.482,2282.140,2330.595,1092.050,1261.964,1459.741,1450.333,1586.863,1218.029,1393.846,1176.354,1246.265,1104.263,1203.531,1100.096,948.244,1357.900,1226.417,982.018,1495.565,2003.721,2605.231,3047.095,2734.773,1309.577,1307.239,1088.578,1119.382,950.548,1164.071,686.883,998.072,780.852,1043.535,701.488,1093.646,1121.383,704.145,1418.188,978.633,362.336,663.888,397.375,724.181,747.982,979.217,759.178,768.697,700.058,681.436,837.083,588.624,653.303,774.516,1452.317,956.456,1121.457,2089.647,1419.058,1028.300,752.356,558.130,682.557,917.686,868.000,1731.689,836.183,723.033,754.441,759.195,548.393,475.907,1023.750,685.478,926.349,700.960,742.959,1457.977,815.039,545.717,788.238,1279.244,936.112,884.408,1550.042,774.100,738.452,1178.632,998.366,1458.437,960.947,1032.433,1324.049,1159.735,884.392,1125.930,606.602,669.103,714.510,808.193,1471.708,1049.607,509.899
3,3477.040,4621.838,2579.014,2556.016,2855.263,3612.713,4630.206,2958.122,4483.434,3409.500,2451.992,2080.632,2223.203,2027.547,2311.625,3090.465,2478.099,1556.506,1816.944,1581.067,1569.146,1228.000,1538.862,2654.193,3799.865,2079.861,2034.730,1716.306,2669.857,1533.529,1448.562,1485.690,1785.702,1402.500,2326.317,3545.653,1664.463,1038.716,1512.090,1317.859,1382.691,1429.618,1550.885,1741.029,1152.385,1829.349,1556.121,1639.522,1129.037,2834.927,4058.422,1039.305,1139.707,1395.232,1810.302,2549.214,992.500,1376.554,1476.529,1571.333,1482.012,1345.618,1307.517,1344.768,1193.847,1098.432,1375.469,1246.846,1043.780,1564.186,1337.283,1430.370,1543.457,1965.023,2339.359,3143.190,3146.568,1258.486,1216.826,1040.333,1243.474,833.192,839.543,766.574,1329.246,905.393,1071.899,1048.686,1214.708,1072.255,694.772,1489.746,936.939,311.245,604.414,457.795,694.517,882.291,1135.979,887.898,862.174,700.317,750.980,843.932,547.384,657.422,746.946,1664.298,1138.398,994.500,2265.624,1370.493,1370.050,717.212,592.191,513.368,1030.431,871.727,2102.755,826.901,980.913,675.147,795.211,637.871,504.752,887.550,585.404,951.959,642.232,793.803,1586.093,780.245,612.733,706.356,1208.756,814.224,1131.728,1420.972,756.629,842.929,1043.088,1206.656,1571.207,1019.320,1084.333,1280.512,1177.515,860.095,1392.901,450.068,608.180,553.610,715.807,1187.842,851.869,707.146
4,3393.092,4820.640,2441.685,2453.915,3243.025,3554.541,4728.985,3356.865,3797.316,3504.367,2502.597,2334.274,2218.847,2280.684,2560.758,2685.426,2570.507,2224.172,1723.365,1496.867,2355.542,1562.268,1603.074,2236.506,4174.148,1979.475,2069.510,1865.935,3193.701,1749.310,1390.000,1665.726,1703.660,1855.447,2578.517,3220.973,1317.098,1449.581,1219.321,1114.891,1421.103,1571.456,1484.667,1903.391,1120.549,1722.092,1665.516,1566.311,958.648,3466.485,3352.812,1226.237,1481.457,1550.393,2230.395,2060.476,1036.867,1586.107,1667.129,1926.470,1504.100,1600.691,1435.718,1075.616,1197.071,946.789,1297.615,1383.500,793.472,1621.114,1756.017,1291.056,1148.761,2086.907,2818.667,3341.143,3059.659,1161.288,1044.467,1168.814,908.158,1032.178,1099.143,769.745,1043.812,713.082,809.131,789.930,1142.077,1222.766,616.772,1474.348,1021.415,241.273,516.129,437.625,831.509,946.473,1312.483,995.856,868.725,773.511,886.554,726.361,515.640,621.275,815.387,1607.019,937.699,1107.543,2359.600,1443.623,1111.783,850.106,718.209,618.292,881.961,874.372,1914.991,789.746,799.141,801.353,741.764,534.236,560.504,1058.371,667.949,1016.178,657.263,776.016,1719.837,738.108,697.783,847.525,1277.391,921.041,1106.971,1436.014,1041.914,745.357,1173.603,1129.892,1416.609,1114.960,862.567,1382.488,1151.470,740.757,1388.831,734.409,585.367,739.750,729.538,1695.250,726.143,478.404
5,3437.513,5218.504,3010.034,2855.651,3224.593,3514.508,5439.588,2984.365,4064.145,2954.061,2478.000,2260.716,2114.127,2290.009,2797.842,3187.248,2221.868,1552.310,1599.495,1445.181,2274.896,1663.857,1667.298,2394.928,4352.554,1930.746,2177.600,1923.667,3020.390,1651.287,1461.890,1547.940,1774.851,1923.447,2736.467,3840.613,1583.500,1129.216,1562.500,1280.281,1507.353,1704.441,1982.974,2121.652,1107.713,1858.055,1699.044,1517.444,1230.880,2663.441,4380.359,1186.220,1246.554,1456.946,2175.930,2456.262,1109.817,1677.232,1580.071,1752.470,1269.000,1602.412,1493.389,1193.263,1399.704,879.821,1286.646,1455.615,981.362,1465.814,1370.300,1646.037,1928.652,1816.395,2878.795,3552.048,3081.000,1436.387,1135.315,1109.412,1141.750,1059.822,967.943,721.947,1133.188,961.000,923.434,822.163,1296.323,1358.617,705.448,1468.993,1013.966,351.973,712.534,474.080,777.034,894.964,1204.504,842.915,814.569,796.460,789.010,764.060,617.712,674.119,883.581,1572.067,1010.835,1140.330,2444.306,1628.927,1500.000,676.587,707.522,585.924,926.500,974.215,1826.151,890.838,810.685,814.176,784.667,688.421,541.078,1057.414,692.544,927.973,616.071,677.229,1638.140,805.147,535.283,864.951,1337.296,755.061,828.369,1727.931,777.214,875.845,1122.412,1038.140,1416.724,1048.140,1323.300,1233.081,1250.083,735.284,1177.662,701.750,648.718,790.630,700.882,1271.542,692.774,443.360
6,3298.934,5378.937,2588.527,2856.504,3268.907,3468.385,4773.382,3194.622,4147.684,2876.694,2666.984,2293.505,1965.508,1980.179,2335.800,2895.475,2400.809,1734.138,1621.523,1558.543,2112.896,1723.036,1681.702,2338.361,3721.365,2095.844,2119.430,1843.972,2930.597,1543.333,1402.630,1873.583,2084.638,1617.000,2507.417,4099.280,1655.585,1267.676,1471.692,1335.953,1728.103,1363.103,2010.526,1874.116,1005.328,2043.495,1274.692,1738.022,1217.444,3170.309,3722.922,1216.390,1229.750,1501.982,1761.047,2597.881,1159.400,1782.214,1500.471,1935.015,1417.537,1576.368,1449.181,1201.879,1290.724,1103.863,1230.406,1593.346,1139.165,1710.857,1604.700,1225.667,1593.348,2045.581,2768.949,3686.952,3443.614,1230.036,1054.859,1114.471,970.658,958.575,890.900,819.862,1273.783,968.410,946.768,1004.314,1374.431,1184.266,784.435,1396.884,968.728,312.627,635.207,371.261,611.974,969.345,1167.294,949.483,939.174,767.345,882.644,948.143,609.816,613.697,605.000,1642.683,958.854,1238.521,2186.082,1576.348,1423.450,776.538,624.722,626.066,1124.284,867.388,1924.604,933.944,733.935,716.618,870.374,626.907,667.891,1089.271,741.846,1077.342,683.929,920.500,1612.907,759.265,802.633,941.089,1077.270,937.327,1057.068,1455.514,841.271,974.286,1041.882,1041.194,1594.908,975.147,1289.367,1348.089,1052.689,805.216,1419.366,595.500,691.573,603.250,745.429,1597.517,865.262,556.708
7,2990.026,4964.180,2718.870,2987.357,3165.102,3793.574,5123.000,2854.243,4559.421,3080.969,2762.879,2264.305,2352.068,2013.162,2553.975,3002.356,2466.618,1402.506,1652.654,1535.105,2319.438,1364.143,1757.266,2423.036,3527.257,1896.410,2084.920,2090.231,3010.390,1660.540,1631.945,1439.952,2007.808,1996.395,3010.133,3293.760,1569.598,1365.676,1664.269,1205.047,1479.279,1540.294,1929.603,1921.927,1272.393,1801.550,1366.505,1663.478,996.704,2800.206,4137.672,1315.678,1421.815,1641.607,1812.512,2968.857,1189.300,1493.964,1433.153,1737.985,1364.438,1455.221,1480.671,1234.242,1342.388,953.789,1383.833,1382.769,1100.811,1586.900,1532.483,1110.481,1289.717,1736.372,2888.256,3115.524,3179.773,1399.982,1069.543,1057.186,1083.724,1078.836,969.971,777.957,1177.884,925.492,1064.212,923.791,1277.062,1019.053,710.910,1458.594,959.361,332.336,633.819,456.136,688.914,845.482,1289.504,1127.542,784.505,761.626,835.663,855.917,701.416,548.284,845.720,1827.510,1018.427,1278.702,2492.365,1468.870,1483.100,752.654,551.452,617.132,1115.706,1025.331,1875.226,928.915,717.696,829.039,876.285,706.043,555.271,905.700,789.176,1100.034,607.525,860.934,1688.698,831.255,712.133,731.356,1270.574,881.418,1020.680,1250.444,760.871,979.119,1285.868,1108.237,1465.529,998.880,947.317,1390.187,1203.341,738.865,1043.113,572.318,686.111,644.440,775.403,1327.500,754.905,522.629
8,3240.500,5248.892,2928.014,2775.240,3425.085,3759.721,4968.221,3311.784,3982.750,3437.521,2956.548,2586.716,2245.915,2026.325,2268.358,2780.673,2862.171,1975.483,1846.458,1481.924,2084.438,1731.161,1592.468,2472.940,4125.473,1799.861,2138.910,1898.194,3206.870,1810.425,1531.863,1666.786,1974.383,1898.237,2678.150,3238.707,1399.902,1405.500,1448.179,1405.328,1746.044,1417.779,1675.833,1823.884,1235.320,1678.055,1643.582,1738.211,1096.731,3284.191,3631.609,1290.237,1361.783,1384.429,2469.837,2377.524,965.750,1620.982,1501.671,1820.727,1623.000,1388.779,1186.248,1178.899,1247.041,1080.632,1142.208,929.500,1297.724,1541.786,1559.383,1646.000,1770.261,2010.023,3063.821,3143.190,2903.864,1282.892,1145.054,934.304,1039.000,1034.986,1014.971,858.404,1251.783,936.541,881.162,949.453,1202.508,1237.883,918.800,1386.681,1051.014,318.873,684.491,347.409,721.457,943.591,1201.049,832.263,990.844,797.590,726.525,791.759,569.480,518.706,697.688,1547.337,1166.942,1267.787,2442.212,1531.232,1395.950,733.500,592.443,751.028,990.176,957.810,1835.896,852.106,651.533,847.314,785.179,603.186,523.752,941.629,700.066,1225.726,640.707,791.205,1621.907,729.794,526.567,757.297,1366.939,817.969,1135.884,1516.042,648.900,1031.512,1001.000,1160.032,1365.828,1064.887,1027.083,1301.228,1072.121,739.513,1195.000,557.977,758.308,825.560,774.353,1381.325,776.631,551.618
9,3276.868,5008.126,2803.815,2810.341,3164.534,4020.312,5322.044,2982.959,4342.171,3184.265,2611.790,2172.168,1969.881,2305.111,2375.608,2907.970,2785.743,1741.356,1708.598,1839.190,1979.667,1761.696,1446.394,2378.976,4229.622,1944.082,2098.280,2331.435,2998.130,1742.885,1738.014,1697.107,1899.787,1508.105,2614.500,3573.893,1632.329,1300.838,1284.974,1157.906,1449.647,1503.588,1505.462,2327.232,1124.164,1858.486,1652.407,1714.689,1235.176,3022.677,4091.016,1389.763,1542.674,1548.304,2193.395,2852.048,1241.700,1625.232,1676.459,1742.894,1485.725,1405.882,1394.792,1249.061,1360.551,1118.084,1244.479,1322.769,1058.827,1395.257,1597.933,1721.519,1727.348,1678.186,3126.795,3228.167,3233.432,1269.387,1338.141,1077.029,1220.500,995.671,1109.643,836.245,1295.478,904.213,846.869,805.326,1282.123,1014.691,639.179,1403.725,1078.708,382.118,644.474,335.500,597.828,880.627,1327.699,816.534,751.275,744.295,721.614,884.158,517.352,681.945,884.032,1605.183,1128.078,1416.777,2456.071,1210.667,1373.950,773.731,627.000,706.311,1018.676,836.256,1959.141,848.514,737.098,909.431,726.195,643.500,452.349,925.571,663.375,1076.192,644.222,852.131,1467.116,788.725,777.767,752.743,1093.165,732.908,1200.806,1494.208,781.814,815.560,1413.279,961.538,1492.655,1057.687,1057.600,1347.919,1159.061,876.568,1207.859,590.568,606.692,912.200,821.992,1268.600,869.000,371.685
10,3035.684,5296.604,2708.007,2826.202,3703.729,3646.484,5213.515,3214.284,4394.540,3406.510,2939.694,2261.832,2140.771,2224.402,2453.200,2694.050,2528.816,1711.356,1626.121,1344.791,1981.458,1371.214,1723.170,2272.988,3979.987,2105.287,2144.020,2063.880,3281.026,1774.368,1593.795,1642.488,1727.192,2009.000,2372.250,4075.133,1526.085,1512.662,1424.923,1149.922,1675.647,1496.309,1345.474,1859.145,1153.246,1822.450,1773.429,1786.311,974.083,3214.323,3998.469,1161.458,1119.522,1366.857,2246.674,1786.738,1039.300,1667.018,1528.271,1827.379,1604.525,1359.985,1482.168,1270.121,1310.673,1009.895,1208.448,1507.115,1117.551,1568.014,1257.267,1195.815,1631.130,2039.837,2631.026,3058.381,2951.341,1171.469,1056.446,1164.608,1125.697,1014.603,1100.086,683.138,1311.710,879.689,1036.354,874.767,1101.508,1224.468,899.614,1578.573,939.293,406.300,719.491,519.148,869.974,878.955,1204.783,1137.517,926.413,804.964,761.228,787.038,471.416,625.624,658.323,1729.481,1047.311,1174.638,2212.094,1596.580,1543.083,770.865,588.809,778.057,950.176,885.488,1935.019,888.563,815.565,784.069,727.472,611.850,616.194,890.686,711.875,976.925,645.172,794.303,1194.953,710.010,702.817,919.762,1149.435,768.969,1110.524,1391.208,851.186,971.167,909.662,902.516,1193.678,1175.320,1183.417,1353.569,1181.030,840.054,1329.479,670.830,703.154,876.350,868.824,1467.417,783.214,424.573
