 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142
1,129.814,209.603,248.444,80.962,330.390,118.186,215.130,187.950,239.150,165.308,247.918,189.525,292.292,101.429,327.774,354.592,253.000,334.795,240.412,153.115,143.905,478.762,369.851,61.091,129.882,285.026,339.540,226.231,623.750,92.468,232.974,966.324,338.812,119.429,155.500,416.387,306.321,181.717,349.000,328.980,449.870,781.159,439.538,558.190,179.186,166.879,336.172,305.058,118.708,232.118,495.955,579.545,244.638,478.569,209.986,105.500,319.508,190.818,414.059,262.453,145.959,383.898,658.739,576.783,1044.620,485.333,723.786,305.724,282.108,241.671,391.492,371.135,173.085,337.365,462.302,137.961,424.903,76.299,333.316,580.510,306.855,444.910,9.208,79.673,183.183,48.673,658.560,754.928,110.000,369.250,185.818,50.945,501.566,92.982,239.776,553.692,208.513,101.041,110.838,217.338,94.267,52.725,531.095,48.407,214.146,46.525,154.205,98.821,626.123,602.929,397.719,232.376,239.337,356.847,683.472,137.549,132.153,220.806,270.475,69.954,696.511,280.941,383.968,794.791,12.091,123.489,57.887,6.486,13.171,138.136,149.920,12.043,198.279,196.216,145.222,194.592,161.036,12.729,28.191,130.457,37.643,276.250
2,196.475,260.222,134.978,48.577,207.244,306.953,418.478,141.217,185.800,122.635,94.571,203.125,171.892,88.714,350.785,603.551,199.102,499.114,132.162,159.385,10.460,377.905,231.791,162.515,434.922,48.462,127.127,349.500,565.839,601.660,445.684,173.882,75.083,305.833,730.088,272.355,284.132,342.935,400.983,363.109,236.087,476.855,356.385,576.683,53.636,137.527,137.328,469.279,446.938,249.941,479.727,422.345,113.913,407.948,561.822,479.750,176.557,487.418,574.314,161.213,366.824,720.864,717.913,650.348,1069.775,548.310,481.190,308.586,259.640,123.797,175.627,408.978,221.458,81.558,33.140,217.688,489.984,117.687,280.912,447.929,381.968,400.269,254.521,124.449,124.676,211.577,646.660,876.942,848.947,462.364,219.000,72.673,662.679,508.482,165.776,493.173,374.821,12.905,111.213,133.892,422.644,254.700,198.571,161.778,122.512,46.325,136.455,121.015,294.404,377.000,439.912,302.040,170.663,228.729,702.528,136.961,58.901,379.333,197.762,35.615,769.889,277.010,180.603,314.744,16.403,126.170,128.830,10.486,68.057,318.390,339.380,310.978,135.131,326.529,149.500,201.408,119.964,45.243,65.412,253.914,342.250,229.325
3,168.136,312.016,265.756,125.462,521.707,255.116,187.826,371.983,165.117,145.981,175.204,174.350,319.138,179.262,393.366,800.755,232.429,306.886,130.044,97.231,153.016,673.286,332.209,12.364,114.118,38.897,540.921,163.462,300.179,349.298,694.053,487.426,545.771,502.619,390.559,346.903,519.698,376.087,184.288,442.416,43.725,430.725,426.962,469.333,226.864,148.209,403.906,254.791,293.554,454.956,477.932,366.291,232.406,690.397,749.397,220.179,397.475,427.545,649.353,240.200,465.595,335.017,791.087,790.261,917.239,821.238,831.786,559.224,277.691,200.658,129.610,216.303,213.627,246.904,311.465,250.883,618.984,377.478,296.719,278.316,268.000,408.030,123.333,17.082,179.676,117.385,531.440,497.551,187.105,207.841,90.182,115.655,436.755,393.786,654.493,487.269,278.179,19.973,29.263,58.554,29.111,141.325,248.690,69.889,62.683,11.550,215.023,299.537,897.439,391.257,37.421,192.871,511.042,420.136,703.056,253.941,154.964,421.630,368.188,101.569,629.311,271.267,408.524,691.709,12.065,36.043,24.302,17.297,109.429,172.712,233.820,36.087,220.459,297.431,77.472,236.224,43.071,52.229,9.853,141.971,99.143,164.750
4,226.780,77.429,652.622,33.519,116.805,373.442,180.783,82.033,305.117,103.462,121.388,197.975,71.415,81.405,567.591,425.694,46.796,59.977,209.176,221.481,200.175,255.667,211.806,134.879,266.804,217.538,322.476,270.923,205.393,293.681,25.158,437.324,314.167,137.833,882.000,193.129,587.151,330.978,229.915,228.188,345.217,622.565,557.615,347.270,137.797,228.824,447.047,315.430,470.677,144.971,189.500,649.055,270.275,519.638,699.836,314.250,347.590,266.800,452.216,409.573,320.135,750.559,609.065,409.159,885.451,842.071,893.905,149.293,168.870,301.152,273.525,148.438,327.102,27.673,481.233,221.610,107.290,199.627,265.526,173.153,385.371,313.313,84.792,35.388,308.394,123.788,462.960,744.232,374.158,661.091,357.591,208.218,628.755,465.911,248.940,189.096,365.051,54.514,285.788,72.369,129.711,94.025,137.833,326.222,251.537,11.675,81.455,103.478,319.246,481.071,380.789,125.376,298.863,877.729,548.083,99.451,125.441,228.037,540.325,295.185,530.222,592.257,262.206,717.244,7.494,13.255,27.434,6.324,6.657,211.847,157.840,372.913,181.574,210.490,110.472,120.633,113.750,137.314,122.618,94.629,122.286,347.025
5,200.814,245.206,64.244,213.096,157.829,316.837,287.674,220.250,237.233,101.962,216.184,29.500,235.831,87.381,226.677,127.959,184.102,604.886,92.765,26.462,238.429,448.524,327.239,132.364,210.451,304.205,280.143,76.808,809.607,489.426,200.289,425.029,728.521,664.167,741.500,153.258,453.472,346.174,157.814,299.545,414.884,394.319,221.981,441.635,51.254,254.154,492.781,308.651,321.385,238.632,364.284,199.636,100.377,610.569,734.356,599.786,126.164,732.182,671.804,356.960,397.770,509.441,835.217,984.971,895.493,872.286,597.643,286.190,295.043,127.608,383.915,716.798,390.356,360.731,249.442,118.896,461.210,308.030,87.754,345.837,446.016,522.866,86.208,32.939,204.577,155.308,709.880,807.754,669.474,487.000,121.977,131.545,382.830,300.964,596.149,318.692,591.026,51.162,59.287,138.323,11.667,313.125,361.571,13.815,334.585,58.250,196.182,128.567,210.140,460.871,467.825,560.465,231.863,578.746,854.000,124.539,65.099,305.296,221.188,76.723,692.267,255.545,469.159,644.663,38.935,35.957,9.151,53.378,11.086,295.305,168.200,7.630,175.131,323.627,151.250,331.347,201.946,109.157,98.809,301.914,235.571,705.550
6,219.051,314.444,383.000,288.385,144.659,339.326,122.196,316.250,123.083,127.000,386.429,183.012,292.785,160.167,223.355,286.163,167.837,60.977,141.500,57.212,179.873,538.333,115.881,208.242,91.686,126.846,281.190,169.359,438.054,597.234,160.079,517.500,308.229,179.000,345.471,323.226,309.943,445.261,599.322,344.554,184.203,432.203,406.192,330.111,37.686,118.516,146.094,347.523,295.600,279.412,420.057,555.382,290.507,416.914,505.068,271.071,301.082,701.145,353.196,205.933,520.162,873.119,467.739,801.899,619.775,483.857,740.286,128.052,160.302,146.975,236.966,410.640,167.780,442.981,228.907,434.117,119.371,256.343,477.825,410.847,606.500,391.015,181.062,130.306,75.028,188.750,765.600,666.348,371.053,370.364,148.682,588.418,354.698,382.393,591.000,458.115,695.051,42.649,118.725,272.062,42.311,122.025,410.571,33.000,228.390,7.800,354.977,139.493,384.140,366.229,392.018,228.941,307.021,783.898,554.306,81.961,138.288,310.574,307.050,172.031,818.667,327.970,393.365,571.977,154.286,117.745,40.660,6.757,11.000,139.763,308.920,131.130,103.000,312.020,248.000,262.000,28.071,96.786,117.382,306.714,329.214,286.375
7,543.729,152.937,250.044,27.038,60.390,320.581,166.804,221.167,179.450,127.865,604.980,142.462,358.400,144.929,186.602,192.592,281.245,41.864,79.382,220.692,105.698,377.548,439.642,116.576,226.510,316.487,440.222,169.244,587.500,302.319,170.421,430.044,547.292,338.381,152.765,218.968,201.943,111.870,581.831,413.594,418.275,406.594,707.346,585.079,225.822,127.637,380.234,387.849,259.585,462.868,305.909,308.236,662.217,312.069,761.219,385.482,269.197,288.782,672.549,416.947,502.338,570.814,495.022,528.928,776.352,1143.452,699.238,190.948,363.144,144.759,150.322,447.921,255.339,383.231,118.488,214.429,514.887,339.731,586.263,299.286,171.677,171.045,172.042,117.898,118.789,63.731,872.720,940.667,481.132,434.341,25.455,232.509,894.057,315.036,548.716,445.904,229.641,299.162,136.238,117.385,152.222,51.300,376.476,7.315,131.732,211.675,374.591,185.299,366.035,582.086,536.596,328.307,244.579,357.441,775.306,198.314,110.685,214.630,249.300,204.662,575.144,372.871,576.683,613.512,26.961,38.638,145.774,183.162,61.486,335.881,128.820,90.957,197.689,82.569,62.389,322.776,62.518,44.700,211.279,86.886,82.536,33.250
8,96.847,296.698,316.556,383.981,225.220,126.674,129.565,235.550,44.217,190.327,203.449,128.488,276.846,183.690,287.355,814.918,128.714,96.727,101.515,169.192,120.127,575.071,259.791,82.970,148.647,64.385,414.714,311.231,91.411,307.404,127.132,733.765,219.354,575.810,175.882,146.129,812.868,348.457,483.288,180.248,241.159,716.783,464.077,296.571,52.314,162.484,194.344,232.942,239.462,246.471,437.386,371.055,333.725,394.672,740.603,651.768,370.902,596.618,464.392,273.707,549.959,703.475,670.848,604.217,608.479,723.167,639.000,532.569,352.835,142.709,120.339,111.933,352.881,151.462,226.930,235.247,350.871,231.493,365.368,205.592,478.597,195.910,204.688,242.286,91.296,216.981,452.060,482.681,523.368,253.364,12.364,223.691,694.491,234.357,300.463,701.365,668.949,99.216,150.238,9.446,288.044,136.725,118.452,95.167,65.780,31.775,133.568,120.373,268.684,460.529,529.474,281.832,367.916,494.373,914.139,133.716,133.982,180.769,195.913,150.662,363.244,348.386,577.873,878.430,26.403,116.106,7.283,15.162,61.971,216.949,183.700,26.478,170.590,252.157,123.500,363.306,106.143,88.129,26.015,146.114,401.821,497.275
9,264.814,65.873,294.378,74.788,112.756,271.721,526.457,100.733,461.350,198.269,367.776,283.462,81.800,238.286,276.989,426.551,281.898,154.455,60.794,99.519,168.540,170.643,496.612,197.515,85.882,142.410,612.508,151.821,545.196,564.532,354.368,390.132,364.646,171.286,379.971,296.258,377.604,526.913,685.847,429.049,309.145,462.435,368.481,276.317,109.085,61.451,345.500,415.779,285.200,289.294,472.591,430.709,147.420,410.172,678.603,333.536,295.082,606.400,483.608,413.573,432.486,711.729,750.587,685.000,667.831,1337.762,552.952,553.810,251.022,214.278,87.068,404.730,352.661,57.404,169.558,353.247,275.000,280.657,342.140,266.122,472.839,216.522,336.854,108.878,137.901,255.404,1127.840,678.420,258.895,564.273,217.364,51.600,384.887,183.589,586.672,342.269,836.641,18.054,98.588,156.631,141.378,213.850,179.762,119.315,207.829,75.750,181.636,34.075,394.140,532.957,374.474,193.188,403.832,706.051,1001.694,136.255,134.009,439.417,229.962,98.800,414.600,508.723,406.048,506.849,106.273,20.489,29.925,120.892,9.000,114.831,119.780,23.500,257.770,83.020,35.306,133.796,156.929,47.243,67.647,73.343,22.714,167.875
10,264.136,262.381,111.689,266.115,182.390,490.326,177.283,298.900,94.400,243.538,228.959,258.812,356.185,244.452,253.935,455.224,176.469,290.409,329.618,305.577,110.206,585.524,150.612,66.758,188.588,36.128,345.873,50.936,693.893,311.149,110.763,825.235,408.750,275.714,416.235,293.548,538.415,642.130,276.271,244.485,356.942,582.174,248.269,319.524,38.932,44.033,276.969,323.837,188.600,104.176,422.216,171.582,148.000,428.966,402.000,691.893,363.164,684.873,615.000,324.360,561.743,670.932,889.174,356.667,1067.070,253.238,617.000,375.586,210.942,243.886,222.492,525.034,385.034,307.250,335.651,168.948,248.097,204.940,188.368,284.031,283.806,472.164,197.771,182.857,306.324,154.231,778.000,924.797,198.895,689.955,136.523,174.182,577.755,469.839,567.134,418.346,434.949,169.486,172.812,9.015,112.133,185.200,85.500,79.889,355.902,11.600,152.818,41.985,363.719,654.700,256.070,265.238,413.684,432.203,507.278,73.716,51.901,173.815,353.375,216.800,509.033,283.020,425.127,498.372,57.117,92.830,55.302,18.243,9.600,166.627,384.900,9.065,101.344,181.039,45.333,242.265,205.625,8.429,171.176,277.743,248.821,374.775
11,252.949,135.857,181.622,143.000,275.878,115.000,215.848,267.917,104.450,116.788,274.408,167.712,204.092,314.095,463.656,641.020,331.612,257.705,18.103,90.269,289.413,368.643,397.060,346.970,195.902,189.667,294.444,99.346,937.821,229.532,388.895,602.132,409.688,463.143,584.029,450.935,396.736,231.196,617.814,314.307,238.203,450.435,756.000,702.190,127.737,107.407,158.594,271.988,354.338,244.971,488.511,362.582,192.522,530.845,684.863,428.696,366.623,339.255,516.235,308.960,302.284,917.085,700.087,492.739,1119.746,744.476,839.976,363.069,143.504,234.759,256.186,212.472,83.305,164.712,551.860,252.377,391.226,426.552,427.702,308.000,389.048,242.925,95.042,141.102,58.056,229.192,832.240,686.507,204.789,291.977,48.955,218.073,566.698,194.821,754.701,327.635,353.205,36.892,54.300,21.200,231.778,46.025,77.167,184.926,449.220,320.275,378.523,129.910,347.035,710.829,663.649,287.614,321.432,776.542,629.611,219.980,173.658,276.944,379.312,50.523,800.522,329.426,212.683,660.872,72.416,52.553,56.604,62.189,11.400,129.831,417.640,133.565,87.656,434.137,383.472,252.122,44.143,20.171,123.691,173.086,7.250,478.325
