 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1038,755.467,609.093,649.531,212.091,227.868,401.400,878.122,885.698,1450.503,590.378,730.600,353.318,674.955,783.136,907.907,832.688,770.043,416.732,1061.037,648.876,621.460,753.785,460.667,314.570,639.073,527.236,953.480,1143.423,285.614,248.021,304.853,272.467,486.546,376.886,1071.086,987.331,710.512,587.414,613.471,504.492,498.593,1482.310,759.172,504.013,654.587,642.463,308.008,513.970,867.562,873.519,1253.756,1046.656,1077.507,1345.120,1287.919,835.579,629.993,929.821,413.646,682.630,499.522,511.924,505.602,619.354,474.699,475.500,434.300,446.230,448.078,587.297,1100.053,412.773,431.583,284.102,269.826,343.715,311.218,928.153,512.446,568.905,251.546,338.169,379.408,714.659,433.314,464.011,506.844,410.434,309.118,669.015,631.360,339.352,724.068,522.730,415.955,372.301,925.965,873.830,513.859,595.090,267.322,266.762,364.480,572.586,342.688,313.265,1227.721,911.726,907.005,919.483,809.963,1398.387,1170.509,1022.837,724.830
1039,801.419,425.737,513.031,321.909,148.560,440.514,878.043,919.284,1499.843,638.600,718.390,386.093,836.534,819.173,636.698,786.825,741.435,592.159,1033.162,437.371,513.292,822.271,421.852,414.891,718.865,788.927,1078.203,1246.315,331.614,275.559,235.523,159.000,551.755,475.893,999.743,956.794,724.616,625.910,445.294,596.452,464.356,1309.305,788.560,352.500,832.954,527.169,354.390,483.331,912.238,876.600,1365.489,1076.377,941.993,1179.992,1173.177,951.214,952.269,1164.642,326.506,680.778,437.420,518.608,561.268,680.014,366.132,579.268,366.113,437.150,448.167,496.848,795.526,441.103,529.659,265.693,367.623,337.187,266.827,970.556,411.783,462.095,339.447,355.169,281.765,760.966,477.981,476.548,482.867,363.874,436.859,554.569,512.912,337.445,632.485,451.730,415.067,371.466,849.234,863.962,396.406,539.459,270.802,223.077,488.507,429.279,463.744,289.395,1229.400,989.301,864.248,1135.238,753.060,1278.032,1236.635,842.667,641.778
1040,891.769,490.975,511.538,243.318,282.341,413.286,836.887,977.407,1410.425,633.900,606.190,335.026,842.705,754.009,789.442,1056.088,854.707,395.427,867.750,616.169,551.770,823.112,300.049,420.555,809.750,635.900,1142.618,1343.414,250.257,271.490,246.716,228.317,551.049,350.403,1030.305,977.294,560.756,668.198,588.681,661.071,510.536,1249.529,693.531,384.895,832.119,716.338,493.211,620.910,900.023,771.968,1174.443,1096.667,1039.137,1344.696,1270.914,812.421,942.379,1038.095,428.152,621.830,454.855,700.734,585.185,555.326,431.838,594.049,377.967,425.620,550.544,554.565,696.347,397.515,452.492,309.299,332.216,415.073,421.158,1003.042,381.205,499.114,283.319,234.944,285.480,668.523,420.962,523.011,557.607,346.259,359.494,666.262,593.053,211.906,613.331,487.589,498.351,361.158,846.482,743.547,545.836,734.295,248.652,268.600,470.079,579.604,368.672,304.612,1159.736,876.904,793.107,915.808,708.097,1211.355,892.384,1047.789,884.133
1041,725.428,589.127,528.992,403.173,222.934,424.248,773.304,905.691,1204.170,730.500,698.350,328.444,541.614,752.136,858.907,675.750,674.413,493.537,867.963,612.506,546.177,740.056,363.753,349.344,606.042,624.100,962.033,1027.946,292.376,249.414,324.257,260.017,496.871,367.013,989.552,1009.691,674.291,569.487,507.496,486.722,445.845,1280.010,696.817,410.809,705.550,742.279,492.976,377.774,749.462,771.178,1397.794,911.071,973.432,1195.472,1179.934,824.206,956.476,950.484,366.038,642.452,480.841,563.291,546.500,624.062,398.978,462.659,386.987,500.460,517.222,567.659,799.295,374.763,452.250,289.543,373.569,420.122,321.353,991.264,314.506,610.343,316.468,301.766,309.816,736.693,531.219,381.484,545.681,325.504,403.482,645.262,606.912,283.172,621.515,503.025,430.463,431.662,917.184,855.113,464.375,673.697,202.502,299.454,382.724,604.757,290.504,266.061,1061.057,881.932,855.917,991.914,727.396,1482.135,1077.013,1008.143,749.948
1042,869.856,489.025,586.277,333.318,173.890,431.543,808.791,788.161,1264.614,829.000,547.160,356.775,697.875,803.482,778.605,980.487,779.772,536.671,899.013,560.472,553.540,561.897,653.642,368.320,610.323,602.527,1203.911,1163.748,346.901,298.379,223.211,313.650,528.294,386.919,901.295,938.926,543.860,550.234,531.891,515.056,457.211,1410.919,719.377,551.342,807.514,659.926,477.886,560.391,801.577,798.508,1213.351,1098.290,1078.500,1200.960,1196.051,925.579,728.545,996.558,365.468,703.541,379.623,545.481,567.630,570.076,347.625,494.756,316.300,346.350,525.622,553.833,1014.274,466.495,422.409,304.370,383.659,383.610,317.895,842.681,533.361,447.314,313.021,299.500,331.878,555.557,458.800,523.581,613.615,403.909,404.906,669.915,487.675,345.422,685.159,466.509,393.000,387.263,733.532,723.953,577.586,560.598,269.044,387.838,461.204,535.559,325.856,282.075,1181.043,960.568,795.262,932.391,703.313,1283.045,1076.516,945.714,851.807
1043,780.882,544.686,553.915,293.009,292.912,342.600,1054.070,838.839,1338.823,620.878,797.500,442.225,612.114,732.545,792.186,1001.312,543.543,442.512,883.213,457.562,522.177,799.748,435.988,445.016,713.229,628.645,908.610,1196.586,277.297,260.862,218.826,257.067,525.920,420.732,790.790,943.368,626.547,498.919,474.504,573.881,428.098,1213.176,762.256,399.197,813.734,770.228,517.114,525.519,780.985,860.503,1628.779,994.503,837.794,1131.504,1263.975,846.746,868.738,999.600,400.696,662.719,488.377,556.646,596.370,752.771,417.838,447.439,324.713,406.600,419.944,559.819,660.326,393.670,489.712,334.835,413.545,444.520,273.632,763.389,431.506,568.733,323.106,380.185,353.224,703.841,458.714,514.484,501.289,402.413,406.471,546.138,615.596,312.125,518.294,546.767,382.858,377.256,911.482,609.972,474.203,546.623,227.890,309.177,377.816,498.315,412.688,291.714,1236.714,999.356,861.849,871.450,770.649,1501.323,975.258,1012.265,742.556
1044,780.402,469.653,487.008,356.173,266.791,451.810,833.565,818.500,1445.765,730.511,798.180,377.020,551.398,720.082,611.651,826.862,747.772,370.317,1032.650,695.820,546.911,738.598,393.346,352.914,648.854,637.964,1013.163,1349.045,250.871,302.248,252.284,266.783,535.620,300.477,1137.429,1018.007,516.488,521.045,525.311,592.222,458.397,1397.462,766.612,376.132,809.083,608.809,471.829,509.564,839.023,781.627,1283.382,1137.650,813.027,1252.424,1142.121,898.571,784.283,1001.779,380.127,658.393,474.826,528.266,460.315,615.938,460.074,411.634,408.587,450.230,521.000,689.891,686.316,560.773,438.098,286.299,309.503,449.366,364.579,1064.583,397.422,552.495,320.681,255.048,283.867,769.239,499.410,488.140,500.578,352.112,259.624,604.477,553.351,530.047,619.252,559.718,438.739,385.812,746.227,678.868,459.875,543.082,251.775,320.492,424.954,470.982,377.256,282.571,1252.557,966.966,933.961,922.417,815.366,1232.381,930.069,995.694,816.044
1045,806.380,588.856,440.908,438.855,191.571,387.952,820.052,867.148,1532.608,731.944,814.120,361.881,708.489,640.918,795.977,864.550,626.924,478.939,956.825,471.461,531.150,678.206,380.889,385.008,804.771,656.036,940.577,1277.865,361.802,322.924,242.651,138.567,588.834,359.463,928.429,798.735,782.360,682.072,572.697,606.437,471.015,1354.548,723.015,466.276,805.239,730.324,447.325,481.293,828.177,860.708,1256.298,997.557,1007.767,1157.568,1226.702,778.579,902.200,945.126,384.063,612.844,347.087,658.709,491.361,599.681,386.588,487.061,358.607,363.630,483.389,589.855,818.547,448.041,520.886,313.449,321.347,427.455,270.474,897.236,523.193,469.571,256.404,349.000,456.194,679.523,404.171,598.430,540.200,249.217,400.541,589.515,534.132,354.164,633.748,544.552,388.597,379.248,851.596,686.538,414.406,605.771,251.256,299.631,416.224,706.513,333.384,364.429,1160.514,1023.637,806.379,959.742,695.231,1421.574,1017.308,953.361,842.044
1046,737.035,489.797,519.954,333.073,217.516,351.286,740.374,925.907,1327.105,676.556,756.130,346.702,735.920,684.255,690.465,815.062,755.913,343.610,925.987,648.281,519.372,865.589,523.161,305.750,663.208,630.182,909.398,1060.784,283.416,210.103,259.009,294.033,539.491,330.195,1079.981,923.926,791.407,601.550,578.714,681.222,495.706,1405.657,702.846,390.842,750.303,672.721,537.911,427.233,824.946,842.389,1456.695,1274.989,1085.075,1234.848,1060.172,752.167,782.255,845.684,472.886,616.548,518.507,445.937,520.250,674.451,338.500,494.902,282.153,395.060,527.411,705.507,765.484,409.794,397.311,317.520,337.599,334.870,409.534,746.694,555.880,535.362,365.993,357.145,294.867,807.205,463.038,451.613,523.548,371.385,414.153,648.015,458.842,322.398,621.755,525.393,412.022,371.053,766.617,768.415,553.367,744.057,220.630,282.800,455.875,505.108,415.464,349.197,1237.150,924.137,867.888,883.662,650.381,1343.168,1068.786,1043.959,885.948
1047,676.332,588.331,476.008,315.345,214.934,435.438,934.522,929.556,1576.013,681.467,615.050,385.238,698.080,781.509,860.535,817.900,709.924,632.512,972.438,417.674,694.327,831.579,476.716,342.680,810.938,636.909,972.390,1286.126,331.475,310.145,324.908,180.750,531.528,360.718,1002.800,1003.015,766.570,680.378,724.882,597.548,385.629,1379.457,736.271,392.158,716.321,505.419,468.805,627.150,867.831,845.470,1560.794,1121.519,913.938,1176.120,1069.025,867.897,830.876,1110.326,405.304,692.444,405.232,541.215,533.944,679.521,398.279,546.768,358.647,396.880,447.111,657.855,764.684,438.433,357.402,345.764,407.108,324.789,302.451,791.111,502.133,484.952,339.333,353.653,277.449,708.659,480.876,446.215,503.304,328.287,334.565,625.085,601.614,369.062,586.325,591.233,399.761,537.602,882.475,710.113,467.344,667.713,215.652,326.715,468.566,540.685,439.584,407.592,1259.600,848.466,789.888,913.245,655.649,1312.110,953.138,988.830,675.556
1048,696.537,545.780,501.015,334.473,187.560,298.629,785.617,700.173,1307.386,701.633,683.460,336.801,530.898,1010.382,822.070,845.650,820.489,501.951,989.612,550.517,694.531,746.075,470.148,433.484,727.010,657.036,949.301,1273.531,342.238,333.655,160.330,280.733,520.472,458.020,1049.571,1068.235,700.081,500.739,671.260,535.246,506.191,1340.443,856.751,364.474,859.220,564.897,535.520,503.699,765.723,863.384,1239.412,999.060,934.767,1137.040,1160.015,825.032,780.428,1035.537,345.038,735.822,398.768,627.633,545.268,688.361,473.963,482.183,442.453,309.850,519.144,642.312,781.337,372.495,496.727,297.488,371.102,313.504,366.233,934.333,368.723,440.257,351.901,333.734,481.010,852.943,463.914,497.796,565.356,314.671,324.612,670.031,549.386,399.750,643.319,560.006,488.037,354.782,865.688,766.009,538.109,700.402,294.436,254.846,397.434,489.838,309.608,294.150,1085.636,814.568,859.364,865.815,781.619,1411.290,1073.069,1056.231,700.874
1049,857.397,548.881,520.631,338.245,160.429,415.276,869.426,918.506,1294.301,753.044,756.170,354.351,638.852,885.091,647.070,818.938,705.913,533.963,1007.650,550.146,512.345,839.645,403.778,293.586,785.260,556.291,1009.919,1214.541,360.049,270.290,224.385,299.283,513.307,322.436,1101.324,1006.426,748.930,753.045,578.479,536.468,382.546,1431.186,729.011,425.099,928.431,577.993,413.610,452.729,654.423,838.513,1451.802,1105.694,925.952,1375.352,1204.556,952.802,720.338,964.042,355.025,659.926,614.899,689.443,742.120,774.139,449.382,455.537,417.593,331.690,398.044,652.341,887.505,356.495,355.765,262.346,323.210,442.325,317.977,914.764,337.940,519.829,290.291,344.185,283.684,766.693,393.143,437.172,518.518,348.713,269.176,606.208,501.360,361.008,653.779,529.626,377.254,381.985,782.986,733.821,508.961,622.910,268.868,262.777,461.908,469.432,395.376,241.816,1151.450,814.706,896.864,912.146,659.336,1282.161,1073.541,1011.197,777.141
1050,898.310,521.941,510.654,325.073,218.429,374.114,728.383,881.488,1332.268,710.300,765.760,378.311,719.102,1047.473,649.279,728.925,680.022,560.146,1151.725,455.584,500.195,594.682,448.395,323.219,659.531,607.955,984.699,1272.423,312.149,267.255,298.972,251.117,515.816,441.611,780.114,1010.272,758.058,621.252,567.950,693.897,469.737,1319.719,717.234,402.066,788.569,610.294,503.805,469.489,773.738,777.616,1288.931,1084.623,793.274,1044.976,1205.540,784.468,857.628,969.621,288.443,704.259,340.348,638.873,581.426,604.444,458.676,573.037,372.647,510.820,460.700,618.797,817.747,441.392,538.288,324.701,328.407,333.829,327.617,815.222,577.699,513.152,316.957,323.089,306.184,657.295,663.952,473.075,446.459,414.343,405.871,593.731,584.667,399.750,638.963,525.417,489.090,345.233,933.801,632.877,503.688,718.721,242.903,307.669,408.961,574.468,368.232,245.932,1194.729,949.575,914.845,998.675,656.590,1359.787,1015.434,1051.156,874.867
1051,775.393,533.966,628.638,361.273,198.538,394.448,844.591,837.018,1407.608,774.744,742.260,334.232,695.432,707.945,528.349,704.412,690.750,550.427,1128.537,693.843,508.814,709.206,371.383,376.109,696.365,513.664,923.350,1112.144,339.416,352.000,217.743,303.350,487.988,390.087,1072.209,896.463,578.465,552.622,584.597,559.571,519.763,1356.086,704.938,402.039,964.624,691.125,374.602,596.609,725.662,837.968,1087.130,860.076,954.048,1333.032,1167.677,801.214,990.421,1061.158,326.063,721.444,462.899,631.291,617.907,822.236,441.176,533.598,416.847,333.290,391.722,556.587,862.505,420.773,513.129,273.622,376.335,394.634,361.045,670.292,414.374,633.648,369.702,372.911,382.969,591.000,434.952,515.333,630.852,355.916,287.376,637.546,531.202,241.578,548.141,519.448,425.097,394.880,860.468,565.868,496.852,539.336,236.881,301.462,358.862,591.396,416.936,321.340,1142.757,959.856,815.175,938.861,663.500,1275.335,1097.836,1105.735,726.511
1052,852.624,585.924,529.308,385.436,202.659,512.267,827.983,789.982,1441.412,647.033,615.830,337.444,560.386,791.845,953.651,767.088,646.772,591.219,983.188,480.101,672.655,664.243,417.136,391.430,692.229,602.364,1163.927,1264.189,364.347,293.028,239.991,314.867,434.963,396.550,945.667,894.765,647.837,570.009,497.185,520.817,498.021,1460.924,815.890,408.553,810.284,674.375,488.618,485.617,987.908,810.946,1370.214,1147.355,1022.733,1101.424,1144.581,768.341,771.917,983.768,382.949,627.585,561.087,519.038,447.231,656.951,383.559,491.780,304.547,396.670,524.411,564.964,821.884,470.938,523.803,278.307,377.030,357.870,338.684,923.889,476.265,497.010,258.305,317.113,358.806,669.739,428.171,573.473,422.904,413.434,334.600,570.385,401.404,300.000,604.650,607.724,297.455,437.985,945.128,717.302,419.023,700.164,284.674,325.885,357.428,470.793,381.448,263.844,1168.329,853.671,902.301,920.179,653.888,1277.832,1020.585,1043.170,815.356
