 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
1516,2318.598,2176.549,336.625,1056.929,336.214,756.922,429.638,426.500,302.748,427.270,618.286,314.057,854.496,1170.851,2231.179,768.927,1048.352,428.627,237.000,254.676,507.322,234.203,596.404,278.206,779.587,421.108,288.107,776.240,337.411,825.247,341.387,546.234,323.887,290.813,318.370,378.925,358.432,196.179,356.277,245.229,287.034,264.067,765.864,270.212,224.612,372.157,895.965,357.965,554.276,241.341,274.710,451.429,216.755,197.412,347.616,242.547,363.376,585.517,466.959,628.644,509.525,371.435,284.639,408.311,520.282,519.793,202.125,294.355,284.208,246.086,476.416,321.244,408.191,584.180,429.831,383.318,600.825,304.884,721.275,785.033,660.574,202.507,163.491,176.984,340.680,352.414,523.959,233.905,154.070,199.475,355.783,270.029,421.100,273.218,135.532,187.640,1488.243,298.047,147.036,137.912,271.137,792.407,813.207,208.485,499.569,532.103,476.730,262.780,179.604,220.830,700.852,412.652,434.232,455.140,635.686,490.704,389.916,262.667,253.333,205.033,500.412,348.140,389.016,473.560,424.581,199.478,312.717,517.449,759.253,477.850,343.848,384.701,463.144,583.039,442.894,388.976,281.205,365.911,278.682,364.636,441.567,299.027,419.934,345.216,501.344,374.597
1517,2172.139,2560.412,346.010,993.774,308.602,466.109,441.752,400.362,390.748,438.649,620.571,268.667,689.565,936.406,2892.522,969.764,1023.254,366.667,501.704,269.637,545.656,212.969,612.156,244.052,789.905,485.243,433.089,851.840,384.301,604.390,334.994,637.138,310.528,269.960,395.796,337.774,343.222,348.328,277.615,187.699,252.161,299.326,671.795,228.923,159.321,457.939,757.837,422.339,449.057,320.082,125.398,346.110,263.439,165.956,256.781,345.019,293.871,571.725,417.016,460.228,574.198,429.268,404.485,419.811,419.154,603.851,183.352,225.710,284.424,219.516,565.620,308.543,393.955,666.496,536.785,336.909,446.515,328.241,784.750,627.592,789.943,274.089,182.120,187.106,355.328,280.851,371.051,242.000,189.375,246.495,245.125,444.058,431.467,160.379,215.574,237.628,967.838,488.734,246.804,266.158,307.373,732.037,837.845,194.763,567.750,538.701,432.480,274.122,244.991,284.114,647.074,361.754,356.683,322.907,406.765,378.222,320.374,357.028,238.640,132.203,393.471,372.684,382.359,445.720,485.581,281.870,263.723,350.913,671.137,422.280,439.929,345.383,369.767,612.610,464.953,362.103,255.107,380.911,275.491,363.031,381.192,253.743,365.620,282.568,526.136,376.734
1518,2298.869,2480.157,267.969,970.917,361.153,593.281,520.391,520.394,416.660,489.203,662.452,276.950,714.922,1129.436,2128.896,763.182,1188.148,487.176,429.944,226.451,485.356,186.047,733.018,274.577,941.698,352.135,404.589,666.400,350.014,619.909,317.702,438.128,332.283,375.720,433.759,249.585,359.198,273.418,298.631,215.353,281.181,324.775,818.205,223.510,215.052,351.217,884.496,355.061,461.314,394.600,134.021,384.610,227.235,205.579,247.795,248.009,318.158,457.275,421.016,459.154,561.208,405.420,454.134,378.369,449.658,477.099,323.750,294.237,253.248,241.344,434.460,314.213,425.136,581.820,488.954,405.745,569.289,376.911,822.500,615.783,542.631,271.301,186.834,151.651,449.566,270.471,517.459,341.690,200.711,234.842,250.608,343.478,265.283,248.115,158.532,166.209,1439.351,420.844,296.571,156.263,280.275,750.648,911.845,306.660,477.750,554.287,519.190,193.366,237.000,312.159,471.259,295.014,337.427,476.500,424.824,455.019,370.831,367.667,261.293,191.472,457.618,366.895,364.781,393.747,414.554,298.880,331.050,384.928,763.200,456.738,430.848,362.737,386.900,548.169,435.129,382.802,319.352,369.685,343.827,349.155,463.442,255.581,366.372,430.288,666.656,306.588
1519,2065.443,2042.980,378.865,1015.714,440.082,554.703,437.800,500.383,320.476,550.473,655.149,278.695,788.348,1057.446,2326.224,971.255,1060.287,462.667,381.481,254.882,639.000,287.547,732.587,222.021,711.556,493.622,335.696,544.180,380.959,636.312,415.720,506.117,205.755,383.013,368.481,288.830,498.704,312.209,394.308,248.869,278.289,305.709,511.841,217.481,209.463,377.461,979.574,352.435,486.114,159.929,183.699,364.500,217.500,220.316,317.192,241.925,248.842,510.308,469.770,491.859,477.951,440.717,341.515,305.672,389.137,493.149,150.875,309.742,268.232,232.280,473.277,317.291,444.118,597.949,611.400,411.555,448.670,359.098,816.150,664.508,578.229,237.986,180.766,204.746,401.418,273.448,437.408,490.571,163.359,202.218,256.175,465.623,368.633,261.000,109.830,192.012,1033.189,273.812,307.143,221.105,293.039,873.759,857.672,263.825,611.250,567.126,508.790,243.963,165.658,274.398,740.315,281.826,379.939,422.198,632.627,545.778,397.663,295.917,231.747,151.561,506.603,361.912,336.844,476.360,579.054,250.554,339.044,373.464,701.189,496.374,506.661,397.665,366.756,493.636,412.882,377.032,205.525,396.524,314.336,377.775,446.792,330.507,362.307,263.811,388.143,364.983
1520,2177.771,2635.549,248.031,1042.060,354.571,890.500,419.238,523.894,317.961,435.176,693.940,320.652,701.861,1378.535,2143.970,953.000,1068.934,238.255,398.537,247.647,530.222,331.078,597.248,190.588,735.857,489.743,488.196,680.920,501.740,472.831,373.190,571.777,309.943,283.853,434.444,216.632,367.543,587.806,341.000,207.817,326.208,289.775,648.045,279.971,245.813,411.904,879.681,315.730,574.210,161.424,187.699,436.335,166.745,182.965,258.671,266.585,331.158,710.858,388.975,540.128,480.604,414.181,365.041,371.541,458.154,482.496,267.557,282.720,217.128,262.978,456.416,320.630,483.891,591.761,555.585,410.964,385.278,260.696,792.800,707.567,766.549,269.075,184.331,220.889,450.525,328.230,435.939,280.786,113.891,177.743,290.025,380.739,469.050,258.437,169.149,176.756,1309.486,378.984,256.929,139.702,293.569,712.796,867.586,269.237,453.667,503.644,423.440,206.549,210.342,216.898,670.370,349.348,402.902,395.547,674.294,551.315,295.904,286.264,187.040,170.984,378.426,361.070,269.750,430.680,439.432,180.696,295.925,345.667,783.337,415.607,369.366,382.204,277.522,615.130,317.765,338.016,261.213,291.726,318.736,286.961,527.617,308.892,318.066,326.099,561.857,358.635
1521,2295.631,2411.765,259.719,1120.048,396.500,591.859,552.038,387.287,294.961,392.797,585.970,310.298,715.861,1267.673,2217.448,833.709,977.107,300.627,326.852,260.039,521.844,176.438,631.330,204.464,823.857,508.878,383.429,783.100,405.699,654.000,399.089,474.606,271.189,342.680,462.907,253.736,282.716,548.910,263.785,182.451,338.980,328.375,639.364,195.904,192.127,366.226,948.702,435.035,563.581,180.153,162.806,370.687,273.827,195.816,384.918,199.311,453.069,560.950,404.787,523.134,525.366,400.790,327.227,459.320,380.778,452.421,292.295,300.925,264.464,290.495,438.124,298.189,418.864,654.521,572.000,440.791,488.711,440.054,767.225,655.817,541.352,292.048,128.251,147.159,491.852,274.644,504.010,261.119,189.812,204.713,293.475,422.232,282.167,229.172,101.543,201.488,1446.216,327.578,194.804,168.211,330.961,938.204,913.155,329.825,440.292,546.977,452.620,158.463,227.468,191.205,724.593,364.536,365.220,476.244,597.431,672.130,406.675,310.194,220.920,164.715,402.176,300.246,393.891,377.707,540.487,263.870,285.975,345.391,551.032,409.607,442.688,389.437,343.978,602.714,300.929,388.127,266.361,338.274,347.536,350.853,513.542,330.378,370.774,377.550,494.883,393.738
1522,2263.697,2545.784,280.271,914.417,431.592,684.203,441.733,408.128,461.612,345.608,667.696,349.752,718.217,1162.535,2527.194,852.855,1020.033,445.098,257.907,354.451,608.944,384.406,610.110,336.258,875.254,481.392,282.982,914.820,374.288,603.662,357.089,454.883,229.377,272.840,436.019,313.943,351.506,338.478,412.492,320.765,317.309,325.796,726.636,255.308,204.097,523.383,848.312,381.374,629.410,256.165,176.946,379.731,178.980,179.667,334.356,264.368,340.614,678.325,457.746,522.872,627.396,397.268,422.464,414.557,362.855,517.942,197.909,207.785,269.472,317.645,450.905,392.252,449.264,691.034,481.954,421.964,474.969,385.804,659.500,608.700,643.016,189.178,178.749,150.217,400.016,306.931,464.827,191.667,205.445,121.950,245.600,315.174,422.017,193.759,156.957,255.558,1306.919,526.578,292.071,261.246,436.059,764.241,921.862,258.536,353.972,626.080,433.110,196.866,202.694,213.943,620.315,252.754,419.756,349.326,498.980,428.278,306.036,345.542,229.893,147.098,412.000,541.807,350.281,541.413,485.284,312.565,305.585,332.710,747.421,465.617,429.714,280.970,315.789,524.870,350.482,359.770,275.270,260.218,322.836,288.426,341.775,308.108,468.701,397.036,570.656,464.253
1523,2380.025,2372.804,229.531,1103.536,421.214,717.812,391.029,419.266,406.748,426.297,617.905,342.021,779.696,982.980,2482.731,827.382,1030.541,393.431,321.148,334.706,579.678,157.266,629.018,257.773,784.111,513.838,460.661,905.180,444.397,649.039,428.196,440.734,416.264,393.013,314.593,265.906,336.074,328.448,305.846,280.000,281.523,273.046,847.500,304.135,178.201,353.670,993.305,441.357,560.210,241.082,194.806,346.236,202.194,212.421,282.726,271.085,287.248,611.100,470.811,480.644,585.554,431.457,247.495,369.377,364.068,428.471,256.761,280.602,299.160,200.591,555.606,319.850,503.682,560.462,718.200,404.227,455.969,453.500,647.125,662.875,702.229,289.233,200.514,121.794,444.910,303.966,422.561,260.619,193.484,207.990,192.183,353.333,340.050,215.379,128.245,242.744,995.432,352.531,209.054,177.123,516.196,729.315,776.241,273.928,544.444,486.598,413.810,152.366,176.387,132.125,643.648,352.116,415.585,508.826,384.176,677.500,177.892,475.417,220.693,141.772,383.559,365.860,386.688,406.560,380.135,298.859,292.572,449.391,782.126,501.738,429.080,344.988,311.033,581.792,411.082,440.436,164.492,362.331,324.709,276.326,465.683,342.459,444.299,309.703,534.279,351.845
1524,2097.762,2523.726,332.302,870.476,391.551,723.938,356.305,366.223,357.728,436.622,621.429,272.567,671.113,1149.861,2149.687,745.545,1023.762,306.118,633.037,306.539,445.378,380.906,574.982,230.938,862.778,379.014,414.464,1161.080,432.082,607.182,321.732,515.851,233.585,222.600,317.111,308.755,461.370,323.597,352.415,225.235,313.161,288.751,497.591,234.529,164.045,390.278,835.085,395.904,630.829,236.694,108.161,422.797,240.612,214.596,227.767,283.726,303.079,526.925,365.852,541.859,512.941,366.384,236.299,356.459,481.957,444.025,194.432,366.226,286.768,269.355,543.854,332.732,383.200,657.752,464.031,299.282,484.567,463.661,598.675,708.625,549.443,310.630,160.400,164.868,412.336,345.828,372.643,294.905,146.398,143.109,274.167,417.232,486.350,183.943,139.191,230.535,1341.892,418.406,278.929,148.439,438.059,879.944,775.241,376.062,451.236,490.759,327.410,198.390,215.802,192.114,619.185,246.058,490.317,348.837,386.235,717.648,244.542,377.458,294.893,183.122,439.044,361.632,389.891,468.987,475.878,346.728,257.906,360.681,708.926,393.140,430.196,396.431,406.033,510.558,326.318,433.040,285.213,298.532,314.891,294.473,438.067,244.608,352.942,353.739,495.578,350.639
1525,2127.943,2446.059,353.646,1138.488,339.878,710.391,358.581,448.223,332.505,399.095,625.845,296.135,710.817,1098.871,2146.179,851.291,1145.410,401.510,471.148,284.961,578.056,330.094,527.110,296.093,905.397,475.676,366.375,631.180,438.644,674.117,414.595,416.234,176.943,354.880,414.944,289.821,368.679,461.970,310.985,203.810,388.872,325.677,847.818,255.183,223.604,380.922,955.879,435.426,519.219,223.106,164.290,339.846,140.918,200.860,292.356,308.934,262.842,612.133,327.902,516.993,502.673,461.138,376.155,378.984,499.735,439.174,237.250,280.161,277.600,250.032,515.825,331.937,350.400,609.547,722.292,395.391,555.278,447.429,712.450,602.225,758.148,279.014,175.891,176.143,386.861,244.805,343.388,232.548,153.203,168.990,265.833,380.145,584.517,203.333,161.723,189.512,1273.676,155.969,361.714,212.877,275.275,812.982,710.621,308.278,476.347,582.644,389.740,201.061,197.063,269.693,606.037,205.696,437.122,370.895,409.000,584.870,408.614,400.181,210.147,188.659,361.779,392.404,459.266,369.947,466.041,320.446,281.667,354.710,651.663,377.009,354.446,401.689,367.122,693.091,442.741,418.976,280.508,450.935,368.018,251.116,321.592,333.628,331.599,337.432,433.065,351.979
