 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
213,194.515,126.395,212.163,309.120,223.469,448.856,230.151,413.763,291.444,173.462,186.255,290.605,401.659,480.281,210.280,347.243,650.794,557.288,270.036,178.321,464.792,626.763,541.867,693.214,519.710,2104.532,791.617,1596.389,1853.895,2650.726,5660.811,972.644,594.675,983.881,1077.545,3340.602,2553.925,1763.750,1361.673,1905.396,2401.763,1144.500,1699.693,523.982,528.089,641.448,1242.473,1032.333,2032.464,1165.645,1137.673,1467.636,2246.797,566.562,521.969,484.223,604.559,652.885,563.667,441.140,182.061,485.146,450.257,1817.049,578.931,414.962,2130.108
214,214.330,319.186,246.272,291.592,360.717,373.500,393.594,332.070,393.746,292.939,296.596,272.543,195.264,547.018,441.220,573.709,438.305,986.632,220.555,306.962,436.890,718.114,468.031,496.198,527.626,2002.987,857.167,1987.309,1734.614,2494.221,5487.640,578.653,882.096,1032.348,1211.667,3146.120,2331.583,1794.046,1790.389,2148.667,2286.204,1175.750,1928.248,494.237,346.366,460.958,1051.118,1266.613,1706.516,1095.336,951.204,1955.109,2010.399,485.146,502.271,360.705,481.788,584.431,760.418,568.523,178.750,507.354,502.611,1691.407,480.893,341.582,2582.677
215,145.588,312.659,327.435,444.112,324.611,182.033,310.528,341.658,400.176,289.811,416.947,300.434,253.615,313.605,271.600,483.291,334.130,825.152,349.464,203.603,449.884,501.702,418.805,546.778,501.840,1829.494,823.842,1825.591,1823.343,2384.689,5457.459,853.208,483.590,1161.141,1205.553,3167.056,2479.025,1809.870,1776.354,2039.793,2684.107,1618.658,2051.069,594.284,509.357,516.145,1018.809,1038.273,1398.856,1082.935,818.653,1436.132,1759.953,523.785,730.008,530.062,734.661,557.962,508.399,678.116,188.115,444.083,529.243,1594.852,668.695,294.253,2393.147
216,167.619,324.674,328.038,222.696,227.646,344.422,497.226,287.816,377.718,149.659,178.287,301.202,355.824,509.263,535.190,633.971,560.588,627.080,283.064,247.090,577.728,677.439,542.516,575.087,346.137,1897.411,828.658,1672.973,1877.376,2481.226,5414.261,765.713,909.855,1019.407,1106.833,2801.972,2215.483,2067.509,1498.956,2090.613,2066.581,1540.868,1493.248,286.444,390.679,474.097,870.182,853.120,2032.196,1142.514,1139.776,1505.171,2191.358,541.903,718.829,393.920,506.042,582.669,550.980,529.035,235.851,358.604,581.028,1691.346,664.168,376.000,2517.726
217,269.175,177.651,268.832,285.216,300.142,295.711,336.642,271.053,374.711,273.758,182.032,248.915,482.198,833.219,246.860,421.466,646.748,892.928,257.573,277.449,673.977,741.789,434.633,502.024,526.481,2420.848,1122.183,1917.235,1999.891,2847.405,5446.928,786.129,596.940,1189.333,1170.795,3336.231,2334.917,1641.269,1509.142,2039.703,2420.484,1267.395,1686.198,534.059,554.188,538.982,1054.791,1467.367,1545.237,590.215,1201.571,2023.659,2377.324,618.431,723.364,558.357,533.720,647.500,594.203,433.616,209.020,241.583,588.083,1548.148,632.130,478.696,2010.569
218,303.474,201.783,369.745,315.080,195.717,236.389,381.566,505.447,282.169,419.947,210.904,243.574,395.011,428.719,336.470,493.699,594.969,959.264,248.718,294.615,450.220,780.465,450.781,642.714,509.733,2021.899,780.317,1854.074,1651.291,2691.153,5526.451,683.901,730.361,984.622,1080.720,2858.139,2344.425,1737.343,1172.982,1970.045,2014.935,1566.895,1514.059,420.805,615.866,494.012,1028.836,1265.933,2002.041,1141.224,953.398,1742.488,1898.797,596.604,693.457,561.884,806.347,610.777,455.503,468.442,201.182,547.646,389.486,1495.185,749.649,411.152,2497.127
219,297.938,223.093,365.582,307.744,212.611,283.767,249.189,431.158,300.986,332.629,183.883,300.357,290.857,501.561,256.160,704.214,424.603,790.096,318.618,339.872,539.445,889.053,558.367,760.063,345.855,2010.260,670.617,1909.101,1726.381,2429.900,5289.874,912.079,692.458,948.289,1173.008,3079.167,2272.742,2028.009,1304.566,2011.541,2250.151,1479.816,1528.594,530.426,644.580,481.570,994.791,1276.420,1645.629,849.355,1100.857,1819.690,2099.973,644.069,461.062,686.786,524.475,720.915,501.784,432.640,173.682,341.812,523.757,1801.556,630.725,463.316,2287.529
220,275.639,204.682,308.402,336.552,328.885,374.489,340.906,263.912,301.775,211.242,330.064,248.527,258.637,418.140,188.560,609.786,600.725,819.768,471.300,256.013,596.613,698.123,427.320,441.976,394.664,2087.677,979.917,1867.550,2036.086,2354.800,5466.271,1047.891,686.096,1054.326,1537.447,2891.074,2354.550,1929.852,1396.611,1992.802,1805.151,1107.026,1506.218,355.450,474.321,528.073,780.118,1038.887,1305.979,1134.879,1115.592,1777.744,1958.608,703.653,671.589,348.295,739.703,628.062,518.418,441.291,160.878,383.750,381.882,1442.630,575.191,442.405,2210.539
221,210.546,250.178,256.103,249.872,253.619,244.156,266.274,440.518,406.986,238.432,192.064,246.039,378.835,534.746,154.600,346.359,636.336,1070.912,479.055,181.128,580.069,731.930,325.422,834.452,585.878,1789.949,845.842,1615.872,1810.367,2795.279,5203.838,720.653,791.687,1173.674,1129.864,3412.556,2864.283,1884.519,1394.354,1682.793,2730.581,976.592,1649.129,366.769,482.348,541.024,1094.718,1043.093,1711.546,1002.551,1207.082,1633.349,2058.500,632.500,551.698,333.625,576.831,541.600,602.307,553.826,191.831,284.229,486.319,1988.346,797.847,648.949,2416.823
222,245.495,303.388,349.804,359.448,329.416,677.667,351.981,419.114,294.521,273.129,204.287,339.775,271.330,285.202,243.490,439.485,655.359,809.920,288.255,215.513,476.717,492.009,532.953,610.357,599.023,1942.418,950.350,1799.651,1714.676,2671.626,5150.415,876.208,863.554,1216.037,1249.015,3320.935,2618.042,2004.602,1462.602,1892.559,2468.871,1078.250,1824.010,629.580,450.625,538.515,802.364,1556.500,1317.021,1135.224,951.041,1902.860,1770.709,435.306,525.318,466.348,608.653,747.462,493.471,555.291,195.236,443.896,548.417,1536.432,746.870,676.063,2359.569
