 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
1,41.732,68.760,58.587,89.896,53.779,64.789,20.283,20.851,104.528,44.591,14.096,46.860,41.341,44.982,167.770,58.252,82.267,24.648,15.382,6.154,95.671,189.649,93.172,91.500,83.489,380.411,128.150,167.752,172.024,346.237,894.928,60.337,142.036,143.556,85.258,285.509,406.833,89.407,240.699,577.712,324.366,103.461,263.842,87.183,49.223,145.812,77.918,154.347,205.082,140.439,138.653,309.992,305.216,98.188,82.054,49.562,77.932,70.985,89.013,158.767,196.054,95.250,96.431,351.691,99.489,212.304,432.157
2,158.412,24.891,67.272,37.576,69.602,65.733,65.245,111.491,43.296,48.341,11.266,17.667,181.462,24.219,58.000,119.971,78.145,88.544,20.736,11.026,104.225,132.588,83.312,32.540,78.947,160.924,44.975,360.577,233.324,408.079,885.559,93.545,87.578,69.548,114.417,288.620,445.292,316.352,358.531,348.982,619.839,66.092,168.980,84.035,20.643,116.412,120.518,115.567,167.474,121.785,126.510,260.093,346.095,106.076,94.636,133.429,45.339,85.769,124.085,102.814,111.865,219.604,154.938,190.136,106.015,36.291,383.676
3,36.753,59.388,28.897,75.816,56.133,69.833,102.151,42.737,77.204,82.947,16.266,20.915,77.440,87.263,84.330,60.738,117.504,105.176,35.636,68.821,203.815,106.833,12.625,90.571,88.511,206.063,189.392,203.081,201.386,366.495,1014.865,306.911,69.012,136.030,211.129,148.093,340.067,288.454,380.407,343.342,352.226,288.395,473.545,126.290,95.304,44.642,97.627,261.413,353.340,307.028,83.857,279.124,562.716,58.868,144.922,84.812,98.051,183.392,16.784,82.779,127.892,194.958,138.722,300.481,116.053,38.759,643.804
4,10.464,30.341,47.255,59.936,19.460,44.511,7.896,50.360,106.641,30.258,53.457,41.829,125.242,68.632,86.880,62.029,74.992,93.016,83.827,12.000,49.202,184.544,127.391,115.103,78.076,409.462,67.500,196.718,259.543,346.174,1110.342,77.327,95.783,182.030,65.871,257.593,240.775,218.546,332.858,263.360,335.301,144.197,390.059,57.249,137.875,69.727,151.782,142.660,360.670,136.467,144.561,291.147,349.885,181.875,48.558,85.259,41.763,123.954,80.268,124.872,61.851,316.083,169.160,322.160,78.893,86.544,524.755
5,60.959,62.659,54.446,101.872,14.805,156.322,135.991,36.316,10.268,76.333,10.766,62.341,13.560,126.623,36.130,38.282,50.443,180.200,15.291,5.705,110.520,50.281,99.445,144.135,26.901,340.070,226.842,277.537,224.638,324.695,1173.523,36.752,151.398,133.067,155.129,389.009,250.183,289.898,368.726,342.117,603.591,162.658,267.337,71.337,73.286,72.333,171.927,154.367,386.351,133.841,83.959,209.845,524.250,171.528,145.101,25.509,41.839,41.323,80.085,15.535,157.473,348.188,185.528,386.901,126.634,39.924,458.794
6,110.206,59.225,52.207,138.816,270.257,118.400,48.434,127.289,259.183,89.280,9.723,93.264,86.154,152.053,136.290,13.155,140.115,190.952,24.173,13.718,119.595,28.640,43.594,52.460,33.603,280.304,87.283,145.872,242.162,380.316,1022.973,76.168,90.217,165.430,218.818,279.917,361.092,348.231,304.522,433.144,451.462,202.447,315.208,116.521,130.696,35.867,249.464,276.467,270.938,216.710,237.265,103.822,370.932,114.917,107.736,108.973,153.093,172.277,93.490,41.744,165.291,264.083,204.368,376.617,110.206,76.165,593.039
7,6.979,23.202,67.832,77.160,42.947,142.067,98.651,35.070,203.908,107.432,76.191,22.078,62.462,48.526,101.850,134.078,154.214,87.176,25.509,7.897,50.572,181.474,74.688,190.365,117.168,304.785,193.975,312.416,158.376,272.453,1021.973,179.723,255.940,152.119,50.932,306.750,397.333,326.991,346.796,362.189,381.613,154.987,171.030,111.314,44.339,52.703,265.809,359.313,392.392,194.981,222.112,199.248,447.682,144.250,92.690,116.723,85.729,91.908,115.052,35.849,117.818,298.729,205.229,320.901,100.969,105.886,542.637
8,32.433,69.791,74.543,143.504,49.965,168.611,241.830,89.956,128.479,65.697,18.585,15.078,100.341,125.114,77.460,75.019,46.206,94.472,102.845,11.423,116.520,197.570,92.516,67.429,118.221,433.930,76.592,354.295,150.110,491.089,1016.883,29.465,127.145,214.919,218.894,260.231,399.492,332.204,401.991,368.126,252.161,65.474,476.871,94.663,94.179,97.855,94.182,255.260,386.433,196.533,163.837,350.674,475.270,187.438,74.031,128.857,117.449,26.638,97.007,27.709,96.088,648.708,94.375,434.148,157.588,100.013,530.608
9,53.278,24.705,10.201,94.624,89.283,179.667,85.085,52.632,40.873,6.674,37.713,35.434,9.319,120.798,59.060,80.641,161.069,27.976,63.391,85.846,136.532,57.535,101.031,31.849,91.122,414.114,141.233,270.000,159.852,326.737,969.099,50.663,282.470,133.837,190.955,177.787,613.617,343.269,367.504,370.000,531.538,76.711,192.832,68.225,33.795,71.933,355.309,175.773,413.928,59.794,208.184,272.713,380.027,56.243,151.062,65.214,75.873,129.192,46.425,36.349,87.662,287.958,116.750,432.358,187.733,48.367,542.324
10,47.773,56.876,101.745,106.640,10.726,100.389,134.849,21.035,27.289,67.758,39.234,47.264,91.253,105.219,78.680,10.184,207.618,38.680,22.382,24.654,77.301,165.000,59.742,22.413,81.832,230.462,65.967,329.443,262.100,606.142,1294.631,42.782,219.120,191.304,42.886,485.102,299.875,185.815,390.274,219.189,530.914,133.724,238.040,65.834,82.536,140.261,42.855,174.847,180.794,122.150,206.408,246.403,452.541,125.229,107.767,200.607,140.585,119.869,95.216,36.686,147.642,233.021,130.938,87.346,113.542,105.392,520.392
