 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135
1,564.508,2024.225,904.056,471.389,501.066,968.934,1043.064,461.209,956.978,176.527,525.319,443.096,675.760,427.289,315.881,264.540,207.149,133.946,276.684,301.894,357.216,188.669,170.052,767.054,854.772,459.409,203.330,157.267,292.756,283.373,163.127,346.872,341.947,316.556,331.486,363.235,897.533,757.563,587.710,496.710,254.092,317.388,411.609,1366.938,702.263,160.066,236.476,255.645,258.361,431.333,344.386,589.222,428.511,535.516,705.809,757.562,385.890,637.980,325.859,755.159,394.402,297.202,410.646,276.473,402.177,320.384,373.076,409.244,171.200,241.169,208.321,715.993,378.882,269.110,275.644,351.200,174.757,165.922,789.658,668,367.671,286.840,728.252,602.127,762.507,643.646,645.819,487.589,348.814,437.701,750.929,595.820,810.507,605.681,211.355,239.657,216.348,361.609,934.783,376.636,300.084,200.535,298.796,694.288,499.142,658.174,345.362,885.505,621.231,876.221,372.494,445.925,359.634,801.937,342.883,563.353,209.230,167.894,345.124,657.010,662.968,407.264,573.237,395.565,260.935,278.256,91.824,293.551,64.463,206.558,498.023,871.856,48.324,108.669,56.063
2,533.733,1851.652,785.219,782.611,594.676,1167.302,1380.134,328.545,807.871,237.814,298.940,365.551,374.106,425.723,294.114,321.239,247.974,143.036,277.569,327.067,238.703,174.978,203.015,812.592,819.455,315.916,145.574,145.041,298.209,242.327,108.317,265.091,328.474,319.955,257.264,358.568,601.451,935.921,632.323,513.901,318.868,448.966,486.669,1342.885,602.966,200.898,215.446,332.498,350.781,591.378,234.425,607.760,352.992,471.205,794.862,731.463,424.187,595.116,402.422,601.734,355.505,181.140,452.520,279.791,338.903,324.442,495.639,263.081,326.030,399.331,199.804,459.680,348.909,391.581,399.104,452.608,247.801,217.014,705.383,692.757,497.252,354.160,622.656,842.660,749.693,584.646,540.530,329.039,385.089,297.325,488.124,469.830,869.827,480.286,481.582,177.909,323.348,312.130,579.093,237.014,271.218,333.960,322.664,860.432,525.843,577.989,313.950,727.693,736.050,568.368,360.756,430.872,539.761,765.595,283.083,596.256,327.200,255.500,207.088,712.440,658.858,496.136,443.913,505.948,323.396,283.140,158.721,270.838,98.851,287.212,513.984,684.719,93.331,67.943,81.084
3,905.483,2414.652,701.551,682.236,594.882,1136.993,1224.783,367.530,992.933,211.364,438.464,528.132,304.029,564.025,263.043,468.637,195.519,225.084,139.017,328.089,218.770,161.404,267.889,718.400,1006.894,406.747,194.504,212.405,184.085,284.880,128.786,266.732,245.257,342.500,212.114,627.386,823.410,654.921,613.226,522.076,380.264,436.299,470.881,1170.723,521.297,235.723,150.898,453.460,305.381,634.820,325.228,624.556,381.594,849.434,862.404,381.750,517.725,840.565,459.953,810.133,476.215,292.585,513.181,411.959,493.556,317.232,258.798,224.919,270.220,420.975,197.777,606.447,485.033,366.794,331.044,271.469,224.669,153.603,591.467,458.670,529.294,207.067,733.908,754.680,916.414,787.827,859.013,486.240,646.407,469.909,626.009,514.560,700.047,580.487,315.409,209.783,218.487,287.275,549.333,239.957,202.227,318.202,311.375,828.160,574.291,540.511,295.865,723.745,692.814,914.816,361.631,309.301,502.597,697.973,283.583,529.378,214.274,269.606,286.182,632.540,728.942,442.209,636.775,373.243,454.695,290.147,146.007,214.647,85.204,408,417.457,614.595,190.108,183.057,49.758
4,805.875,1958.464,767.444,740.949,528.890,1263.610,1208.561,305.515,1027.247,193.186,563.578,495.838,598.654,440.597,276.108,269.487,227.292,74.590,240.759,380.494,137.892,153.015,204.548,981.246,956.081,287.266,221.565,187.087,285.930,376.520,232.230,274,281.485,318.247,269.786,665.538,911.508,645.333,707.755,567.885,190.126,229.905,426.364,1006.192,907.534,130.445,189.410,383.071,339.555,658.459,242.228,347.257,462.346,780.729,920.330,662.050,657.714,679.728,487.203,595.106,526.308,233.021,364.512,592.980,366.718,376.196,396.303,418.894,148.530,348.703,280.384,701.773,437.804,438.774,262.822,247.346,270.707,191.227,630.358,643.097,433.902,411.303,707.325,864.840,709.407,650.276,592.477,391.078,475.186,494.364,596.133,521.840,740.280,474.017,553.745,217.769,391.405,321.384,537.271,263.579,308.277,292.879,341.895,480.312,404.030,781.826,179.220,799.863,922.035,924.209,343.676,635.947,459.060,993.099,353.658,494.776,266.296,254.682,223.080,687.535,622.903,444.082,692.944,453.913,297.007,408.364,138.449,213.632,120.259,321.712,399.163,790.327,169.381,88.567,72.826
5,813.592,2362.370,691.490,621.497,433.206,1254.456,1364.452,390.209,915.096,227.062,598.072,399.581,479.385,368.421,262.514,279.301,226.182,94.163,219.408,303.678,274.554,238.221,139.993,770.431,757.163,412.416,230.452,149.821,282.985,356.040,139.587,169.677,280.409,364.764,283.436,604.530,1049.582,616.595,708.032,748.962,243.351,330.680,458.709,1030.215,1276.839,117.518,244.325,366.303,200.948,700.568,399.465,542.801,491.985,596.541,760.340,831.287,651.473,721.626,294.117,430.062,485.364,299.554,487.402,407.061,375.177,375.341,393.588,336.423,199.350,535.220,379.429,460.147,392.294,378.923,241.874,204.054,217.050,221.624,681.658,610.709,388.035,360.563,597.877,736.133,782.150,564.087,590.369,391.550,659.708,256.260,657.841,285.600,672.220,606.260,235.436,222.420,128.804,304.036,782.364,160.736,333.941,230.010,365.559,690.048,532.761,537.337,389.113,818.774,744.734,626.288,388.074,463.722,503.007,910.126,499.150,574.609,262.741,298.902,306.839,594.845,613.923,551.336,627.537,467.817,230.097,374.884,191.669,295.132,145.876,567.750,375.915,792.889,99.554,82.592,180.663
6,530.392,1988.420,848.036,585.796,546.456,947.191,1226.465,328.313,1276.112,282.566,417.741,564.559,425.192,490.742,339.605,473.673,230.279,200.440,308.230,351.894,184.865,192.551,135.615,620.154,1029.488,467.169,217.135,164.226,294.473,366.853,226.452,189.774,230.497,452.899,222.886,580.970,1051.016,739.468,526.465,606.450,276.356,360.966,471.126,1033.385,596.746,217.015,117.133,302.986,296.452,956.198,236.362,444.895,480.075,659.885,929.872,860.725,596.484,736.966,385.328,788.018,359.430,232.658,345.606,332.189,451.532,300.188,415.773,456.984,158.810,266.856,255.688,659.547,409.863,256.865,240.052,249.315,248.293,280.050,927.583,742.252,445.343,291.479,609.908,753.067,717.371,909.181,925.785,700.860,414.628,397.468,529.911,555.720,790.467,481.538,444.627,206.559,245.038,396.370,725.062,306.014,259.193,360.010,383.066,760.832,495.336,773.935,364.085,810.609,820.905,746.344,401.449,459.361,403.112,1005.099,306.792,737.430,257.267,204.008,335.854,554.210,582.781,541.845,525.494,354.183,451.162,424.589,159.904,314.743,112.746,185.029,509.806,769.431,98.367,76.841,131.821
7,954.583,1902.746,985.122,908.045,741.640,1482.198,1378.395,488.754,857.680,220.240,403.940,403.529,650.308,297.333,451.605,476.796,140.993,135.042,257.190,315.050,102.257,247.868,72.844,616.054,930.325,411.377,182.774,180.467,214.030,209.473,152.667,249.213,397.205,455.006,210.400,657.515,971.508,861.746,708.368,705.756,435.397,259.667,509.523,1255.569,777.966,176.263,231.229,352.905,194.103,614.216,398.795,532.713,572.677,555.566,1015.904,810.162,915.703,840.218,359.781,670.230,435.785,252.264,405.866,296.365,461.532,242.862,518.597,481.163,223.280,378.788,174.241,824.713,347.771,394.529,187.141,279.454,259.624,259.716,841.883,448.874,453.378,339.269,707.141,653.853,783.836,627.717,548.134,242.574,256.496,654.519,627.752,385.270,900.040,599.538,319.655,181.706,365.924,342.087,571.682,194.436,307.025,468.101,219.020,598.776,456.724,657.978,403.631,833.887,910.221,540.331,279.449,546.662,482.993,1099.991,363.775,743.923,463.022,241.136,235.343,662.215,690.852,555.318,499.025,362.965,464.149,334.116,114.346,272.324,76.209,353.048,373.155,977.111,125.417,69.561,135.847
8,867.117,2246.268,773.423,833.153,628.346,1048.022,1576.401,332.269,1185.652,177.279,522.133,415.110,422.962,493.233,392.946,333.274,211.123,141.578,305.431,512.378,132.297,158.507,194.519,743.069,802.423,543.701,249.361,210.128,347.423,309.280,107.294,278.598,345.140,336.112,346.250,679.508,893.836,784.579,600.387,573.260,254.557,362.571,493.417,1036.677,751.339,179.642,178.819,289.820,284.471,756.189,332.016,447.760,320.406,597.377,1091.766,603.612,758.451,778.007,269.883,591.018,394.495,127.668,540.307,475.520,343.871,372.036,523.563,380.642,156.360,370.093,259.634,528.420,492.131,244.329,365.948,346.677,247.022,216.894,817.675,701.476,644.587,436.218,633.344,780.140,808.550,672.756,708.074,262.155,591.903,285.675,500.646,742.220,802,500.286,320.055,326.741,249.272,372.754,741.039,227.771,280.941,376.434,282.184,567.296,619.343,694.348,281.716,790.934,876.452,756.847,322.295,379.496,472.284,1075.838,248.625,749.077,352.963,232.742,300.606,764.150,628.284,452.564,472.562,378.191,302.377,478.318,102.963,302.750,127.448,305.500,643.977,861.680,137.180,94.764,57.774
9,720.633,1978.826,869.776,769.204,636.603,1015.654,1174.764,245.761,1082.011,192.969,431.096,444.294,544.202,444.113,336.719,266.469,190.260,149.572,227.891,359.928,90.662,134.728,210.941,700.023,1060.089,338.273,244.704,119.995,300.731,380.607,146.651,231.659,311.474,415.275,321.586,708.712,915.943,668.381,638.071,709.153,330.977,411.163,481.278,1072.339,861.780,97.263,203.349,437.858,290,767.946,315.551,643.889,437.692,511.303,1038.862,540.737,732.176,838.633,253.312,674.469,399.308,266.026,293.370,239.912,472.145,425.065,494.916,246.797,165.010,385.305,207.438,598.133,506.941,397.503,230.622,319.200,239.552,218.035,816.300,464.466,548.084,308.529,823.558,711.613,822.236,767.504,508.503,448.341,465.496,463.312,583.575,476.220,638.093,548.941,344.236,206.196,174.930,219.797,790.341,300.779,247.008,430.101,318.309,658.312,412.037,715.446,284.965,606.854,711.075,860.411,391.085,550.203,290.597,1139.459,229.292,718.737,328.415,225.114,330.774,801.910,699.058,454.745,661.575,514.600,313.481,229.295,156.824,258.625,106.587,282.548,531.589,864.654,143.597,128.662,152.579
10,600.758,2304.927,850.612,655.446,596.985,1299.618,1128.898,556.015,1188.697,170.729,504.187,494.500,625.750,399.057,361.292,314.407,119.877,131.789,189.362,407.006,177.405,211.051,145.104,651.723,1232.098,434.617,158.291,218.667,224.915,359.320,193.706,288.268,260.883,430.697,197.179,563.689,520.705,742.230,574.316,581.092,339.529,594.190,458.371,1296.400,659.203,186.533,270.693,310.019,173.535,668.099,426.354,467.363,461.677,689.828,1197.383,829.850,672.978,855.857,267.867,813.487,381.598,230.917,461.787,360.608,587.169,333.152,301.202,328.130,251.300,401.847,274.357,754.420,458.425,263.277,298.037,277.562,259.619,277.050,777.458,761.204,558.699,326.605,842.074,604.340,755.707,666.520,630.779,419.372,407.991,464.221,775.097,508.990,821.093,534.378,557.773,193.657,349.494,446.449,794.558,300.114,273.008,467.071,328.586,740.584,445.918,650.783,410.121,856.887,858.884,696.798,399.517,331.970,384.948,835.432,475.742,609.320,364.096,233.371,361.190,607.415,686.594,508.664,506.719,262.530,351.195,339.884,139.978,200.375,139.701,223.856,730.814,748.634,80.302,139.376,115.447
