 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90
1468,1223.019,1508.000,754.511,646.822,2362.602,1970.427,2057.615,1204.509,1676.973,1775.301,653.234,780.651,1210.511,1675.778,915.622,1125.073,749.859,704.062,1183.234,1132.448,1152.344,1530.677,949.727,1152.937,1611.610,2181.906,1383.552,718.299,883.855,1074.948,1429.503,1851.685,787.071,1589.749,1191.489,911.811,3413.539,812.135,641.607,1874.287,1423.732,997.516,959.978,1253.723,809.431,741.071,1052.050,1304.545,662.503,642.127,1135.362,1610.581,813.536,1008.067,840.263,1157.059,881.000,2250.604,1146.417,1052.593,711.167,1059.088,2163.496,1370.287,1648.221,737.095,749.101,565.382,519.926,872.276,688.145,579.455,948.500,1076.109,727.698,1481.451,404.493,532.199,1046.284,561.305,631.429,732.468,1634.443,1370.735,1392.179,1121.338,1185.652,1881.867,1396.038,787.434
1469,1328.611,2048.455,593.978,797.295,1881.319,1998.478,1791.981,1437.346,1621.422,1644.637,735.883,830.217,1333.839,1465.117,739.635,1105.559,727.252,802.131,1094.870,1441.970,1150.231,1442.622,1193.253,1241.151,1688.122,2377.076,1377.529,542.328,832.253,1128.848,1190.981,2074.721,998.071,1656.515,1245.406,880.443,3720.176,812.057,567.661,1826.907,1659.484,966.284,737.578,1276.823,758.497,743.851,1018.311,1202.709,481.126,975.614,1347.304,1486.147,807.821,789.303,990.455,1219.079,1077.227,2145.406,1137.417,1282.985,802.000,806.869,1896.473,1337.743,1651.177,669.811,729.921,451.478,546.911,831.190,946.419,559.623,969.543,680.238,601.083,1411.934,357.458,570.753,1308.684,547.270,538.143,917.459,1368.190,1808.663,1655.369,1423.753,1009.902,1678.949,1270.698,614.372
1470,1467.962,2038.231,606.708,727.953,2144.807,2159.706,1940.827,1180.874,1497.476,1777.203,743.961,855.271,1224.052,1752.889,773.919,1039.610,693.170,815.477,1263.032,1417.139,981.862,1343.398,1137.487,1097.262,1807.226,2335.468,1687.839,658.102,995.012,1041.938,1419.742,1780.198,878.890,1602.339,1098.338,809.762,3323.978,895.373,490.625,1866.353,1687.405,1012.265,722.719,1364.108,751.354,729.624,1220.395,1387.009,563.503,846.639,1208.543,1444.109,811.386,985.160,661.222,1264.783,1046.241,2225.964,1020.867,949.681,745.788,857.650,2044.636,1334.934,1428.860,775.279,865.223,625.401,584.411,989.505,706.786,421.662,1184.968,1197.366,661.625,1327.879,416.535,629.514,1098.990,460.596,736.019,994.441,1586.468,1433.988,1373.643,1361.143,1528.739,2075.133,1292.151,783.239
1471,1343.497,1666.507,654.584,701.620,2155.313,1785.257,1874.558,1299.723,1540.919,1526.230,737.903,635.524,1230.943,1596.500,833.122,1050.316,781.748,629.677,1183.383,1450.313,994.287,1336.557,1094.620,1147.921,1687.823,2297.398,1259.724,717.022,862.759,1137.057,1355.639,1537.874,918.858,1845.842,1298.549,790.271,3334.604,822.643,468.652,1805.867,1458.830,877.742,895.156,1047.531,841.635,671.901,1189.622,1257.636,601.832,820.892,1143.225,1608.729,715.300,801.345,849.626,987.270,1075.823,2214.784,994.800,963.659,682.091,915.591,1923.287,1375.390,1693.662,806.856,711.482,584.815,506.495,869.924,742.761,447.688,894.798,871.703,565.583,1683.165,437.736,646.712,1028.610,488.291,580.695,692.703,1544.203,1299.108,1485.988,1185.779,818.815,1927.541,1270.632,956.540
1472,1396.051,1524.142,574.360,910.085,2258.867,2013.441,2134.183,1170.899,1607.476,1357.434,814.916,818.771,1260.264,1446.744,627.662,1183.434,542.904,767.469,1336.026,1420.635,1099.118,1271.040,1161.547,1162.040,1724.079,2252.251,1474.466,731.737,901.886,1107.052,1260.374,1899.577,1075.283,1515.146,1345.962,1092.295,3486.934,901.477,602.196,1873.967,1540.353,1055.761,893.096,1361.569,908.890,711.170,1180.134,1391.273,497.091,654.930,1215.232,1230.930,787.814,927.992,706.000,1313.901,1050.936,2142.594,1150.875,1157.830,704.371,901.066,2068.147,1454.618,1630.713,779.587,831.540,478.669,586.695,1040.057,664.325,458.688,933.351,702.515,625.104,1374.945,442.118,533.952,1006.305,533.277,505.533,836.135,1492.785,1573.892,1383.095,1539.714,973.054,1949.684,1251.755,781.761
1473,1439.694,1556.590,621.697,683.721,2115.434,1919.029,1742.087,1280.937,1639.432,1814.044,744.110,845.994,1173.213,1551.261,1075.270,1068.007,635.467,825.515,1131.182,1297.113,1144.405,1119.886,1177.460,1259.175,1601.854,2165.105,1389.213,557.350,1053.729,1178.370,1185.587,1857.964,815.260,1604.023,1370.429,765.221,3095.714,795.435,514.295,1723.700,1545.712,1032.794,727.111,1270.069,827.751,871.121,1254.302,1302.455,541.168,779.095,1175.355,1629.372,792.179,1030.185,702.020,1351.033,994.652,1999.523,1057.150,1160.393,791.409,864.139,1844.667,1270.948,1594.059,788.368,780.691,559.631,549.016,925.933,728.496,532.364,925.936,798.020,738.458,1270.802,467.917,536.610,976.926,691.993,560.267,753.766,1292.443,1485.602,1333.310,1055.506,1275.163,1906.714,1323.038,896.363
1474,1476.376,1715.888,786.831,748.147,2271.458,1960.566,1917.077,1269.277,1590.427,1904.000,565.565,822.506,1208.546,1778.028,655.216,1060.802,733.304,875.100,1140.377,1561.226,1090.451,1325.423,1115.860,1205.627,1737.512,1937.228,1459.632,690.431,1028.434,1185.010,1318.342,1799.793,1017.362,1589.439,1349.278,1046.852,3185.110,903.694,585.670,1705.733,1626.046,1047.271,905.393,1468.131,809.956,651.511,1193.975,1494.427,597.203,768.987,1294.717,1447.512,810.457,1039.160,918.727,1212.349,1183.993,1982.315,932.917,1008.400,818.985,956.088,2141.078,1441.198,1600.500,733.478,866.669,497.503,539.553,958.895,843.624,339.507,941.383,921.663,672.521,1363.813,484.424,621.534,1181.232,642.539,583.762,729.721,1560.380,1515.578,1455.071,1761.091,1367.413,1926.000,1192.679,789.619
1475,1259.478,1717.119,643.000,575.395,2265.922,1967.934,2187.096,1394.824,1511.319,1913.911,726.799,792.422,1240.218,1416.761,985.608,1034.507,864.274,886.738,1031.753,1263.404,1166.626,1420.896,963.320,1022.865,1380.610,2135.076,1426.000,723.015,1193.843,1233.194,1356.206,1790.153,928.378,1454.094,1116.519,934.656,3579.330,839.855,540.348,1879.833,1447.562,989.929,779.393,1194.408,754.470,686.213,1127.639,1450.745,588.811,896.361,1169.630,1414.264,610.886,752.899,829.475,1197.086,1046.355,1780.919,1209.158,1017.296,881.061,967.328,2043.659,1284.463,1594.956,636.801,691.647,770.083,695.442,674.724,884.863,648.468,1181.596,973.980,671.552,1472.473,441.264,593.966,1004.495,547.482,602.781,801.604,1417.595,1214.181,1572.274,1435.520,1363.120,1970.510,1251.217,694.894
1476,1425.790,1744.410,739.871,760.426,2431.705,1788.081,1926.231,1413.610,1661.016,1865.035,726.812,791.512,1260.868,1565.861,815.851,1336.662,775.081,783.831,1271.078,1345.474,1064.780,1392.294,1239.907,1344.182,1645.366,2133.503,1367.253,643.927,1051.313,1133.645,1288.303,1852.892,959.354,1560.374,1152.060,942.590,3758.483,816.352,468.759,1893.600,1696.118,859.555,927.067,1431.685,782.365,736.496,1017.092,1347.718,711.287,956.899,1195.870,1598.225,755.436,812.958,864.050,1530.750,1107.886,2411.820,970.425,1066.985,813.727,896.168,2002.178,1433.441,1352.677,676.577,773.058,589.280,410.647,763.981,890.521,570.935,986.755,1122.069,580.625,1058.637,414.354,524.068,1306.263,503.922,752.171,731.901,1684.785,1557.277,1443.893,1360.338,940.587,2051.449,1305.896,628.230
1477,1554.764,1705.858,720.112,712.209,2388.867,1879.956,1815.462,1089.050,1867.481,1872.053,686.052,785.120,1182.293,1653.650,648.662,1358.448,800.985,974.592,1290.273,1397.713,1091.251,1369.194,1066.107,903.071,1600.104,2099.380,1402.747,492.423,1054.651,1065.469,1419.252,1620.577,751.961,1649.965,1088.624,942.098,3471.857,930.161,558.714,1740.007,1540.444,888.935,803.489,1251.477,723.873,592.028,1157.353,1592.327,549.622,736.873,1148.152,1680.264,864.986,932.462,972.606,1232.816,1109.496,1981.856,1416.892,1256.748,893.083,874.591,2149.620,1464.544,1734.162,697.766,491.417,534.688,501.937,844.238,886.590,435.870,933.096,913.168,563.625,1530.044,438.375,646.315,1036.579,668.567,683.781,879.622,1639.291,1500.313,1323.417,1081.273,1302.109,1726.541,1276.708,779.487
