 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90
1292,2657.013,874.843,615.556,167.256,920.163,432.456,796.462,320.082,571.930,395.212,152.636,147.572,330.787,367.144,140.243,108.456,274.341,736.277,483.545,125.796,142.149,207.025,239.093,181.722,267.098,210.515,556.557,203.066,271.235,450.265,446.174,375.892,297.520,780.947,567.316,788.811,1318.385,269.995,412.884,686.160,482.569,471.523,313.015,530.054,249.564,146.879,584.185,349.027,127.839,163.228,303.138,838.574,297.286,294.521,449.141,632.862,311.404,641.838,469.625,558.800,242.500,382.248,258.550,119.809,386.522,151.413,108.561,105.815,114.432,369.571,318.675,35.532,248.702,310.406,356.073,256.297,62.271,116.500,90.737,44.270,92.029,156.550,109.228,304.602,427.774,377.896,99.337,768.724,248.887,244.920
1293,2390.529,897.007,627.152,177.581,791.205,509.632,782.471,303.893,567.908,293.398,233.688,122.361,195.431,287.517,228.459,111.676,164.933,815.154,535.688,179.435,169.072,236.159,250.113,99.198,260.122,296.082,435.810,150.080,137.825,541.943,441.961,523.018,296.567,779.298,603.632,657.303,797.560,264.010,339.911,722.093,467.993,462.439,307.259,357.331,264.867,229.716,330.622,354.209,133.986,301.468,373.109,529.946,237.000,402.437,253.010,261.441,552.993,763.225,413.375,581.704,450.985,361.423,445.907,168.735,505.213,190.124,133.532,111.815,180.847,640.800,284.846,244.377,365.106,513.931,295.635,194.747,97.236,34.137,126.800,31.624,50.400,306.586,218.051,517.169,207.583,347.442,148.087,389.612,303.094,151.947
1294,2270.892,687.955,593.135,196.581,853.777,478.544,1014.394,417.409,370.995,191.336,167.299,144.386,158.310,212.883,338.405,177.059,326.252,890.915,665.448,96.409,114.303,240.075,252.120,124.690,112.720,306.789,518.621,238.051,183.946,409.341,566.929,403.721,351.945,776.251,561.226,716.057,992.484,270.606,241.357,488.933,551.222,497.310,431.370,303.131,265.652,317.837,462.529,469.373,282.769,248.867,433.297,741.062,248.229,244.168,205.747,384.368,447.121,724.234,475.867,476.578,254.508,278.394,363.481,90.404,232.213,137.100,128.302,100.115,42.937,506.324,326.855,156.688,363.723,224.089,199.844,472.879,45.444,153.829,115.600,71.170,83.771,172.000,464.291,343.771,292.226,135.922,119.370,458.490,263.783,170.522
1295,2283.815,654.851,831.876,179.760,759.030,645.669,581.904,238.780,525.357,186.876,206.519,114.892,301.718,201.989,261.838,111.831,196.296,696.323,649.429,107.530,174.867,193.771,151.453,171.151,156.591,266.854,419.431,224.839,223.982,491.502,435.716,473.081,248.331,716.813,565.263,790.754,770.747,315.803,554.696,506.327,560.471,389.523,419.178,470.931,166.127,163.404,544.260,415.955,109.063,206.177,570.138,636.085,488.707,325.521,363.939,407.711,401.021,703.523,495.383,424.719,253.174,403.985,243.318,175.265,229.088,62.721,159.950,129.439,56.095,222.343,203.470,128.156,420.606,443.743,167.844,321.154,68.222,67.164,332.347,106.050,106.724,178.117,175.405,327.867,335.095,100.831,325.207,836.245,217.340,179.637
1296,2574.503,844.679,831.551,222.411,739.114,595.044,536.125,346.025,451.254,408.478,199.961,134.295,386.247,280.689,294.486,195.838,281.770,733.654,599.929,69.852,140.621,134.741,299.640,145.794,312.335,262.556,551.920,84.314,248.880,570.526,355.187,626.856,438.126,697.626,727.556,841.885,983.956,298.917,337.098,716.733,544.373,589.316,367.859,359.792,280.276,216.972,267.731,399.800,190.084,225.722,317.659,760.488,295.843,374.563,446.323,372.395,450.305,450.829,233.742,460.237,328.402,527.971,533.395,106.287,316.140,78.005,112.871,116.796,148.816,424.971,275.197,182.364,336.479,253.495,187.229,197.879,98.667,66.390,270.747,92.333,73.143,143.829,345.582,342.361,288.583,257.364,200.815,920.888,293.575,165.381
1297,2300.783,814.724,839.219,196.411,825.723,761.169,713.433,395.975,449.676,249.133,212.935,135.548,231.989,185.411,188.743,173.691,255.881,598.377,489.675,178.196,128.364,238.721,419.653,167.032,275.494,228.749,565.713,178.642,216.584,523.962,517.942,447.802,382.378,841.965,506.617,537.336,822.802,253.881,245.196,432.420,631.379,452.226,292.422,434.969,199.481,162.894,408.521,338.973,147.448,143.576,342.928,474.473,335.150,402.286,194.758,418.678,264.433,569.820,354.892,492.200,237.917,376.788,482.171,60.949,312.735,65.313,114.216,174.178,47.611,295.514,247.162,35.506,326.915,417.238,187.677,257.637,54.875,143.692,84.895,77.624,30.257,141.153,236.684,382.602,331.667,211.753,296.185,494.388,316.594,127.956
1298,2234.586,860.351,761.230,351.395,692.319,603.735,817.750,420.849,402.514,198.903,148.565,142.916,207.236,248.744,270.622,120.449,320.822,688.269,642.396,129.396,192.349,118.562,332.740,252.286,266.238,284.117,561.552,133.715,258.374,534.232,491.671,755.243,400.969,649.409,816.880,634.836,785.593,485.301,325.312,693.040,590.281,376.329,321.237,393.662,285.779,256.390,367.672,360.973,186.196,202.949,496.486,723.930,322.886,343.050,446.596,432.349,495.071,652.811,512.517,315.948,169.235,300.672,422.899,90.757,261.669,59.990,73.201,68.076,93.205,345.657,321.872,196.831,382.926,476.921,200.677,240.879,92.583,94.651,153.968,85.270,34.971,110.243,406.911,373.795,328.238,217.156,178.511,667.776,268.736,264.089
1299,2541.542,1218.209,891.904,295.713,758.681,503.426,812.721,315.220,400.135,250.053,138.253,114.151,317.988,176.206,173.676,92.897,251.215,881.623,584.214,142.870,140.749,213.438,338.473,201.008,257.226,114.696,572.356,116.109,156.416,519.275,416.310,672.640,306.252,984.942,634.835,861.098,767.637,363.269,331.938,350.880,481.778,310.039,359.800,256.815,320.845,211.220,318.487,425.327,229.881,187.652,537.167,563.078,296.629,489.655,426.707,417.316,409.766,749.550,500.175,388.533,198.492,397.117,428.543,129.897,323.941,36.259,168.784,98.510,80.084,437.438,384.342,43.195,438.128,262.257,187.094,205.099,36.812,65.651,187.737,141.000,167.895,161.324,369.038,486.361,250.762,291.065,204.359,999.133,286.755,105.628
1300,2170.905,868.418,695.185,234.023,737.494,362.154,877.135,340.975,529.665,398.239,135.123,173.325,206.977,332.189,138.284,115.441,341.459,782.192,693.240,180.104,125.462,296.930,318.627,299.111,164.890,206.731,408.529,236.314,200.048,516.787,509.832,439.108,250.425,718.719,568.511,850.016,762.374,237.523,294.964,552.240,608.163,450.923,292.711,592.808,290.387,203.539,324.756,399.845,150.007,151.475,520.000,693.202,345.814,216.815,279.576,506.822,492.447,849.901,608.308,573.000,338.227,521.095,504.946,197.949,229.250,89.876,103.115,58.089,44.316,325.000,319.530,173.377,377.521,429.683,170.625,288.626,143.104,58.911,113.589,32.553,123.476,183.766,251.316,625.892,461.762,126.260,254.261,709.327,129.321,116.115
1301,2247.854,1292.097,683.607,162.899,581.886,496.853,699.481,292.730,603.038,282.027,178.331,143.627,296.167,215.317,306.514,159.581,160.052,1016.885,520.195,150.374,121.769,286.294,220.927,144.841,252.646,106.620,520.086,128.781,106.837,536.820,590.942,705.342,326.213,592.275,652.526,720.025,948.275,284.321,272.205,602.833,568.144,470.819,295.059,578.092,210.293,227.369,262.345,385.491,107.294,176.696,558.254,632.597,218.507,380.000,469.061,396.809,281.071,479.595,384.550,255.807,263.659,412.993,240.426,102.184,301.015,117.294,135.878,53.484,121.347,477.705,219.188,204.883,540.479,434.109,153.542,258.780,60.021,126.041,104.737,46.113,92.486,244.928,447.215,213.470,477.155,247.571,194.250,574.306,279.396,88.628
