 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
553,689.746,635.412,880.250,176.381,619.939,732.125,562.324,579.032,569.427,131.568,652.565,463.319,206.730,295.525,455.627,546.055,432.090,952.471,798.630,622.539,261.511,179.438,205.908,230.753,477.556,348.108,289.000,452.280,564.315,524.571,707.649,231.074,530.698,853.707,472.778,361.774,602.247,644.701,500.615,473.993,337.893,214.540,771.614,85.654,42.552,477.713,386.837,130.243,327.019,19.482,80.731,558.170,212.990,102.763,111.630,105.142,271.634,487.858,413.148,164.570,270.426,162.406,163.289,332.172,469.966,110.174,118.909,55.968,100.992,126.989,394.971,109.425,156.500,417.838,211.508,183.564,673.969,295.589,178.375,259.492,274.172,190.425,105.451,118.550,262.525,417.299,405.449,113.952,183.914,243.733,202.217,348.696,379.417,76.931,42.872,89.791,205.811,385.281,161.286,29.070,214.863,223.204,308.310,109.124,346.500,431.149,609.640,144.744,80.748,100.307,397.537,252.188,251.500,269.465,344.608,693.611,415.711,279.764,108.160,189.813,282.882,414.526,304.891,411.800,241.676,223.163,459.082,172.319,350.811,395.262,290.955,449.180,438.178,215.013,951.294,530.040,552.967,504.927,726.109,469.039,196.933,371.142,452.153,484.874,283.643,491.987
554,606.779,541.725,832.042,440.714,604.296,658.266,354.648,690.777,777.214,291.838,728.946,291.823,342.730,231.099,355.791,349.745,340.672,628.725,391.019,358.667,241.011,142.500,307.468,200.722,312.857,396.014,127.857,389.060,297.836,619.156,686.435,189.819,899.830,563.480,258.630,462.028,746.877,518.000,509.169,548.163,323.973,236.589,553.091,124.212,75.351,150.391,436.177,212.783,254.143,125.882,156.860,449.049,159.031,214.316,252.781,121.330,133.842,493.158,373.754,150.852,312.386,283.725,110.608,131.590,275.863,161.033,30.830,81.204,118.608,120.935,265.365,136.756,208.655,548.034,183.031,124.473,505.103,491.196,422.575,550.400,298.434,106.370,93.977,74.085,340.410,117.057,603.061,266.500,17.070,160.287,244.392,161.304,360.183,104.345,11.862,108.942,75.297,607.016,210.786,87.088,9.392,265.241,569.121,166.763,148.417,281.299,517.170,77.268,148.685,70.727,311.315,167.957,474.878,383.558,587.255,498.667,486.446,492.278,249.267,259.081,550.250,375.737,337.688,526.787,361.500,170.120,636.465,123.290,460.874,395.673,240.714,484.689,342.778,422.312,431.694,549.960,765.541,484.202,722.064,410.535,263.608,224.034,242.526,451.865,411.182,323.498
555,511.787,447.824,915.719,408.607,343.949,588.547,544.867,420.638,806.825,327.122,841.065,423.908,390.261,342.079,324.791,441.255,388.459,802.863,447.963,439.314,255.044,68.531,239.220,249.206,540.317,483.770,123.196,570.620,395.548,581.091,604.946,62.681,644.868,538.107,736.833,485.726,425.037,388.209,284.246,454.333,257.678,267.723,658.523,61.096,28.843,188.061,300.929,178.452,371.486,32.400,63.108,448.033,149.633,180.912,190.205,229.991,73.485,558.392,292.238,326.067,456.079,374.181,210.825,203.664,259.419,211.777,57.966,26.645,146.112,179.979,216.372,130.638,167.091,329.650,155.062,243.827,449.866,420.911,267.650,143.450,410.328,196.021,43.086,72.265,324.475,190.138,478.827,39.357,63.625,163.347,184.367,293.986,201.317,151.310,43.809,93.070,142.892,910.984,119.125,45.842,46.294,114.037,500.207,236.835,338.083,310.655,645.920,167.390,79.595,169.318,279.130,269.812,165.232,148.837,285.020,271.630,496.024,434.278,386.600,110.431,465.044,733.509,240.938,345.093,474.568,244.696,530.403,109.986,291.337,319.654,217.214,524.335,448.000,218.351,713.329,497.587,576.377,527.516,408.218,478.070,140.583,304.385,353.934,499.937,302.117,386.052
556,422.336,668.196,843.719,344.548,580.459,416.594,480.848,281.234,789.349,267.135,840.655,549.007,381.652,295.941,282.448,115.291,76.311,352.039,434.556,181.049,364.478,73.641,232.633,290.423,101.143,390.068,230.446,421.000,314.192,471.545,638.274,119.106,626.528,533.920,938.815,338.660,374.679,452.806,441.154,431.575,380.678,261.951,186.000,96.337,112.313,125.904,251.801,119.574,309.257,200.835,108.258,316.929,166.041,123.351,250.740,179.972,208.168,465.617,342.926,285.799,376.000,284.087,161.113,246.041,328.496,316.628,86.045,127.312,123.624,72.462,246.577,170.685,147.418,210.051,161.692,203.473,602.464,307.616,359.975,429.667,234.910,171.671,87.583,90.339,271.721,76.391,298.388,114.381,197.445,210.079,145.242,164.783,279.683,221.977,62.957,145.779,641.757,640.859,330.214,14.316,185.451,302.185,439.397,160.412,258.083,434.299,693.850,104.805,10.207,128.886,365.148,202.217,187.585,425.907,492.529,352.907,627.783,384.778,399.573,160.927,452.088,509.246,309.859,491.693,313.932,186.489,445.050,142.855,326.811,341.533,423.304,547.365,309.400,167.610,460.353,363.159,494.025,401.185,641.418,425.039,186.058,202.115,314.022,378.450,393.078,451.575
557,593.820,323.647,517.531,446.571,578.776,578.641,498.829,540.117,643.359,197.311,1009.125,518.163,259.983,195.851,583.403,418.782,366.369,475.412,391.296,184.176,257.100,55.594,199.431,229.546,320.936,273.324,390.768,581.260,300.137,558.961,381.845,176.032,427.472,923.040,622.148,459.085,612.457,430.493,424.862,435.307,377.081,211.200,328.386,40.462,47.037,290.887,353.922,172.304,298.486,14.024,35.699,425.473,190.316,101.184,182.219,247.057,195.149,265.025,208.459,319.121,469.822,246.739,110.351,192.721,233.479,328.446,142.432,86.914,161.184,75.624,306.803,190.157,167.418,164.359,139.092,68.764,663.320,381.821,342.050,538.217,305.369,216.007,146.297,31.667,276.361,121.563,401.592,87.500,36.305,33.832,133.258,95.783,211.517,94.701,126.074,168.233,280.216,624.469,266.375,63.982,186.235,245.611,185.828,160.000,182.194,309.540,466.840,146.829,98.153,65.091,268.074,216.522,207.561,119.407,515.765,468.870,425.169,307.319,119.147,294.472,753.941,783.368,251.547,323.840,413.797,347.293,601.862,291.203,317.116,163.140,241.161,436.784,361.956,53.442,496.694,680.611,451.959,654.145,627.282,538.698,355.775,199.682,185.504,272.703,443.279,371.043
558,460.918,575.863,668.594,256.571,488.939,735.984,466.371,377.819,598.252,179.486,604.750,433.603,388.591,218.891,292.970,437.364,327.254,410.588,233.370,518.402,227.067,142.172,530.936,323.351,602.508,548.473,343.875,637.240,289.438,355.026,677.994,216.926,527.396,490.200,670.333,532.811,499.580,544.403,545.662,538.523,247.034,291.512,308.591,85.971,39.396,272.339,230.298,152.383,289.219,18.576,126.151,277.505,234.296,148.991,110.110,227.132,186.297,281.817,352.852,244.067,432.713,420.978,106.113,306.033,354.752,199.025,48.886,115.688,124.496,245.280,196.620,203.472,135.327,267.615,452.246,92.773,506.948,310.420,681.325,286.600,391.139,140.603,86.366,165.201,300.410,280.230,369.306,61.500,112.211,142.525,74.258,213.522,159.733,104.069,10.904,96.814,351.351,797.406,119.875,84.070,248.490,269.519,369.586,135.196,344.667,345.759,493.100,22.573,75.045,107.489,360.056,236.797,189.573,232.012,166.804,427.259,517.892,250.903,356.320,141.764,645.221,738.246,405.500,444.000,142.865,430.870,534.428,168.319,355.579,265.579,315.420,464.048,372.833,364.078,487.435,632.325,469.385,791.581,528.527,296.388,209.542,254.527,279.058,260.216,314.864,549.142
559,505.885,521.588,566.062,465.988,361.337,375.438,245.105,808.766,775.573,162.770,701.792,637.121,136.052,175.475,242.179,477.000,310.492,895.098,677.722,302.706,344.478,114.484,326.248,122.701,183.190,419.000,136.625,248.400,508.479,423.662,457.720,230.447,1048.943,727.160,706.407,670.519,384.296,368.985,450.323,538.307,656.483,271.856,491.045,81.769,69.134,144.470,429.745,152.557,430.648,65.071,145.892,403.879,188.714,109.930,225.562,203.689,198.574,313.567,345.811,262.792,404.129,300.696,247.186,322.262,245.590,291.479,120.602,164.011,209.568,64.269,427.825,126.071,161.009,433.402,156.446,140.064,396.753,310.446,176.100,331.875,410.148,105.075,91.891,120.265,186.508,368.632,492.888,107.476,123.562,147.109,116.492,87.870,259.150,134.069,85.106,85.767,134.378,382.766,264.554,162.860,119.647,414.370,364.948,206.979,181.708,459.805,504.690,103.780,112.784,41.489,309.481,138.565,153.695,170.163,384.980,441.333,699.325,516.069,352.693,157.797,604.397,597.526,433.859,411.320,258.554,274.761,430.535,138.406,194.495,342.869,283.562,570.102,360.456,262.779,806.765,790.024,495.459,521.234,612.564,404.481,320.558,383.216,398.095,253.757,272.734,392.369
560,487.984,596.294,434.156,326.976,615.143,420.703,411.371,486.596,774.660,304.081,773.518,403.305,430.574,254.762,304.090,206.400,412.189,991.255,410.648,289.343,267.844,126.906,107.927,72.474,386.810,492.027,334.429,255.300,556.986,386.636,654.357,110.755,656.830,466.013,588.741,548.406,626.383,424.925,233.400,334.954,356.785,222.158,793.909,105.490,37.776,293.713,371.582,177.252,308.467,48.800,59.505,224.643,147.143,182.789,88.151,280.415,124.119,397.550,214.566,199.396,401.960,387.022,175.577,265.393,190.333,282.975,180.659,163.796,106.704,67.194,362.832,115.504,140.082,258.145,90.338,125.736,656.412,415.384,185.750,263.008,293.443,74.034,133.251,54.624,160.607,402.517,392.449,63.024,94.078,67.861,147.042,159.768,272.333,124.828,87.000,148.209,196.405,628.812,251.946,64.333,198.118,548.778,374.052,160.557,150.431,472.816,447.320,140.159,134.126,115.250,441.444,91.986,225.268,336.674,592.902,404.815,498.217,407.319,297.533,246.967,361.353,370.228,424.281,250.973,258.446,233.011,670.918,402.203,217.189,193.449,333.036,509.988,459.400,128.247,930.576,673.429,517.082,651.121,550.864,261.829,256.242,485.662,261.869,266.009,304.877,517.335
561,568.967,497.314,669.729,422.702,490.867,501.734,555.990,393.702,782.282,269.149,985.054,585.163,235.365,233.020,431.702,235.636,221.123,833.902,338.537,326.559,382.056,74.891,353.945,236.433,292.302,664.068,418.768,190.820,303.658,252.766,618.536,192.117,908.641,621.853,377.241,542.076,700.864,429.104,489.985,437.418,483.933,312.765,264.045,33.846,103.216,202.278,432.326,240.096,432.562,42.882,54.538,496.297,175.643,171.772,255.918,312.302,200.129,469.625,277.762,307.336,584.089,390.377,238.134,189.877,297.026,241.050,153.227,184.882,142.256,144.151,215.226,164.315,220.709,254.821,184.892,59.209,575.660,329.348,237.725,440.475,338.082,205.952,107.851,70.196,344.107,315.678,255.969,173.857,37.344,88.119,110.958,185.290,289.500,80.575,223.106,181.267,284.595,632.203,293.054,41.474,132.392,376.907,407.983,223.268,429.542,364.437,875.540,195.878,310.793,197.057,284.944,200.159,199.268,194.093,554.569,777.352,393.084,796.375,192.147,266.146,435.706,757.140,255.750,245.053,440.595,339.337,558.698,67.928,250.695,214.776,335.884,576.210,427.011,274.766,605.588,670.310,602.229,751.161,589.809,646.876,304.792,289.169,295.058,285.838,356.753,449.790
562,710.959,731.510,589.281,483.429,724.031,427.953,514.886,571.223,816.680,542.149,832.518,750.525,262.183,216.772,572.134,245.400,418.607,598.627,414.630,390.069,284.767,137.656,214.817,244.124,402.651,493.716,448.911,1039.340,609.589,704.429,413.119,201.532,602.189,633.000,574.556,372.981,507.531,593.821,490.585,577.627,396.349,344.225,385.500,246.981,145.948,236.922,557.355,202.957,291.352,126.353,66.151,262.940,151.255,40.702,207.630,215.689,254.406,387.175,387.934,257.537,478.327,268.232,184.876,255.197,477.795,303.364,250.636,47.624,186.656,91.204,311.460,159.614,183.455,424.419,206.246,109.173,551.196,325.589,448.725,381.142,237.107,107.740,104.834,118.492,369.967,152.299,564.408,341.333,29.266,117.554,147.992,61.739,318.717,326.483,74.415,92.081,92.892,1012.859,236.018,173.105,415.020,686.926,422.241,103.216,303.472,360.345,726.170,141.098,143.550,108.966,694.111,309.478,420.476,275.093,162.431,324.370,431.614,740.417,344.320,189.780,701.235,602.123,274.672,261.467,409.824,639.717,399.226,361.159,409.200,369.682,324.188,622.030,367.256,293.026,539.918,833.373,596.189,703.476,817.527,488.202,408.242,324.953,397.226,395.730,532.604,736.777
