 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1,708.153,419.212,356.569,354.082,251.154,319.705,741.800,828.827,1041.458,570.178,697.600,329.093,667.148,638.327,585.791,797.600,502.946,381.988,674.050,542.730,467.239,675.972,379.951,354.516,536.865,510.564,784.341,915.198,252.554,215.297,238.294,225.683,457.160,307.779,848.124,913.684,569.837,375.820,553.731,554.254,416.330,855.129,573.916,311.441,604.578,463.375,496.163,373.812,717.323,752.270,1183.008,901.169,762.068,924.280,959.359,798.659,901.869,847.800,334.127,529.622,466.000,411.671,462.352,409.250,347.676,500.256,335.373,326.360,411.333,537.833,757.379,303.072,365.553,278.646,301.431,204.740,338.895,875.639,338.120,474.429,206.851,343.952,331.837,668.170,514.676,324.258,416.407,311.133,254.329,463.400,520.474,317.367,496.239,461.037,354.910,290.075,743.589,643.651,394.195,523.951,222.863,330.708,306.138,390.568,294.400,275.122,970.914,756.342,668.214,766.629,629.985,1197.226,911.189,881.395,629.281
2,785.467,401.093,393.285,279.227,186.923,343.038,735.165,722.339,1194.889,592.444,583.470,318.709,639.068,773.627,841.558,640.075,647.217,444.939,835.263,514.596,413.283,718.748,448.852,318.828,594.021,498.609,934.650,946.685,217.941,253.697,225.376,232.433,525.834,322.987,902.543,747.904,580.116,398.748,582.697,462.936,366.500,1085.143,548.879,335.211,623.972,524.588,468.528,487.023,512.385,645.043,1313.527,895.393,825.445,999.456,938.808,725.548,765.579,992.663,385.266,584.689,383.609,439.114,397.074,574.000,328.654,593.049,284.893,330.510,385.744,512.232,720.747,356.505,457.553,282.929,272.216,293.667,335.940,762.847,365.904,429.048,302.390,274.444,249.306,788.716,384.667,371.258,454.548,269.357,276.765,528.246,514.132,305.727,538.233,397.117,378.843,391.992,799.525,584.076,441.055,554.066,228.225,270.569,327.579,482.613,289.368,282.490,994.186,781.911,784.272,855.788,559.343,1233.974,874.340,836.721,649.756
3,654.367,436.559,441.377,327.655,206.363,296.724,785.739,652.574,1365.340,517.711,713.860,326.510,771.557,868.100,895.977,856.338,679.130,333.012,828.900,561.360,512.991,630.953,412.914,332.953,765.135,441.255,970.089,1114.928,306.069,173.607,192.018,278.767,442.245,364.819,812.438,973.691,677.430,538.694,532.412,498.754,389.098,1108.133,685.308,364.579,625.275,626.110,466.000,447.797,780.931,785.546,1117.794,1073.224,915.651,1072.152,1040.960,945.944,773.290,1000.053,296.861,553.467,495.290,404.519,507.398,507.819,346.279,472.354,309.467,363.720,402.733,579.746,853.958,444.289,313.598,218.961,272.635,361.748,291.421,901.514,391.771,365.762,241.043,384.161,284.551,733.602,520.800,333.516,474.237,243.497,313.741,527.908,302.395,286.031,540.503,470.773,432.552,291.406,728.050,690.736,484.156,540.623,232.427,239.031,366.013,469.658,378.336,300.823,983.629,910.699,647.204,893.556,568.634,1171.729,1077.535,841.714,663.059
4,826.424,426.458,474.131,279.782,164.802,368.933,809.156,656.636,1351.908,701.256,731.550,323.762,573.227,834.391,584.000,732.838,777.326,438.110,957.688,487.337,463.779,524.738,250.457,349.125,661.979,531.500,928.553,1296.829,281.554,267.648,245.303,261.783,503.233,351.591,1000.886,933.118,610.174,593.342,671.571,420.548,365.747,1130.057,638.934,408.559,637.550,427.390,518.781,393.564,726.731,675.168,1023.130,889.076,798.233,1022.416,989.328,1034.087,786.683,895.010,345.658,576.400,248.884,513.835,499.870,600.049,485.500,427.183,325.280,333.900,530.678,589.399,799.632,422.454,379.568,346.339,321.150,262.317,294.120,769.306,297.747,424.819,316.071,356.468,319.745,669.682,512.819,353.656,476.637,320.028,354.659,545.623,400.956,256.984,593.190,477.779,362.231,379.451,823.319,717.076,543.352,511.721,250.639,259.485,371.559,456.171,410.224,277.272,1017.421,829.616,716.966,920.974,619.634,1216.555,1019.359,858.279,607.956
5,802.218,450.915,439.215,351.464,225.154,415.895,814.200,811.006,1365.137,677.900,645.350,334.152,564.080,654.182,740.419,805.888,702.870,470.988,796.075,523.820,539.894,666.271,366.481,377.477,754.906,510.564,1111.333,966.838,279.594,185.179,228.257,198.733,468.558,372.946,946.019,1008.485,622.419,494.180,672.740,627.730,370.474,1133.429,632.604,347.882,731.532,646.699,493.553,446.857,711.577,766.622,1400.557,907.530,919.390,1080.864,986.566,794.667,767.503,1106.653,432.342,683.430,290.551,442.949,416.787,541.507,485.515,414.488,347.920,530.470,441.622,645.341,948.389,381.392,419.159,294.425,312.359,335.276,280.180,692.653,364.711,529.657,312.730,318.315,344.357,757.068,457.219,384.172,423.467,350.000,259.765,598.900,489.579,266.266,612.890,556.607,444.873,404.143,788.553,809.283,513.570,480.787,293.648,186.585,392.816,481.685,399.096,286.048,1145.029,777.247,724.791,906.477,583.522,1227.335,1057.535,918.252,588.778
6,715.755,458.229,527.577,398.536,238.088,367.448,737.417,808.315,1395.941,508.411,604.460,339.629,504.659,706.591,640.767,902.250,693.630,420.366,1152.550,530.034,497.345,649.794,392.309,379.922,808.646,671.827,1053.569,1235.252,388.347,254.497,327.385,213.700,466.736,313.792,989.971,874.426,561.535,573.676,659.067,495.762,422.660,1175.638,647.645,347.559,658.450,487.493,496.358,569.714,690.646,676.211,1225.847,943.361,853.411,922.288,1032.783,878.722,776.435,1061.684,325.785,588.252,526.609,459.291,536.250,516.181,367.257,511.866,266.733,401.460,464.600,444.348,824.021,318.835,410.886,199.055,266.455,349.610,321.180,622.097,391.614,478.762,219.574,305.629,325.735,689.943,475.467,577.032,465.348,294.140,316.259,594.854,548.316,273.570,486.521,502.699,384.627,366.759,656.355,757.821,329.172,643.713,205.507,335.515,392.928,543.505,371.608,300.653,1127.221,775.521,713.568,957.728,656.007,1291.935,900.421,852.687,726.296
7,721.782,595.085,530.423,299.745,203.000,294.914,693.696,891.247,1187.196,723.256,629.480,378.086,703.330,859.218,746.395,823.775,689.457,538.341,1021.400,564.730,591.664,735.252,401.494,408.727,645.219,558.882,1048.366,1115.144,268.485,276.648,240.477,183.967,505.681,329.711,1014.314,803.257,612.488,456.973,549.933,557.278,376.294,957.090,702.791,388.401,790.596,526.750,335.870,513.910,791.185,668.492,1227.771,941.628,861.623,1134.848,1085.924,945.508,902.262,803.242,310.177,586.007,375.043,404.684,491.148,652.917,436.875,443.585,362.080,456.540,534.400,557.746,851.200,344.361,433.409,236.142,311.557,319.545,282.030,932.278,426.819,480.295,230.830,365.040,340.857,652.920,466.419,467.484,573.541,257.049,319.400,517.069,411.614,236.781,536.025,493.319,358.216,324.173,760.213,535.792,405.273,769.197,230.057,222.262,387.671,516.405,365.440,310.170,1105.071,813.027,734.262,974.629,611.343,1185.671,1076.075,902.320,784.689
8,856.738,421.237,556.638,385.745,165.791,416.295,634.974,806.136,1514.150,599.989,698.920,359.046,640.170,692.445,725.326,708.225,783.750,317.720,985.800,484.775,637.292,721.860,357.716,392.547,670.906,527.764,989.992,1098.135,366.228,234.103,171.927,265.850,470.534,334.228,881.219,924.265,558.105,457.973,713.975,648.040,405.784,1180.186,640.183,366.941,704.321,522.610,350.341,576.865,785.423,648.541,1276.603,912.732,770.082,1060.472,1189.939,816.381,741.407,908.621,352.924,508.896,506.217,623.063,448.407,576.375,376.978,372.878,382.200,391.240,495.411,578.486,979.726,464.237,388.712,339.299,342.539,297.789,307.977,809.778,355.301,500.524,376.206,343.669,371.673,830.966,435.057,430.753,445.081,341.867,426.259,660.554,534.728,240.148,626.552,432.822,454.948,373.519,888.468,771.292,414.797,580.926,203.511,406.246,407.612,591.414,374.920,240.048,1235.314,984.678,702.981,1002.735,732.799,1180.826,954.176,879.082,715.356
9,790.764,482.729,500.462,339.745,189.154,259.581,706.809,829.870,1274.856,497.456,653.810,477.179,459.966,644.964,756.163,700.050,602.033,334.183,708.287,644.618,467.743,645.467,429.407,374.484,788.781,523.618,1159.325,1110.622,367.416,261.572,227.688,150.233,514.742,308.342,891.438,895.074,526.837,475.865,659.134,619.944,436.686,1163.300,645.473,288.526,671.734,502.110,580.854,484.782,767.438,752.422,1142.550,1002.454,887.466,1239.288,1195.571,826.230,871.483,782.800,406.025,646.711,511.145,585.608,547.074,685.972,514.228,552.732,370.227,337.050,499.200,637.486,887.558,460.763,429.098,298.929,345.653,343.585,272.902,846.153,414.663,603.162,275.894,293.863,199.531,743.216,437.410,374.914,602.919,368.909,291.600,429.892,474.553,286.758,565.497,395.423,422.746,386.496,703.319,781.576,400.320,593.672,208.119,287.985,398.730,429.324,403.544,354.905,1017.129,911.199,780.655,911.046,641.403,1336.361,1193.277,952.313,679.711
10,675.668,439.907,451.223,312.782,242.549,381.762,895.461,770.259,1368.399,677.689,676.240,334.556,601.841,872.109,1127.605,865.175,655.565,481.341,941.287,471.393,587.053,715.935,587.889,388.453,530.979,496.918,956.374,1205.613,312.228,299.400,281.239,209.783,489.521,359.564,868.648,764.750,674.581,608.036,587.059,549.278,373.562,1179.543,666.590,368.717,722.358,557.265,401.878,485.526,745.038,775.676,1232.130,961.044,853.055,1015.008,1098.763,1046.318,774.848,1078.042,344.848,663.015,539.971,498.013,567.741,560.312,487.324,486.268,385.660,348.960,354.711,713.870,926.021,365.392,481.992,268.024,317.665,341.301,308.917,700.931,430.928,519.095,344.780,374.710,241.663,713.750,470.476,478.559,505.267,371.175,228.071,574.823,432.254,269.875,518.411,513.748,374.940,387.278,804.844,845.019,367.367,627.049,209.996,253.723,435.362,513.072,372.208,281.796,1057.871,797.158,819.010,868.616,742.396,1208.000,857.214,827.238,701.615
11,685.087,505.246,399.431,380.382,202.516,365.038,760.904,884.377,1429.850,589.056,643.430,361.762,650.920,598.136,993.884,776.312,766.620,394.817,824.675,528.461,447.089,746.991,468.704,403.719,804.406,525.918,954.911,1083.459,316.149,294.821,254.395,278.617,440.313,320.879,886.581,922.066,525.802,466.225,547.134,583.881,434.567,1135.095,618.582,346.678,772.679,491.956,576.024,462.346,792.338,824.670,1160.832,1118.934,995.555,992.048,1047.369,824.262,853.021,1074.579,367.481,502.067,507.464,454.190,434.407,664.368,348.772,453.854,303.093,391.230,429.922,543.659,984.389,427.557,398.447,274.898,367.192,347.455,356.083,663.722,422.940,476.438,305.397,374.056,308.755,528.170,485.181,332.441,465.281,294.566,322.635,584.469,530.237,262.750,397.963,483.558,371.298,338.368,747.851,774.962,583.094,480.074,235.767,265.269,477.263,525.784,322.960,300.034,1117.300,799.932,793.976,959.086,666.978,1338.852,1043.686,1003.408,828.518
12,708.755,602.110,472.700,427.336,283.297,346.238,626.330,757.204,1297.000,685.322,612.540,317.007,547.989,778.982,834.140,757.225,693.098,370.268,900.700,557.382,460.221,795.346,473.111,364.609,718.667,548.900,940.358,1229.423,295.049,273.641,240.037,280.000,523.472,444.094,904.143,876.250,646.267,470.396,472.681,726.373,449.175,1162.095,591.176,434.164,705.954,577.779,469.203,521.150,758.585,832.881,1272.038,883.721,873.630,1086.960,1182.515,752.095,918.910,932.558,352.278,520.615,380.333,547.076,509.120,580.201,443.279,512.622,335.520,435.020,483.289,617.051,796.547,513.206,411.833,362.992,368.557,308.732,278.504,902.083,419.916,484.286,300.418,399.758,373.173,749.648,487.943,352.548,547.370,427.853,308.847,532.962,556.728,241.305,550.957,469.479,355.209,368.015,759.199,661.887,572.016,596.607,262.969,330.162,370.868,607.063,357.496,254.231,1064.729,826.171,705.456,858.199,748.224,1206.355,1012.880,936.197,770.052
13,695.183,461.364,480.485,381.527,183.912,315.200,675.426,766.846,1253.908,678.756,625.130,332.954,591.625,752.373,746.256,789.000,561.380,433.671,970.400,450.719,470.327,659.897,483.914,308.719,803.354,526.500,1147.959,1031.495,319.980,240.221,244.083,296.433,458.209,338.745,927.133,880.199,501.174,610.640,598.420,546.413,384.448,1104.062,649.509,327.026,696.174,552.301,471.821,476.278,730.562,656.984,1259.466,1134.787,814.870,1211.808,1086.995,914.317,917.717,1000.305,381.506,581.415,398.754,602.899,451.611,524.299,419.559,513.793,382.240,377.670,395.733,448.514,834.832,307.639,446.205,329.157,397.042,406.423,375.120,901.264,439.482,422.562,348.688,299.403,329.694,641.409,461.143,412.914,587.356,378.839,258.612,571.508,551.237,396.172,569.626,501.669,394.649,325.406,697.475,701.443,519.109,525.328,264.022,238.915,410.454,549.072,372.280,320.170,1136.314,924.288,742.383,942.199,670.172,1329.787,1061.176,1019.544,694.348
14,861.738,451.763,596.015,374.491,182.385,456.790,932.330,760.586,1390.294,543.033,645.120,385.623,553.023,756.373,768.256,1012.438,777.837,431.073,1058.325,445.135,552.770,611.589,498.284,367.609,731.521,597.027,1015.610,1139.883,288.139,296.352,267.440,206.200,486.423,331.094,1041.714,836.493,699.372,506.000,491.647,563.357,366.680,1264.619,676.304,313.000,683.716,502.588,498.033,551.383,657.223,831.562,1354.885,1129.814,873.822,1276.488,1156.727,805.119,871.455,875.063,413.987,699.415,513.855,494.772,579.361,636.743,318.463,459.598,504.993,432.360,510.533,578.761,894.126,455.546,451.538,232.606,382.880,344.106,291.060,717.944,495.904,410.610,318.915,315.685,406.592,546.409,442.229,464.817,589.378,336.210,445.494,603.154,532.009,295.828,568.779,598.785,393.440,350.805,794.113,782.877,378.227,719.393,273.529,283.715,360.737,553.730,303.688,335.177,1096.121,889.870,788.743,843.517,706.403,1299.529,1048.189,893.238,685.096
15,778.140,469.653,469.654,395.055,216.121,330.362,796.600,754.710,1313.307,742.133,741.160,392.205,739.364,736.073,808.767,873.013,732.000,316.134,908.075,677.831,435.434,617.178,430.210,397.297,593.531,577.264,913.943,1064.387,288.347,289.372,246.321,216.883,471.840,328.383,957.381,966.140,671.267,465.964,598.983,622.817,384.995,1134.657,617.073,391.882,745.688,555.699,373.382,357.511,621.838,721.108,1479.420,967.410,939.192,1120.616,1129.904,888.452,805.993,1152.505,411.304,544.030,522.217,525.734,490.972,688.729,369.750,539.866,400.600,421.580,418.078,569.239,739.937,376.639,475.917,359.811,294.575,436.748,240.541,897.778,384.084,524.733,329.241,330.532,333.602,651.386,569.819,423.753,597.385,311.399,333.059,563.877,387.386,303.320,661.049,548.528,437.985,380.466,898.979,671.915,430.711,575.254,232.758,255.985,381.730,582.477,282.752,304.361,1036.193,880.486,841.083,860.417,661.455,1225.761,983.824,1008.388,692.437
16,863.738,466.737,533.885,333.655,170.385,404.276,837.339,717.704,1196.941,548.156,767.980,380.132,490.705,846.309,788.953,721.050,696.804,550.122,1087.850,552.090,455.858,776.860,586.802,402.648,631.417,557.027,976.415,1116.324,349.376,205.724,250.165,310.250,520.969,362.913,1059.209,914.463,581.698,614.577,405.319,566.421,399.505,1169.586,592.769,413.711,638.991,519.529,460.992,544.767,695.015,798.849,1287.000,976.710,788.610,1109.344,1115.470,904.381,867.338,976.253,392.684,662.356,405.942,508.468,462.620,644.931,392.956,469.829,328.080,434.370,505.222,538.370,1066.421,342.711,372.015,208.669,327.515,319.138,331.135,932.431,348.518,411.952,242.199,297.492,321.051,614.841,544.048,354.989,435.185,329.545,244.118,529.662,544.579,230.117,564.282,495.528,383.985,456.353,818.801,631.934,450.703,668.246,219.326,310.762,389.118,444.378,384.368,336.279,977.114,768.349,745.354,821.874,759.955,1258.587,1097.673,886.088,744.593
17,768.585,569.102,406.815,390.127,115.538,397.724,825.078,822.426,1239.261,764.411,637.720,349.788,590.341,696.718,706.000,761.713,656.793,436.098,937.638,443.966,521.920,756.542,494.691,372.875,650.083,615.727,1150.911,1082.973,305.198,224.000,229.734,238.717,543.282,356.604,1082.895,900.125,591.721,606.045,625.210,541.492,460.232,1101.976,715.407,365.500,677.761,472.544,478.171,499.917,679.662,652.600,1271.000,1146.951,931.123,1189.176,1061.677,930.357,748.890,1113.832,414.000,557.674,501.884,360.595,554.722,634.410,360.316,480.695,252.253,375.450,462.978,599.725,899.800,340.732,361.477,234.732,312.623,394.569,324.511,877.472,514.072,519.590,302.610,315.952,282.704,726.307,424.743,353.624,442.556,351.678,338.929,518.469,428.895,278.359,553.362,492.920,405.978,382.188,844.277,732.613,517.594,551.795,247.767,298.523,389.559,469.342,361.344,242.850,1077.064,744.842,784.461,888.848,700.784,1359.497,1086.742,904.694,703.778
18,782.891,575.415,541.208,390.573,257.374,422.657,775.139,735.661,1406.444,622.944,732.070,370.510,508.773,829.009,787.116,659.287,631.554,354.537,886.725,565.764,505.752,645.019,426.457,325.094,612.604,617.664,1155.358,1172.081,323.079,249.586,220.477,228.017,512.607,337.591,1105.476,954.463,546.291,560.595,663.538,644.444,490.907,1155.391,736.352,352.993,692.578,451.463,413.553,529.752,772.892,815.200,1313.947,981.076,893.767,981.216,1122.551,822.833,1026.062,818.979,395.076,631.852,513.261,474.899,488.250,597.875,429.368,420.183,349.373,369.030,501.600,636.203,944.589,498.186,383.606,272.709,300.275,349.244,306.098,954.722,400.036,439.400,354.312,362.726,296.643,626.750,490.029,349.785,528.193,386.329,333.047,560.231,497.053,273.000,514.975,484.282,466.590,338.489,746.759,747.085,462.984,534.984,216.150,275.492,404.086,506.892,357.608,270.823,1042.164,893.932,817.597,853.927,555.388,1250.645,994.824,888.653,762.859
19,788.865,373.203,519.323,299.182,175.824,387.362,751.617,832.012,1361.131,626.589,830.250,428.411,596.545,822.073,852.349,894.888,825.587,402.329,1062.088,556.090,578.142,838.953,474.852,344.672,654.333,588.718,1139.854,1286.784,372.030,346.407,138.853,247.717,575.393,311.550,987.762,1001.787,671.907,577.883,606.513,569.556,419.062,1063.071,695.396,393.533,782.046,519.721,429.594,494.038,788.862,802.459,1259.031,1019.486,906.116,1175.608,1156.359,854.960,842.841,1083.726,328.835,707.200,645.217,550.152,574.806,585.528,465.449,469.963,333.380,286.000,493.022,485.123,1016.695,504.691,427.348,317.677,448.545,320.211,340.789,858.986,474.964,439.581,270.979,347.040,297.204,779.977,449.838,514.753,479.244,281.077,298.306,486.277,440.974,372.648,552.386,506.534,491.291,411.526,857.759,709.462,396.664,513.164,236.656,301.008,367.783,514.658,373.904,271.898,1167.379,878.801,889.597,853.642,649.142,1253.832,1161.799,829.231,767.956
20,867.817,535.297,475.500,380.300,208.714,365.629,961.704,764.259,1324.000,624.222,688.720,423.371,635.648,789.155,741.535,963.800,792.293,484.573,912.875,517.225,395.593,775.561,370.185,345.562,706.885,491.682,895.878,1017.045,304.564,272.869,253.395,321.900,429.755,412.685,964.238,1002.007,521.163,493.396,609.950,707.841,404.990,1275.162,672.187,334.355,836.193,580.956,604.472,513.128,726.862,803.968,1338.809,1027.623,800.603,1215.200,1088.076,901.984,925.448,977.916,446.620,631.674,399.058,525.684,614.722,595.556,444.949,365.378,404.860,366.790,388.700,585.993,1008.316,450.330,436.773,275.661,371.096,314.431,307.684,750.319,322.084,397.076,260.837,404.734,372.480,643.727,373.048,415.591,478.719,413.671,321.859,537.946,457.237,262.867,562.932,533.055,465.798,287.301,919.546,815.991,385.461,747.467,245.088,242.777,392.658,462.766,312.568,265.537,1114.129,833.589,721.883,963.828,715.754,1269.729,1010.415,985.694,717.919
21,695.371,499.339,474.523,327.927,189.714,467.733,971.139,853.086,1331.275,595.022,780.770,326.828,680.091,794.636,776.512,860.562,666.152,312.817,1033.450,488.326,436.186,737.112,457.815,361.602,726.510,453.473,1151.016,1111.486,301.485,268.648,204.670,247.233,531.975,391.255,939.038,862.551,505.012,639.045,668.462,606.714,397.505,1179.291,677.952,370.987,709.101,513.743,473.496,584.534,721.538,692.389,1187.298,1052.705,750.603,1014.648,1122.460,899.976,752.890,955.147,481.367,664.496,423.304,554.354,519.111,649.375,373.809,528.537,346.213,366.590,556.533,601.732,942.884,443.031,370.523,245.969,326.365,334.927,353.962,841.778,417.795,400.962,285.397,361.823,266.337,732.511,489.600,404.774,571.667,385.811,319.906,556.238,491.746,284.930,685.730,536.098,356.769,361.158,824.234,772.623,476.461,666.410,224.410,275.815,426.270,491.892,505.656,308.401,1045.814,1031.801,751.563,967.662,734.910,1375.490,1072.377,1015.789,738.274
