 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115
1,187.769,50.263,160.431,108.927,132.220,157.448,113.304,152.710,501.229,172.878,222.980,122.940,180.386,267.245,344.023,243.962,135.054,37.537,245.062,228.360,88.319,269.636,187.716,31.812,192.677,44.373,307.943,333.189,29.040,38.476,73.844,89.883,167.405,44.403,251.619,301.875,98.360,175.946,239.908,191.468,54.196,295.971,136.484,56.993,117.982,116.625,197.268,119.331,227.769,161.562,333.534,308.858,143.589,307.728,440.682,240.317,293.738,210.347,91.228,79.519,77.101,277.380,97.398,129.153,80.206,46.915,163.480,204.360,98.178,90.464,178.042,59.052,77.333,83.575,89.006,147.285,148.654,454.194,284.759,264.229,138.156,95.210,83.745,310.568,164.600,193.774,143.437,89.783,41.388,190.731,112.754,170.797,191.270,147.859,139.560,96.526,334.149,155.934,264.062,198.311,101.727,123.638,144.474,74.973,169.064,101.415,527.521,311.596,225.820,359.940,136.194,335.910,496.579,347.224,329.778
2,126.672,130.441,94.100,113.355,46.604,96.867,191.591,162.648,392.712,166.522,120.290,59.053,47.136,177.455,154.651,268.138,161.228,35.476,364.800,160.404,197.531,98.841,116.519,152.094,308.375,85.264,301.878,193.495,126.238,145.048,70.697,34.967,157.521,112.832,258.467,427.757,396.930,191.405,108.126,149.873,97.227,237.943,147.795,91.132,189.165,146.184,83.610,145.820,176.538,139.735,346.000,216.339,132.055,350.840,522.677,296.262,315.303,266.747,78.051,135.830,130.304,132.190,51.593,84.438,93.728,84.817,69.920,154.960,110.911,212.152,440.558,95.794,84.788,103.244,230.353,212.732,119.812,472.319,184.265,173.229,83.504,102.226,93.327,313.909,314.162,147.473,179.541,26.448,89.165,158.977,186.816,61.117,164.552,174.540,221.970,205.857,269.504,220.151,268.156,160.525,62.176,111.446,72.171,92.144,81.312,83.088,303.929,292.945,329.136,373.801,217.119,287.142,306.484,311.252,224.311
3,218.310,55.339,133.708,136.727,44.308,139.124,85.365,239.870,316.765,209.233,137.450,113.887,160.136,246.855,195.860,242.600,284.957,82.207,204.012,179.764,152.965,114.907,200.568,97.508,379.354,129.173,184.870,361.793,33.713,72.648,130.156,42.467,219.693,106.913,286.000,311.037,155.605,202.730,261.420,224.659,74.809,239.352,149.678,89.125,295.459,48.279,80.821,130.466,149.738,121.492,313.527,477.689,245.966,178.952,350.657,372.794,340.545,355.463,40.291,142.319,127.957,241.380,160.907,57.569,229.081,139.732,151.460,191.150,103.544,105.993,185.653,161.845,107.083,62.551,155.024,165.057,124.211,265.292,159.048,273.114,28.518,65.839,81.939,276.250,206.000,198.021,152.622,139.804,159.141,241.962,92.649,141.211,158.785,107.601,142.575,123.977,181.603,239.085,155.922,292.992,112.621,116.238,105.257,92.523,71.208,76.333,450.536,344.418,225.316,547.728,100.858,259.761,399.597,275.551,129.926
4,195.017,69.593,46.692,51.345,41.846,95.829,105.130,141.167,242.118,100.433,94.740,91.556,203.625,176.118,328.488,179.550,214.163,206.012,164.900,235.596,151.726,196.832,128.321,43.805,311.969,158.591,410.504,409.955,60.455,21.676,31.128,93.900,131.196,57.651,463.838,351.000,199.128,174.063,246.824,202.722,117.902,156.448,136.026,89.770,244.954,158.757,88.862,173.429,137.154,120.454,368.992,275.175,227.637,355.984,500.561,340.984,294.807,390.516,120.063,141.844,108.870,142.025,110.528,61.556,123.904,195.927,106.393,125.880,84.833,159.261,319.768,125.186,214.318,61.402,249.389,102.992,161.271,229.153,74.349,198.257,62.199,97.355,129.867,160.489,243.771,70.247,117.400,105.853,62.176,105.392,143.421,229.594,166.969,178.245,181.545,168.211,273.064,221.321,88.125,263.320,118.449,91.062,177.007,116.342,150.656,94.626,552.086,253.705,356.850,459.430,138.433,378.510,506.101,262.374,220.704
5,184.467,66.212,52.754,36.782,45.934,69.543,208.078,183.772,210.654,175.200,155.660,198.861,108.591,205.609,171.349,167.812,121.478,106.695,180.512,149.315,170.265,237.664,105.123,37.805,150.312,166.800,334.675,437.378,67.614,56.545,104.945,15.567,126.650,92.342,259.390,497.125,132.523,193.757,204.731,166.762,126.814,314.871,159.813,73.914,134.844,127.882,171.041,258.346,213.646,132.697,467.947,294.672,253.260,373.024,325.980,389.532,312.393,284.537,174.165,123.444,45.072,146.734,95.139,145.444,50.853,88.366,131.813,202.320,86.189,142.493,75.663,243.474,118.220,81.055,182.126,87.106,110.053,447.042,129.711,126.438,129.014,122.637,122.969,271.705,165.600,232.075,198.748,63.308,73.529,153.192,61.737,128.586,248.718,208.472,170.716,229.647,235.326,255.453,115.992,231.705,130.449,71.923,95.921,111.766,65.264,70.993,447.921,241.384,292.573,309.940,109.582,263.619,306.742,348.354,178.311
6,174.515,116.771,184.085,121.509,67.341,41.743,81.522,178.241,394.641,136.278,331.630,28.046,308.716,244.900,194.163,366.462,121.022,112.402,246.800,126.697,98.407,122.664,206.259,214.148,143.396,149.282,323.187,243.009,59.010,34.828,22.275,32.650,236.209,92.389,246.467,519.081,323.337,181.568,196.143,210.611,83.928,373.948,161.201,187.586,125.807,170.037,122.967,188.932,151.723,150.486,309.443,226.459,309.315,208.472,506.737,326.627,225.310,346.989,68.025,87.296,71.826,105.848,102.167,65.639,111.199,110.024,139.693,178.190,49.933,138.406,199.389,55.567,123.871,86.732,197.012,104.033,106.406,243.125,110.976,115.524,184.000,56.339,57.214,353.693,227.286,199.849,129.830,173.399,142.812,195.715,246.509,172.344,253.172,209.939,123.336,216.429,456.901,179.189,245.742,379.811,78.203,66.308,168.237,122.586,146.048,115.048,336.750,282.534,322.752,328.629,153.507,382.884,534.767,382.844,298.311
7,267.271,125.254,102.208,93.936,102.462,113.371,293.957,172.481,343.471,225.156,146.360,87.669,143.602,139.791,47.256,308.850,268.076,137.280,165.913,127.011,144.018,212.963,216.000,150.555,284.562,155.000,324.350,297.441,24.000,106.476,73.404,32.533,99.718,118.322,303.210,478.846,241.988,229.901,237.807,187.667,123.392,298.614,156.077,97.053,325.560,165.088,75.675,143.459,171.608,154.984,397.954,261.038,336.295,458.400,441.293,297.952,234.531,433.232,100.025,186.993,88.841,184.278,103.324,98.069,52.537,162.232,21.927,188.540,171.622,98.348,252.021,204.876,61.189,197.165,235.102,111.634,96.910,463.042,143.675,229.838,120.284,169.742,186.398,266.023,304.581,159.032,170.259,65.364,39.671,116.746,209.482,193.609,132.454,206.209,136.493,260.722,447.695,264.623,237.016,206.385,46.463,38.715,61.020,218.829,113.336,65.571,297.636,436.733,303.592,454.583,208.955,256.258,387.340,326.605,181.800
8,184.825,141.000,49.908,141.327,83.560,101.800,156.852,112.784,358.699,128.922,328.360,51.212,142.943,176.464,112.395,368.462,336.783,163.293,411.438,204.539,94.770,114.178,50.469,78.297,183.760,142.345,309.171,412.667,86.129,49.938,78.046,85.900,82.632,142.685,279.714,387.463,354.651,147.027,223.260,177.421,125.340,246.371,116.000,118.743,172.761,120.074,123.829,233.932,234.223,127.362,321.458,241.623,275.740,341.360,357.955,144.341,365.531,335.421,85.215,82.852,124.899,121.633,123.528,77.090,132.441,139.256,67.493,136.270,88.367,195.022,385.411,72.649,90.083,179.142,213.814,154.756,94.692,322.750,85.639,216.057,140.213,63.056,37.806,263.023,331.924,106.366,124.437,92.881,110.047,103.277,159.579,138.008,126.675,162.172,179.179,126.947,290.574,200.991,151.016,214.475,62.031,74.769,77.691,115.387,118.792,93.367,415.429,396.514,313.617,576.417,295.627,488.129,332.201,325.041,284.852
9,125.262,118.254,146.669,123.027,11.132,118.657,242.035,298.463,288.974,158.289,254.440,78.868,256.227,142.864,297.744,196.788,179.489,38.134,267.587,168.000,133.053,198.682,71.765,147.492,162.104,180.755,304.057,250.009,23.337,81.469,96.486,73.233,232.975,62.839,467.914,330.059,198.163,240.730,302.992,342.460,113.284,288.624,176.480,118.612,174.174,153.147,115.228,146.752,398.438,176.670,327.908,284.399,170.226,187.936,477.268,308.484,281.076,336.705,87.203,110.733,52.333,153.380,126.537,81.722,56.022,44.622,147.833,180.410,108.200,106.754,286.537,194.691,113.295,50.276,269.599,166.122,147.466,464.444,267.482,207.848,144.128,132.927,274.745,250.466,133.714,312.140,139.393,60.741,144.071,94.869,143.693,141.383,153.294,149.626,98.731,142.767,256.518,105.519,95.305,354.787,122.709,163.877,72.678,81.667,94.728,89.673,457.721,379.247,376.801,381.417,242.657,410.052,357.950,316.823,324.689
10,157.978,113.754,111.977,184.491,21.956,33.857,69.322,191.654,296.765,116.644,262.620,163.887,282.807,247.009,232.186,340.013,186.630,93.366,289.750,140.348,179.487,105.673,163.247,59.188,112.188,155.127,289.894,478.622,67.317,85.379,87.578,91.567,174.546,59.188,391.619,304.140,160.221,202.234,309.731,279.349,62.876,324.571,122.410,169.388,112.927,118.125,154.220,168.850,412.054,201.173,436.603,218.557,306.493,260.776,398.793,447.905,422.055,236.779,150.962,142.830,30.058,221.684,126.306,132.903,151.875,115.744,95.360,260.840,239.822,232.833,302.695,95.113,116.098,116.449,210.383,162.846,55.737,315.347,242.181,185.990,128.936,63.871,238.949,217.932,235.343,211.871,245.067,142.098,76.118,188.277,170.789,110.898,167.540,253.411,174.761,182.346,271.993,143.849,132.148,276.566,45.934,109.600,126.237,240.036,96.720,98.850,335.571,307.712,325.466,372.199,202.687,419.987,449.484,289.707,215.622
