 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean(RoiSet_4),Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146
1,371.402,1128.157,520.938,201.440,302.286,293.766,322.457,435.872,463.602,216.986,562.774,365.277,192.400,81.941,282.866,71.145,269.393,907.922,429.611,173.382,129.378,216.344,167.578,192.598,294.413,560.392,78.929,188.500,356.041,233.935,310.155,153.947,372.057,520.853,303.204,236.047,500.691,471.776,235.062,325.837,126.953,199.519,644.159,14.635,42.597,68.426,200.262,94.957,227.352,12.047,68.129,262.890,287.204,147.123,254.466,221.821,208.168,242.217,156.615,188.389,363.911,245.493,84.196,186.459,148.667,166.446,37.068,211.656,80.928,150.796,243.839,173.937,181.845,264.000,100.108,113.655,291.722,184.393,148.450,372.917,159.254,70.027,50.783,50.063,291.426,156.414,310.480,156.690,25.531,78.040,108.442,227.319,86.800,36.345,78.181,47.256,126.730,683.078,157.714,8.404,87.902,170.722,169.276,177.567,172.889,282.540,331.320,26.098,38.459,95.352,167.741,281.029,95.366,268.988,281.216,205.056,303.699,307.000,156.467,191.650,351.353,236.860,155.094,242.667,311.459,234.739,344.006,321.681,179.621,180.673,183.232,320.515,187.822,218.065,736.400,296.683,333.254,306.371,625.945,294.822,190.108,251.858,271.445,290.910,193.065,197.953
2,568.795,481.373,429.042,384.000,205.908,651.156,407.114,378.989,445.107,339.338,638.321,523.248,236.096,70.079,150.881,35.600,264.525,638.529,381.685,283.676,299.644,99.625,210.239,186.969,140.921,132.730,227.946,357.920,259.205,330.026,467.607,125.138,407.981,233.907,215.315,116.557,526.877,337.328,260.092,398.078,263.819,223.849,229.227,22.000,46.045,84.130,264.355,146.696,276.476,13.812,55.215,223.473,196.531,65.237,326.877,230.679,55.327,225.375,378.680,175.128,334.584,128.486,154.062,225.352,238.308,240.777,172.216,57.849,127.152,129.645,321.161,127.740,203.809,158.444,288.462,36.555,399.474,306.375,224.050,288.192,270.254,68.829,51.474,39.032,274.246,154.759,499.429,100.762,45.398,101.505,143.117,75.232,261.633,137.954,77.734,36.233,191.892,311.125,296.321,16.140,133.882,401.167,215.828,137.794,162.847,332.195,407.930,36.098,98.270,21.636,262.648,189.507,227.549,283.419,388.353,421.537,330.193,189.333,206.347,191.285,590.279,225.333,251.547,144.080,137.176,425.130,371.792,164.710,98.053,358.813,374.188,274.425,249.400,77.494,412.082,367.111,483.402,538.879,639.264,323.682,127.000,284.480,245.635,432.712,233.708,224.335
3,598.049,691.686,364.125,284.679,286.122,737.375,455.476,463.447,483.388,291.797,512.554,345.624,146.704,127.307,279.493,318.000,87.672,474.882,525.944,394.892,385.278,115.609,162.257,209.351,94.746,273.541,172.839,350.540,409.575,320.688,450.857,259.255,741.396,594.320,264.056,287.802,466.395,333.806,261.400,564.477,347.705,185.712,530.818,33.596,54.940,86.009,255.929,131.887,235.533,117.541,133.763,246.560,323.776,166.237,286.123,258.745,158.574,289.592,190.697,138.389,299.634,141.246,93.010,155.172,148.479,208.372,54.239,82.108,146.992,53.763,222.401,86.693,190.091,132.453,95.938,73.600,270.814,204.795,36.400,337.233,255.352,28.144,22.891,67.222,270.205,79.310,379.939,177.714,99.117,199.515,150.350,146.319,95.283,96.736,78.500,16.233,132.784,584.875,113.768,12.632,32.333,145.333,446.069,109.433,153.250,444.356,299.760,330.390,62.351,53.875,541.593,105.435,227.427,108.605,238.196,424.444,271.916,361.806,246.093,192.089,558.515,429.298,195.547,301.147,259.486,212.707,382.340,240.029,261.368,163.729,344.893,329.958,394.067,146.000,435.329,508.532,512.615,452.976,540.155,401.620,219.425,535.487,150.336,466.342,236.188,316.288
4,470.598,617.510,358.042,165.512,352.867,678.328,460.076,405.223,680.981,280.419,585.821,587.908,152.852,297.673,89.149,199.127,237.459,422.216,479.278,169.147,295.500,130.078,319.743,276.031,539.000,409.378,175.411,384.840,316.589,262.701,545.667,126.617,819.453,332.840,108.296,280.302,267.667,517.090,266.400,528.464,294.423,203.158,195.432,10.298,38.672,122.704,214.404,174.461,122.686,119.718,87.387,343.148,85.541,90.316,43.110,196.245,125.535,250.633,330.320,166.087,414.188,289.101,171.887,303.303,205.863,233.917,36.534,90.505,165.304,68.484,283.920,144.969,44.264,339.060,50.754,127.455,323.309,346.375,337.325,203.333,224.402,74.726,61.411,82.196,354.344,346.747,315.347,59.762,74.766,122.149,85.017,138.652,71.300,61.471,75.872,141.244,138.486,482.078,52.339,197.175,242.490,36.167,225.914,342.835,113.500,383.299,327.610,33.878,13.856,56.648,204.722,233.014,96.476,139.302,357.490,520.056,316.193,204.833,185.053,78.675,277.294,425.105,457.141,483.213,95.986,173.109,417.981,99.348,170.926,377.869,202.670,374.317,276.622,235.247,351.106,527.889,479.287,459.677,474.455,300.171,190.508,239.041,275.109,240.811,85.000,340.193
5,253.844,915.667,563.208,386.179,236.765,472.906,411.210,354.085,579.262,231.108,602.446,395.674,97.104,159.297,159.940,234.964,348.803,507.451,459.648,331.745,284.944,99.922,164.147,286.557,608.143,286.784,266.732,365.740,213.301,306.818,309.976,111.372,956.453,674.053,664.482,177.981,276.556,385.284,267.431,545.725,214.738,204.782,248.432,59.846,96.776,211.974,125.071,113.365,468.010,3.871,51.140,307.676,93.980,155.316,28.274,220.481,61.743,253.725,425.639,299.839,362.891,188.051,96.134,310.467,264.444,215.975,115.716,96.581,145.064,70.720,209.869,149.496,148.382,279.479,157.769,124.182,517.093,291.812,174.250,149.642,231.221,151.616,64.714,96.942,349.164,114.621,346.929,262.690,58.641,47.515,140.592,42.797,149.417,48.793,47.989,73.686,58.405,512.812,93.036,46.825,440.510,453.204,426.121,231.299,96.292,331.034,528.740,44.207,9.901,13.330,240.315,213.609,181.561,331.349,310.118,466.204,474.422,362.264,167.360,57.967,413.029,387.982,299.453,133.547,252.122,209.804,584.692,164.348,166.432,455.056,166.339,226.874,209.356,162.792,464.129,433.484,626.926,336.879,379.773,348.636,264.417,343.811,302.168,201.739,254.838,332.300
6,606.238,689.098,542.667,301.619,186.776,442.250,634.295,204.564,569.612,97.689,639.732,460.142,114.435,70.980,153.701,230.491,326.623,815.098,343.148,295.167,423.078,82.953,261.138,165.381,226.365,485.986,295.357,162.020,432.164,190.104,471.476,70.851,641.415,316.973,612.796,199.358,301.617,54.284,195.815,497.621,279.872,117.544,196.955,44.663,60.530,88.783,209.610,128.678,332.267,68.588,112.785,155.253,104.071,124.526,134.233,194.528,255.366,343.625,483.000,185.638,218.366,278.181,267.711,259.770,186.385,121.595,209.159,47.796,189.256,89.097,192.168,85.370,163.809,185.085,168.708,139.327,318.124,370.589,153.275,185.875,232.270,100.466,50.989,72.519,314.262,131.115,328.000,239.262,95.391,228.554,149.033,148.986,98.700,48.644,12.862,83.547,114.459,282.516,120.732,119.333,228.765,224.389,264.379,95.763,260.694,275.977,298.630,101.524,94.360,75.477,339.926,36.754,126.232,471.605,176.314,157.741,250.554,583.208,120.040,87.073,280.985,562.930,340.859,268.107,182.608,230.043,691.208,321.464,88.421,490.495,243.223,230.904,179.000,253.234,728.329,430.635,386.639,582.258,513.455,312.853,343.975,265.473,395.518,340.649,138.993,277.661
7,347.107,393.078,536.250,81.429,264.612,248.500,552.552,420.702,498.893,245.500,672.238,242.716,209.574,137.861,171.806,113.909,252.803,659.824,477.685,345.059,321.600,239.250,246.028,187.701,286.873,600.622,322.839,263.800,225.767,250.870,420.565,100.404,888.359,480.773,724.815,244.472,447.778,312.493,246.862,416.386,247.456,112.565,461.500,69.981,114.761,204.061,262.184,86.217,304.276,97.388,33.656,220.687,164.122,150.658,203.630,165.443,149.574,281.492,406.697,245.859,413.505,343.478,168.351,180.566,144.556,160.645,163.034,172.258,176.456,60.817,218.343,78.811,225.300,141.470,55.431,87.636,349.918,237.214,201.350,163.242,165.484,94.726,46.080,105.370,324.877,168.138,547.684,10.690,36.070,43.337,193.875,187.116,219.317,131.322,60.979,32.709,392.784,686.312,243.750,58.439,231.902,452.630,102.293,265.340,66.194,418.828,317.560,87.683,53.045,86.489,162.537,147.101,129.232,205.279,214.275,385.389,582.699,364.167,176.627,70.106,441.882,110.877,405.562,244.693,109.297,326.902,594.711,107.986,60.821,369.785,229.893,416.168,290.111,217.896,813.471,575.508,455.385,462.169,482.145,346.039,223.600,249.939,258.591,161.712,258.429,469.742
8,583.779,678.431,545.688,295.786,346.551,478.875,524.743,556.574,421.485,273.230,790.577,291.489,144.583,283.059,371.836,355.255,280.443,688.157,659.352,210.520,359.533,173.766,179.945,182.124,349.048,519.270,349.750,458.320,449.808,208.766,459.946,199.989,785.641,573.627,632.315,187.783,355.753,174.284,393.646,441.686,373.329,195.435,554.955,78.510,51.701,151.896,342.801,99.983,293.600,55.753,52.419,221.363,90.276,136.263,90.068,215.519,70.356,277.542,236.516,120.329,365.158,133.420,133.804,206.418,229.709,147.182,54.341,110.753,169.808,102.688,170.416,87.102,148.391,298.538,175.554,100.036,331.000,372.973,106.150,304.908,333.246,82.144,108.251,72.148,307.033,122.667,645.949,257.738,52.719,134.594,138.192,103.014,147.783,111.828,47.096,50.349,162.946,492.172,233.893,132.965,364.549,234.278,239.569,130.237,169.528,465.920,291.940,16.890,121.198,81.057,202.667,170.536,363.829,330.628,308.020,441.741,296.759,258.125,164.600,145.602,275.735,768.667,233.703,366.240,351.784,279.522,477.686,156.406,162.589,233.299,218.107,374.269,260.033,181.091,652.294,485.786,616.484,479.339,494.273,443.279,204.833,305.432,259.453,341.613,269.526,261.618
9,471.008,710.196,612.844,360.464,131.694,303.203,332.886,268.043,662.233,279.824,596.786,696.865,258.530,97.079,234.433,171.491,286.795,545.647,254.037,299.608,356.589,141.312,104.807,282.526,223.238,311.162,273.964,262.620,238.123,303.377,568.732,112.649,789.528,555.853,532.167,172.443,323.617,464.776,176.877,367.830,352.450,232.077,316.545,86.788,52.015,144.330,182.128,140.148,260.600,14.094,84.645,246.346,101.561,118.412,139.932,206.849,141.901,451.250,288.164,234.698,208.099,197.522,96.031,205.287,85.359,164.289,140.375,61.903,192.736,60.892,294.745,142.512,274.045,218.342,48.262,56.718,297.186,193.179,409.400,325.467,253.877,126.555,64.589,42.153,159.721,192.759,515.337,305.976,34.422,186.812,155.975,106.275,375.317,76.172,59.245,63.686,35.108,339.266,64.411,42.842,209.549,336.167,312.638,107.959,157.500,423.023,463.460,14.463,59.847,49.477,363.278,169.826,283.610,332.907,398.137,844.667,698.651,412.736,215.640,168.764,449.235,294.456,166.297,268.467,157.054,371.446,482.314,284.884,73.053,283.514,206.321,441.162,286.489,155.221,551.541,417.976,535.246,390.290,438.609,272.233,211.600,329.480,137.474,364.820,180.844,339.309
10,371.885,799.059,805.427,206.155,217.000,698.453,337.990,256.309,572.029,191.824,774.798,671.518,290.052,151.168,536.343,400.236,291.967,582.627,753.222,272.529,180.678,142.859,212.064,195.680,364.048,375.649,300.857,370.660,375.918,267.675,682.042,86.394,540.924,458.480,890.944,471.443,362.593,670.269,431.062,576.464,269.490,142.800,423.477,9.731,30.978,151.652,229.965,182.183,234.152,48.729,60.333,232.984,77.755,88.053,100.795,249.726,281.921,404.325,385.967,309.678,316.495,362.493,147.320,342.254,187.906,319.859,99.989,190.979,118.224,210.452,255.255,72.685,150.427,242.915,153.923,158.482,229.546,251.116,189.075,394.725,270.025,79.096,26.200,51.556,329.943,76.908,359.000,362.381,122.234,31.198,114.958,158.217,122.700,141.172,115.404,84.802,218.541,736.000,251.446,30.263,185.725,342.241,220.793,203.639,207.083,210.759,343.340,71.463,121.009,77.216,334.463,202.681,307.756,190.605,288.863,90.111,505.277,469.472,225.840,158.967,284.897,266.228,355.422,256.320,361.162,219.598,371.472,127.652,291.189,352.383,215.652,396.449,453.633,81.740,417.471,616.008,457.426,303.242,599.245,476.814,157.700,248.966,296.387,252.288,113.630,320.258
